Country,Year,Reported Cholera Cases
AFG,2013,3957
AGO,2013,6655
AUS,2013,3
BDI,2013,1557
BEN,2013,528
CAN,2013,1
CHL,2013,2
CHN,2013,53
CIV,2013,56
CMR,2013,29
COD,2013,26944
COG,2013,1624
CUB,2013,181
DOM,2013,1954
GBR,2013,6
GHA,2013,50
GIN,2013,319
GNB,2013,969
HTI,2013,58809
IND,2013,6008
IRN,2013,256
IRQ,2013,1
ISR,2013,1
ITA,2013,1
JPN,2013,8
KOR,2013,3
LBR,2013,92
MEX,2013,187
MLI,2013,23
MMR,2013,33
MOZ,2013,1869
MYS,2013,171
NAM,2013,3
NER,2013,585
NGA,2013,6600
PAK,2013,1069
PHL,2013,6
SGP,2013,2
SLE,2013,377
SOM,2013,6864
TGO,2013,166
THA,2013,8
TZA,2013,270
UGA,2013,748
USA,2013,14
VEN,2013,4
ZAF,2013,1
