Country,Year,Reported Cholera Deaths
AFG,2010,10
AGO,2010,30
AUS,2010,0
BDI,2010,1
BEN,2010,8
CAN,2010,0
CHN,2010,0
CIV,2010,0
CMR,2010,657
COD,2010,182
DEU,2010,1
DJI,2010,19
DOM,2010,0
ETH,2010,21
GBR,2010,0
GHA,2010,3
HTI,2010,3990
IND,2010,9
IRQ,2010,0
KEN,2010,63
KHM,2010,1
KOR,2010,0
LAO,2010,4
LBR,2010,0
MEX,2010,0
MOZ,2010,117
MWI,2010,17
MYS,2010,6
NER,2010,66
NGA,2010,1712
NPL,2010,9
PAK,2010,0
PHL,2010,2
PNG,2010,95
RUS,2010,0
SEN,2010,0
SOM,2010,103
TCD,2010,175
TGO,2010,3
THA,2010,15
TZA,2010,59
UGA,2010,78
USA,2010,0
VNM,2010,0
YEM,2010,4
ZMB,2010,62
ZWE,2010,21
