Country,Year,Cholera Case Fatality Rate
AFG,2010,0.42
AGO,2010,2.02
AUS,2010,0.00
BDI,2010,0.30
BEN,2010,0.81
CAN,2010,0.00
CHN,2010,0.00
CIV,2010,0.00
CMR,2010,6.10
COD,2010,1.31
DEU,2010,25.00
DJI,2010,0.93
DOM,2010,0.00
ETH,2010,1.25
GBR,2010,0.00
GHA,2010,0.68
HTI,2010,2.22
IND,2010,0.17
IRQ,2010,0.00
KEN,2010,1.98
KHM,2010,0.17
KOR,2010,0.00
LAO,2010,1.69
LBR,2010,0.00
MEX,2010,0.00
MOZ,2010,1.57
MWI,2010,1.47
MYS,2010,1.35
NER,2010,5.72
NGA,2010,3.85
NPL,2010,0.50
PAK,2010,0.00
PHL,2010,6.06
PNG,2010,1.06
RUS,2010,0.00
SEN,2010,0.00
SOM,2010,2.93
TCD,2010,2.74
TGO,2010,4.17
THA,2010,0.76
TZA,2010,1.32
UGA,2010,3.33
USA,2010,0.00
VNM,2010,0.00
YEM,2010,1.33
ZMB,2010,0.91
ZWE,2010,2.21
