Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
82910,COUNTRY,JAM,AMR,Americas,2023,26 000 [24 000 - 29 000],26000.0
129610,REGION,AMR,,,2023,4 000 000 [3 500 000 - 4 500 000],4000000.0
140807,COUNTRY,ETH,AFR,Africa,2023,610 000 [510 000 - 730 000],610000.0
182116,COUNTRY,COM,AFR,Africa,2023,<200 [<100 - <500],200.0
380648,COUNTRY,GMB,AFR,Africa,2023,26 000 [21 000 - 34 000],26000.0
504573,COUNTRY,RUS,EUR,Europe,2023,No data,
561977,COUNTRY,PNG,WPR,Western Pacific,2023,77 000 [69 000 - 86 000],77000.0
651153,COUNTRY,LBR,AFR,Africa,2023,34 000 [28 000 - 42 000],34000.0
702226,COUNTRY,NOR,EUR,Europe,2023,No data,
710844,REGION,WPR,,,2023,2 300 000 [2 200 000 - 2 400 000],2300000.0
716860,COUNTRY,JOR,EMR,Eastern Mediterranean,2023,620 [510 - 730],620.0
726173,COUNTRY,TUN,EMR,Eastern Mediterranean,2023,8000 [5700 - 12 000],8000.0
1018711,COUNTRY,MLI,AFR,Africa,2023,120 000 [99 000 - 150 000],120000.0
1051288,COUNTRY,BRN,WPR,Western Pacific,2023,No data,
1053053,COUNTRY,NAM,AFR,Africa,2023,230 000 [210 000 - 260 000],230000.0
1117591,COUNTRY,IND,SEAR,South-East Asia,2023,2 500 000 [2 200 000 - 3 000 000],2500000.0
1135130,COUNTRY,KNA,AMR,Americas,2023,No data,
1136987,COUNTRY,KOR,WPR,Western Pacific,2023,No data,
1220183,COUNTRY,FRA,EUR,Europe,2023,200 000 [170 000 - 230 000],200000.0
1244565,COUNTRY,MOZ,AFR,Africa,2023,2 400 000 [2 300 000 - 2 700 000],2400000.0
1261572,COUNTRY,UGA,AFR,Africa,2023,1 500 000 [1 400 000 - 1 600 000],1500000.0
1283426,COUNTRY,NPL,SEAR,South-East Asia,2023,30 000 [27 000 - 33 000],30000.0
1298117,COUNTRY,PAK,EMR,Eastern Mediterranean,2023,290 000 [270 000 - 310 000],290000.0
1357797,COUNTRY,NIC,AMR,Americas,2023,12 000 [9000 - 15 000],12000.0
1460799,COUNTRY,KHM,WPR,Western Pacific,2023,76 000 [65 000 - 87 000],76000.0
1535704,COUNTRY,ATG,AMR,Americas,2023,No data,
1632067,COUNTRY,GHA,AFR,Africa,2023,330 000 [280 000 - 390 000],330000.0
1663308,COUNTRY,SSD,AFR,Africa,2023,140 000 [120 000 - 170 000],140000.0
1696229,REGION,EUR,,,2023,3 100 000 [2 800 000 - 3 400 000],3100000.0
1709333,COUNTRY,HND,AMR,Americas,2023,20 000 [17 000 - 22 000],20000.0
1742444,COUNTRY,MEX,AMR,Americas,2023,380 000 [330 000 - 430 000],380000.0
1756847,COUNTRY,BEN,AFR,Africa,2023,68 000 [57 000 - 82 000],68000.0
1771056,COUNTRY,MLT,EUR,Europe,2023,920 [770 - 1100],920.0
1817569,COUNTRY,LAO,WPR,Western Pacific,2023,20 000 [17 000 - 22 000],20000.0
1828742,COUNTRY,UZB,EUR,Europe,2023,62 000 [59 000 - 65 000],62000.0
1845886,COUNTRY,DOM,AMR,Americas,2023,84 000 [65 000 - 99 000],84000.0
2109712,COUNTRY,ECU,AMR,Americas,2023,51 000 [44 000 - 58 000],51000.0
2186350,COUNTRY,HTI,AMR,Americas,2023,140 000 [120 000 - 160 000],140000.0
2298815,COUNTRY,KWT,EMR,Eastern Mediterranean,2023,1100 [930 - 1500],1100.0
2326999,COUNTRY,COG,AFR,Africa,2023,120 000 [98 000 - 170 000],120000.0
2352022,COUNTRY,GRC,EUR,Europe,2023,15 000 [12 000 - 17 000],15000.0
2383318,COUNTRY,FJI,WPR,Western Pacific,2023,2600 [1700 - 4800],2600.0
2472781,COUNTRY,CHN,WPR,Western Pacific,2023,No data,
2542176,COUNTRY,NIU,WPR,Western Pacific,2023,No data,
2593331,COUNTRY,GRD,AMR,Americas,2023,No data,
2829697,COUNTRY,GAB,AFR,Africa,2023,51 000 [44 000 - 65 000],51000.0
2868216,COUNTRY,CAN,AMR,Americas,2023,No data,
2906814,COUNTRY,WSM,WPR,Western Pacific,2023,No data,
2909664,COUNTRY,BOL,AMR,Americas,2023,31 000 [27 000 - 37 000],31000.0
2919415,COUNTRY,CIV,AFR,Africa,2023,420 000 [370 000 - 480 000],420000.0
2924765,COUNTRY,ARG,AMR,Americas,2023,140 000 [130 000 - 150 000],140000.0
2926872,REGION,SEAR,,,2023,4 000 000 [3 500 000 - 4 800 000],4000000.0
2949683,COUNTRY,SAU,EMR,Eastern Mediterranean,2023,11 000 [10 000 - 13 000],11000.0
3039285,COUNTRY,SWZ,AFR,Africa,2023,230 000 [210 000 - 250 000],230000.0
3119110,COUNTRY,AZE,EUR,Europe,2023,10 000 [8700 - 12 000],10000.0
3154893,COUNTRY,ROU,EUR,Europe,2023,18 000 [16 000 - 21 000],18000.0
3200739,COUNTRY,SLB,WPR,Western Pacific,2023,No data,
3231767,COUNTRY,BHR,EMR,Eastern Mediterranean,2023,No data,
3232279,COUNTRY,NGA,AFR,Africa,2023,2 000 000 [1 900 000 - 2 300 000],2000000.0
3299102,COUNTRY,BGD,SEAR,South-East Asia,2023,15 000 [15 000 - 16 000],15000.0
3309876,COUNTRY,LBN,EMR,Eastern Mediterranean,2023,2900 [2400 - 3300],2900.0
3457226,REGION,AFR,,,2023,26 000 000 [23 600 000 - 28 800 000],26000000.0
3462816,COUNTRY,AGO,AFR,Africa,2023,320 000 [280 000 - 380 000],320000.0
3546909,REGION,EMR,,,2023,530 000 [440 000 - 700 000],530000.0
3609103,COUNTRY,SLV,AMR,Americas,2023,23 000 [20 000 - 25 000],23000.0
3610083,COUNTRY,SYR,EMR,Eastern Mediterranean,2023,740 [650 - 840],740.0
3614668,COUNTRY,LSO,AFR,Africa,2023,270 000 [250 000 - 310 000],270000.0
3736287,COUNTRY,PLW,WPR,Western Pacific,2023,No data,
3750973,COUNTRY,ISL,EUR,Europe,2023,<500 [<500 - <500],500.0
3785216,COUNTRY,MNE,EUR,Europe,2023,<500 [<500 - 520],500.0
3824689,COUNTRY,PRK,SEAR,South-East Asia,2023,No data,
3839869,COUNTRY,AFG,EMR,Eastern Mediterranean,2023,13 000 [4200 - 54 000],13000.0
3925849,COUNTRY,LVA,EUR,Europe,2023,6800 [6300 - 7300],6800.0
4028583,COUNTRY,QAT,EMR,Eastern Mediterranean,2023,820 [670 - 1000],820.0
4039725,COUNTRY,MKD,EUR,Europe,2023,650 [510 - 780],650.0
4084372,COUNTRY,NLD,EUR,Europe,2023,No data,
4191080,COUNTRY,SDN,EMR,Eastern Mediterranean,2023,48 000 [36 000 - 75 000],48000.0
4265264,COUNTRY,ARM,EUR,Europe,2023,6300 [5900 - 6900],6300.0
4365486,COUNTRY,SWE,EUR,Europe,2023,No data,
4407224,COUNTRY,MAR,EMR,Eastern Mediterranean,2023,23 000 [21 000 - 26 000],23000.0
4424163,COUNTRY,BWA,AFR,Africa,2023,360 000 [340 000 - 380 000],360000.0
4503888,COUNTRY,ALB,EUR,Europe,2023,1500 [1300 - 1700],1500.0
4546486,COUNTRY,TCD,AFR,Africa,2023,110 000 [94 000 - 140 000],110000.0
4635514,COUNTRY,AUS,WPR,Western Pacific,2023,29 000 [26 000 - 33 000],29000.0
4642485,COUNTRY,SVN,EUR,Europe,2023,940 [760 - 1100],940.0
4841600,COUNTRY,TJK,EUR,Europe,2023,15 000 [13 000 - 17 000],15000.0
4943458,COUNTRY,BLZ,AMR,Americas,2023,3600 [3200 - 4000],3600.0
4955079,COUNTRY,CRI,AMR,Americas,2023,19 000 [16 000 - 22 000],19000.0
4987702,COUNTRY,SRB,EUR,Europe,2023,4000 [3200 - 4600],4000.0
5056597,COUNTRY,KEN,AFR,Africa,2023,1 400 000 [1 300 000 - 1 600 000],1400000.0
5109434,COUNTRY,ITA,EUR,Europe,2023,140 000 [120 000 - 160 000],140000.0
5112882,COUNTRY,BIH,EUR,Europe,2023,630 [<500 - 880],630.0
5112888,COUNTRY,GTM,AMR,Americas,2023,35 000 [33 000 - 37 000],35000.0
5158759,COUNTRY,KIR,WPR,Western Pacific,2023,No data,
5310623,COUNTRY,JPN,WPR,Western Pacific,2023,No data,
5334042,COUNTRY,MNG,WPR,Western Pacific,2023,670 [600 - 750],670.0
5354789,COUNTRY,TUV,WPR,Western Pacific,2023,No data,
5359114,COUNTRY,MYS,WPR,Western Pacific,2023,85 000 [77 000 - 94 000],85000.0
5380623,COUNTRY,PAN,AMR,Americas,2023,30 000 [27 000 - 33 000],30000.0
5400602,COUNTRY,TTO,AMR,Americas,2023,No data,
5431671,COUNTRY,SEN,AFR,Africa,2023,44 000 [39 000 - 52 000],44000.0
5441184,COUNTRY,EST,EUR,Europe,2023,7300 [6400 - 8100],7300.0
5444901,COUNTRY,VCT,AMR,Americas,2023,No data,
5461683,COUNTRY,TZA,AFR,Africa,2023,1 700 000 [1 600 000 - 1 900 000],1700000.0
5495939,COUNTRY,SOM,EMR,Eastern Mediterranean,2023,8200 [7000 - 9500],8200.0
5502331,COUNTRY,MMR,SEAR,South-East Asia,2023,280 000 [220 000 - 340 000],280000.0
5504224,COUNTRY,MDV,SEAR,South-East Asia,2023,No data,
5512008,COUNTRY,TON,WPR,Western Pacific,2023,No data,
5517275,COUNTRY,TUR,EUR,Europe,2023,No data,
5602155,COUNTRY,ZWE,AFR,Africa,2023,1 300 000 [1 200 000 - 1 400 000],1300000.0
5630517,COUNTRY,YEM,EMR,Eastern Mediterranean,2023,15 000 [9600 - 24 000],15000.0
5647425,COUNTRY,GEO,EUR,Europe,2023,9000 [8500 - 9500],9000.0
5658398,COUNTRY,BLR,EUR,Europe,2023,27 000 [22 000 - 35 000],27000.0
5748491,COUNTRY,MHL,WPR,Western Pacific,2023,No data,
5766688,COUNTRY,KAZ,EUR,Europe,2023,40 000 [35 000 - 46 000],40000.0
5810596,COUNTRY,LTU,EUR,Europe,2023,3600 [3000 - 4400],3600.0
5814270,COUNTRY,GNB,AFR,Africa,2023,34 000 [30 000 - 41 000],34000.0
