Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
1173664,COUNTRY,AGO,AFR,Africa,2005,26 000 [23 000 - 31 000],26000.0,23000.0,31000.0
1808111,COUNTRY,DJI,EMR,Eastern Mediterranean,2005,900 [610 - 1400],900.0,610.0,1400.0
7087644,COUNTRY,GIN,AFR,Africa,2005,10 000 [8800 - 12 000],10000.0,8800.0,12000.0
4405134,COUNTRY,GRC,EUR,Europe,2005,<500 [<500 - <500],500.0,500.0,500.0
8743275,COUNTRY,ARG,AMR,Americas,2005,5400 [4800 - 5900],5400.0,4800.0,5900.0
9490326,COUNTRY,HND,AMR,Americas,2005,1100 [900 - 1400],1100.0,900.0,1400.0
7601508,COUNTRY,LUX,EUR,Europe,2005,<100 [<100 - <100],100.0,100.0,100.0
5612604,COUNTRY,PER,AMR,Americas,2005,4700 [4000 - 5700],4700.0,4000.0,5700.0
867277,COUNTRY,ISL,EUR,Europe,2005,<100 [<100 - <100],100.0,100.0,100.0
1147767,COUNTRY,MUS,AFR,Africa,2005,1000 [830 - 1200],1000.0,830.0,1200.0
3231226,COUNTRY,SVN,EUR,Europe,2005,<100 [<100 - <100],100.0,100.0,100.0
3284195,COUNTRY,VCT,AMR,Americas,2005,No data,,,
3457851,COUNTRY,MWI,AFR,Africa,2005,74 000 [69 000 - 86 000],74000.0,69000.0,86000.0
3464185,COUNTRY,JOR,EMR,Eastern Mediterranean,2005,<100 [<100 - <100],100.0,100.0,100.0
5099332,COUNTRY,LBR,AFR,Africa,2005,3200 [2700 - 3900],3200.0,2700.0,3900.0
5339897,REGION,SEAR,,,2005,270 000 [210 000 - 370 000],270000.0,210000.0,370000.0
5479460,COUNTRY,HRV,EUR,Europe,2005,<100 [<100 - <100],100.0,100.0,100.0
5493013,COUNTRY,ZMB,AFR,Africa,2005,69 000 [64 000 - 77 000],69000.0,64000.0,77000.0
5746605,COUNTRY,ISR,EUR,Europe,2005,<500 [<500 - <500],500.0,500.0,500.0
6221056,COUNTRY,GRD,AMR,Americas,2005,No data,,,
6281304,COUNTRY,BGR,EUR,Europe,2005,<200 [<200 - <200],200.0,200.0,200.0
6347247,COUNTRY,URY,AMR,Americas,2005,670 [<500 - 920],670.0,500.0,920.0
6413465,COUNTRY,COK,WPR,Western Pacific,2005,No data,,,
6847406,COUNTRY,SAU,EMR,Eastern Mediterranean,2005,<100 [<100 - <200],100.0,100.0,200.0
8463079,COUNTRY,DOM,AMR,Americas,2005,6000 [4900 - 7300],6000.0,4900.0,7300.0
8489675,COUNTRY,MEX,AMR,Americas,2005,15 000 [13 000 - 16 000],15000.0,13000.0,16000.0
8943937,COUNTRY,AND,EUR,Europe,2005,No data,,,
9004006,COUNTRY,LKA,SEAR,South-East Asia,2005,<500 [<500 - <500],500.0,500.0,500.0
9323902,COUNTRY,TUR,EUR,Europe,2005,No data,,,
9437666,COUNTRY,AUT,EUR,Europe,2005,No data,,,
9524197,COUNTRY,CZE,EUR,Europe,2005,<200 [<200 - <500],200.0,200.0,500.0
194039,COUNTRY,RUS,EUR,Europe,2005,No data,,,
707583,COUNTRY,PAN,AMR,Americas,2005,1300 [1100 - 1300],1300.0,1100.0,1300.0
801276,COUNTRY,MOZ,AFR,Africa,2005,150 000 [140 000 - 170 000],150000.0,140000.0,170000.0
894775,COUNTRY,NRU,WPR,Western Pacific,2005,No data,,,
1082069,COUNTRY,PNG,WPR,Western Pacific,2005,2800 [2600 - 3200],2800.0,2600.0,3200.0
1195963,COUNTRY,VEN,AMR,Americas,2005,12 000 [11 000 - 14 000],12000.0,11000.0,14000.0
1502457,COUNTRY,PHL,WPR,Western Pacific,2005,1100 [940 - 1300],1100.0,940.0,1300.0
1902842,COUNTRY,TUN,EMR,Eastern Mediterranean,2005,<500 [<500 - 650],500.0,500.0,650.0
2203993,COUNTRY,TGO,AFR,Africa,2005,9000 [7300 - 11 000],9000.0,7300.0,11000.0
2497883,COUNTRY,IND,SEAR,South-East Asia,2005,No data,,,
2537489,COUNTRY,CHE,EUR,Europe,2005,<500 [<500 - <500],500.0,500.0,500.0
2657933,COUNTRY,SLE,AFR,Africa,2005,6100 [5300 - 7200],6100.0,5300.0,7200.0
2797731,COUNTRY,DEU,EUR,Europe,2005,No data,,,
2992417,COUNTRY,LCA,AMR,Americas,2005,No data,,,
3111577,COUNTRY,CAN,AMR,Americas,2005,2400 [1900 - 2900],2400.0,1900.0,2900.0
3966397,COUNTRY,NPL,SEAR,South-East Asia,2005,3900 [3500 - 4300],3900.0,3500.0,4300.0
4280409,COUNTRY,PRY,AMR,Americas,2005,1100 [860 - 1300],1100.0,860.0,1300.0
4506585,COUNTRY,STP,AFR,Africa,2005,No data,,,
5086287,COUNTRY,MNG,WPR,Western Pacific,2005,<100 [<100 - <100],100.0,100.0,100.0
5187890,COUNTRY,ECU,AMR,Americas,2005,2400 [2100 - 2800],2400.0,2100.0,2800.0
5301070,COUNTRY,BRA,AMR,Americas,2005,47 000 [44 000 - 50 000],47000.0,44000.0,50000.0
5546821,COUNTRY,ALB,EUR,Europe,2005,<100 [<100 - <100],100.0,100.0,100.0
5547013,COUNTRY,NOR,EUR,Europe,2005,No data,,,
5687418,REGION,AFR,,,2005,1 800 000 [1 400 000 - 2 400 000],1800000.0,1400000.0,2400000.0
