Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
25856,COUNTRY,THA,SEAR,South-East Asia,SEX,Both,1991,3.1 [2.7 - 3.6],3.1,2.7,3.6
114527,REGION,EUR,,,SEX,Both,1991,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
159518,COUNTRY,CPV,AFR,Africa,SEX,Both,1991,0.44 [0.3 - 0.81],0.44,0.3,0.81
194215,COUNTRY,PHL,WPR,Western Pacific,SEX,Both,1991,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
197980,COUNTRY,SOM,EMR,Eastern Mediterranean,SEX,Both,1991,No data,,,
200041,COUNTRY,COL,AMR,Americas,SEX,Both,1991,0.22 [0.16 - 0.31],0.22,0.16,0.31
203116,COUNTRY,MHL,WPR,Western Pacific,SEX,Both,1991,No data,,,
205320,COUNTRY,TZA,AFR,Africa,SEX,Both,1991,6 [5.3 - 6.9],6.0,5.3,6.9
323694,COUNTRY,LCA,AMR,Americas,SEX,Both,1991,No data,,,
365224,COUNTRY,DMA,AMR,Americas,SEX,Both,1991,No data,,,
432506,COUNTRY,GUY,AMR,Americas,SEX,Both,1991,0.38 [0.21 - 1.4],0.38,0.21,1.4
450813,COUNTRY,ARM,EUR,Europe,SEX,Both,1991,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
478705,COUNTRY,SRB,EUR,Europe,SEX,Both,1991,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
532815,COUNTRY,NOR,EUR,Europe,SEX,Both,1991,No data,,,
601539,COUNTRY,BLZ,AMR,Americas,SEX,Both,1991,0.34 [0.26 - 0.42],0.34,0.26,0.42
606401,COUNTRY,NPL,SEAR,South-East Asia,SEX,Both,1991,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
680317,COUNTRY,SAU,EMR,Eastern Mediterranean,SEX,Both,1991,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
728555,COUNTRY,AGO,AFR,Africa,SEX,Both,1991,0.97 [0.62 - 1.2],0.97,0.62,1.2
903763,COUNTRY,CHE,EUR,Europe,SEX,Both,1991,0.13 [0.11 - 0.14],0.13,0.11,0.14
975553,REGION,AFR,,,SEX,Both,1991,3.8 [2.8 - 5],3.8,2.8,5.0
1009090,COUNTRY,LUX,EUR,Europe,SEX,Both,1991,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1059974,COUNTRY,VCT,AMR,Americas,SEX,Both,1991,No data,,,
1152268,COUNTRY,SLV,AMR,Americas,SEX,Both,1991,0.21 [0.17 - 0.25],0.21,0.17,0.25
1197233,COUNTRY,CHL,AMR,Americas,SEX,Both,1991,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1280985,COUNTRY,EST,EUR,Europe,SEX,Both,1991,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1411687,COUNTRY,UKR,EUR,Europe,SEX,Both,1991,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
1460433,COUNTRY,MNG,WPR,Western Pacific,SEX,Both,1991,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1524715,COUNTRY,BRB,AMR,Americas,SEX,Both,1991,0.75 [<0.1 - 1.2],0.75,0.1,1.2
1577836,COUNTRY,MYS,WPR,Western Pacific,SEX,Both,1991,0.35 [0.29 - 0.41],0.35,0.29,0.41
1593659,COUNTRY,CAN,AMR,Americas,SEX,Both,1991,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
1614932,COUNTRY,SSD,AFR,Africa,SEX,Both,1991,1.5 [0.77 - 2.2],1.5,0.77,2.2
1672968,COUNTRY,TON,WPR,Western Pacific,SEX,Both,1991,No data,,,
1749750,COUNTRY,LSO,AFR,Africa,SEX,Both,1991,8.3 [6.8 - 10],8.3,6.8,10.0
1840592,REGION,WPR,,,SEX,Both,1991,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1871687,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,Both,1991,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1928740,COUNTRY,CAF,AFR,Africa,SEX,Both,1991,No data,,,
1953584,COUNTRY,GBR,EUR,Europe,SEX,Both,1991,No data,,,
1963339,COUNTRY,AFG,EMR,Eastern Mediterranean,SEX,Both,1991,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
