Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
80570,COUNTRY,LSO,AFR,Africa,SEX,Female,1999,20 [18 - 23],20.0,18.0,23.0
93040,COUNTRY,LBY,EMR,Eastern Mediterranean,SEX,Female,1999,No data,,,
161128,COUNTRY,DNK,EUR,Europe,SEX,Female,1999,No data,,,
186030,COUNTRY,MDG,AFR,Africa,SEX,Female,1999,No data,,,
247441,COUNTRY,CAN,AMR,Americas,SEX,Female,1999,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
323133,COUNTRY,HRV,EUR,Europe,SEX,Female,1999,No data,,,
336685,COUNTRY,ARG,AMR,Americas,SEX,Female,1999,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
338258,COUNTRY,MLI,AFR,Africa,SEX,Female,1999,1.2 [0.98 - 1.5],1.2,0.98,1.5
368836,COUNTRY,TCD,AFR,Africa,SEX,Female,1999,1.6 [1.3 - 2.1],1.6,1.3,2.1
441739,COUNTRY,ESP,EUR,Europe,SEX,Female,1999,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
607829,COUNTRY,ZWE,AFR,Africa,SEX,Female,1999,15 [9.8 - 21],15.0,9.8,21.0
657904,COUNTRY,GTM,AMR,Americas,SEX,Female,1999,0.24 [0.22 - 0.26],0.24,0.22,0.26
906329,COUNTRY,JPN,WPR,Western Pacific,SEX,Female,1999,No data,,,
918254,COUNTRY,MDA,EUR,Europe,SEX,Female,1999,0.26 [0.19 - 0.38],0.26,0.19,0.38
1103917,COUNTRY,PER,AMR,Americas,SEX,Female,1999,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1118461,COUNTRY,AZE,EUR,Europe,SEX,Female,1999,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1130806,COUNTRY,BLZ,AMR,Americas,SEX,Female,1999,0.79 [0.69 - 0.89],0.79,0.69,0.89
1156575,COUNTRY,PAN,AMR,Americas,SEX,Female,1999,0.22 [0.19 - 0.24],0.22,0.19,0.24
1161651,COUNTRY,ZAF,AFR,Africa,SEX,Female,1999,15 [13 - 17],15.0,13.0,17.0
1226292,COUNTRY,NGA,AFR,Africa,SEX,Female,1999,1.8 [1.6 - 2],1.8,1.6,2.0
1291992,COUNTRY,IND,SEAR,South-East Asia,SEX,Female,1999,No data,,,
1358722,COUNTRY,BGR,EUR,Europe,SEX,Female,1999,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1402777,COUNTRY,VCT,AMR,Americas,SEX,Female,1999,No data,,,
1411183,COUNTRY,SSD,AFR,Africa,SEX,Female,1999,2.1 [1.5 - 3],2.1,1.5,3.0
1428535,COUNTRY,CYP,EUR,Europe,SEX,Female,1999,No data,,,
1430293,COUNTRY,MNG,WPR,Western Pacific,SEX,Female,1999,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1444102,REGION,EMR,,,SEX,Female,1999,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1505296,COUNTRY,ECU,AMR,Americas,SEX,Female,1999,0.13 [0.11 - 0.22],0.13,0.11,0.22
1527842,COUNTRY,AND,EUR,Europe,SEX,Female,1999,No data,,,
1571022,COUNTRY,RUS,EUR,Europe,SEX,Female,1999,No data,,,
