Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
34503,COUNTRY,VNM,WPR,Western Pacific,SEX,Male,2017,0.16 [0.14 - 0.17],0.16,0.14,0.17
66272,COUNTRY,DZA,AFR,Africa,SEX,Male,2017,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
150769,COUNTRY,SVK,EUR,Europe,SEX,Male,2017,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
172040,COUNTRY,POL,EUR,Europe,SEX,Male,2017,No data,,,
176540,COUNTRY,ISR,EUR,Europe,SEX,Male,2017,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
239536,COUNTRY,CIV,AFR,Africa,SEX,Male,2017,0.48 [0.35 - 0.67],0.48,0.35,0.67
242963,COUNTRY,COG,AFR,Africa,SEX,Male,2017,1.3 [0.95 - 1.8],1.3,0.95,1.8
244361,COUNTRY,BEN,AFR,Africa,SEX,Male,2017,0.18 [0.13 - 0.28],0.18,0.13,0.28
292427,COUNTRY,FJI,WPR,Western Pacific,SEX,Male,2017,0.25 [0.15 - 0.49],0.25,0.15,0.49
357104,COUNTRY,PAN,AMR,Americas,SEX,Male,2017,0.53 [0.43 - 0.6],0.53,0.43,0.6
400142,COUNTRY,AZE,EUR,Europe,SEX,Male,2017,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
458159,COUNTRY,LVA,EUR,Europe,SEX,Male,2017,0.35 [0.31 - 0.4],0.35,0.31,0.4
463379,COUNTRY,URY,AMR,Americas,SEX,Male,2017,0.33 [0.2 - 0.56],0.33,0.2,0.56
478535,COUNTRY,HND,AMR,Americas,SEX,Male,2017,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
530267,COUNTRY,BDI,AFR,Africa,SEX,Male,2017,0.15 [0.11 - 0.22],0.15,0.11,0.22
559734,COUNTRY,BHR,EMR,Eastern Mediterranean,SEX,Male,2017,No data,,,
563057,COUNTRY,TUV,WPR,Western Pacific,SEX,Male,2017,No data,,,
619933,COUNTRY,NRU,WPR,Western Pacific,SEX,Male,2017,No data,,,
640296,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,Male,2017,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
644765,COUNTRY,TKM,EUR,Europe,SEX,Male,2017,No data,,,
686631,COUNTRY,SWZ,AFR,Africa,SEX,Male,2017,6.5 [5.5 - 7.7],6.5,5.5,7.7
707104,COUNTRY,NGA,AFR,Africa,SEX,Male,2017,0.44 [0.38 - 0.56],0.44,0.38,0.56
775598,COUNTRY,PRY,AMR,Americas,SEX,Male,2017,0.27 [0.19 - 0.37],0.27,0.19,0.37
870256,COUNTRY,ARM,EUR,Europe,SEX,Male,2017,0.27 [0.25 - 0.3],0.27,0.25,0.3
1020112,COUNTRY,ATG,AMR,Americas,SEX,Male,2017,No data,,,
1024473,COUNTRY,CAF,AFR,Africa,SEX,Male,2017,No data,,,
1025583,COUNTRY,USA,AMR,Americas,SEX,Male,2017,No data,,,
1165885,COUNTRY,ZMB,AFR,Africa,SEX,Male,2017,3.5 [3.1 - 4],3.5,3.1,4.0
1344545,COUNTRY,TGO,AFR,Africa,SEX,Male,2017,0.44 [0.33 - 0.66],0.44,0.33,0.66
1406875,COUNTRY,HRV,EUR,Europe,SEX,Male,2017,No data,,,
1409067,COUNTRY,GNB,AFR,Africa,SEX,Male,2017,0.7 [0.52 - 1],0.7,0.52,1.0
1534228,COUNTRY,SVN,EUR,Europe,SEX,Male,2017,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1536397,COUNTRY,BWA,AFR,Africa,SEX,Male,2017,3.5 [3.1 - 4],3.5,3.1,4.0
1541707,COUNTRY,SLB,WPR,Western Pacific,SEX,Male,2017,No data,,,
1650027,COUNTRY,GMB,AFR,Africa,SEX,Male,2017,0.73 [0.51 - 1.1],0.73,0.51,1.1
1655280,COUNTRY,DOM,AMR,Americas,SEX,Male,2017,0.47 [0.27 - 0.63],0.47,0.27,0.63
