Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
7674836,COUNTRY,ARE,EMR,Eastern Mediterranean,2015,0 [0-0],0.0,0.0,0.0
4578211,COUNTRY,VUT,WPR,Western Pacific,2015,877 [707-1074],877.0,707.0,1074.0
4304770,COUNTRY,GUY,AMR,Americas,2015,18 030 [13 518-24 705],18030.0,13517.975,24705.075
6033074,COUNTRY,LKA,SEAR,South-East Asia,2015,0 [0-0],0.0,0.0,0.0
7948585,COUNTRY,SEN,AFR,Africa,2015,981 634 [677 095-1 326 133],981634.0,677094.525,1326132.85
3416973,COUNTRY,ZWE,AFR,Africa,2015,1 067 121 [722 281-1 453 887],1067121.0,722281.225,1453886.85
4084498,COUNTRY,GUF,AMR,Americas,2015,462 [410-532],462.0,410.0,532.0
4578488,COUNTRY,DZA,AFR,Africa,2015,0 [0-0],0.0,0.0,0.0
6466864,COUNTRY,RWA,AFR,Africa,2015,3 585 563 [2 665 779-4 555 795],3585563.0,2665779.075,4555794.775
8242588,COUNTRY,ZAF,AFR,Africa,2015,4959 [4959-4959],4959.0,4959.0,4959.0
8636665,COUNTRY,SAU,EMR,Eastern Mediterranean,2015,83 [83-83],83.0,83.0,83.0
5185845,COUNTRY,UZB,EUR,Europe,2015,0 [0-0],0.0,0.0,0.0
3777750,REGION,AFR,,,2015,210 291 111 [193 976 694-228 716 941],210291110.89328,193976694.12474,228716940.8386
7902377,COUNTRY,AGO,AFR,Africa,2015,4 958 976 [3 853 790-6 277 361],4958976.0,3853790.175,6277360.925
3944890,COUNTRY,TKM,EUR,Europe,2015,0 [0-0],0.0,0.0,0.0
5653078,COUNTRY,IRN,EMR,Eastern Mediterranean,2015,167 [167-167],167.0,167.0,167.0
5546226,COUNTRY,VEN,AMR,Americas,2015,159 668 [142 063-183 278],159668.0,142062.9,183278.45
5746338,COUNTRY,MEX,AMR,Americas,2015,517 [517-517],517.0,517.0,517.0
6167450,COUNTRY,NAM,AFR,Africa,2015,15 052 [11 906-18 424],15052.0,11906.0,18424.025
1394666,COUNTRY,YEM,EMR,Eastern Mediterranean,2015,521 856 [357 608-767 143],521856.0,357607.925,767143.15
1548311,COUNTRY,NER,AFR,Africa,2015,8 073 585 [5 142 786-12 095 313],8073585.0,5142786.25,12095312.98
5766697,COUNTRY,BRA,AMR,Americas,2015,164 589 [147 154-178 032],164589.0,147153.775,178032.35
1789009,COUNTRY,BDI,AFR,Africa,2015,2 196 843 [1 552 614-3 016 858],2196843.0,1552613.65,3016858.075
7849473,COUNTRY,DJI,EMR,Eastern Mediterranean,2015,9473 [9473-9473],9473.0,9473.0,9473.0
8129896,COUNTRY,CIV,AFR,Africa,2015,6 101 705 [4 053 636-8 814 733],6101705.0,4053635.625,8814733.05
4465968,COUNTRY,MLI,AFR,Africa,2015,7 097 168 [5 034 025-10 059 490],7097168.244,5034025.481,10059489.83
1521945,COUNTRY,GEO,EUR,Europe,2015,0 [0-0],0.0,0.0,0.0
8236721,COUNTRY,GNQ,AFR,Africa,2015,485 981 [323 897-700 746],485981.0,323897.075,700745.625
4112318,COUNTRY,TGO,AFR,Africa,2015,2 712 520 [2 200 176-3 328 610],2712520.0,2200176.35,3328610.475
6201420,COUNTRY,PRK,SEAR,South-East Asia,2015,7022 [7022-7022],7022.0,7022.0,7022.0
9037955,COUNTRY,PER,AMR,Americas,2015,86 896 [70 973-103 830],86896.0,70972.975,103830.15
4232887,COUNTRY,MAR,EMR,Eastern Mediterranean,2015,0 [0-0],0.0,0.0,0.0
4353113,COUNTRY,SSD,AFR,Africa,2015,2 984 871 [2 182 331-3 995 687],2984871.0,2182330.6,3995687.375
4873378,COUNTRY,VNM,WPR,Western Pacific,2015,9331 [9331-9331],9331.0,9331.0,9331.0
6501665,COUNTRY,TJK,EUR,Europe,2015,0 [0-0],0.0,0.0,0.0
6348204,COUNTRY,UGA,AFR,Africa,2015,9 501 064 [6 649 672-12 971 511],9501063.65,6649672.161,12971510.87
5066910,COUNTRY,CMR,AFR,Africa,2015,6 224 449 [4 446 990-8 462 102],6224449.0,4446989.5,8462102.3
5881335,COUNTRY,GNB,AFR,Africa,2015,161 652 [70 110-320 671],161652.0,70109.8,320671.4
3518502,COUNTRY,CAF,AFR,Africa,2015,1 636 030 [1 057 129-2 431 326],1636030.0,1057128.7,2431326.05
6375074,COUNTRY,AFG,EMR,Eastern Mediterranean,2015,368 235 [252 522-514 079],368235.0,252521.675,514078.675
2684668,COUNTRY,HTI,AMR,Americas,2015,32 185 [21 419-43 612],32185.0,21418.95,43612.025
340588,COUNTRY,ZMB,AFR,Africa,2015,3 590 396 [2 812 149-4 497 937],3590396.0,2812149.475,4497937.375
1716642,COUNTRY,GTM,AMR,Americas,2015,6482 [5774-7462.025],6482.0,5774.0,7462.025
1242735,COUNTRY,PRY,AMR,Americas,2015,0 [0-0],0.0,0.0,0.0
1262898,COUNTRY,EGY,EMR,Eastern Mediterranean,2015,0 [0-0],0.0,0.0,0.0
8758928,COUNTRY,ARM,EUR,Europe,2015,0 [0-0],0.0,0.0,0.0
8404921,REGION,EMR,,,2015,4 311 536 [3 460 288-5 653 685],4311536.125,3460287.765,5653685.332
9266054,COUNTRY,LBR,AFR,Africa,2015,1 562 919 [1 195 441-2 025 008],1562919.0,1195441.475,2025007.675
7303743,COUNTRY,GAB,AFR,Africa,2015,473 905 [242 940-838 272],473905.0,242939.525,838272.45
8792568,COUNTRY,MYS,WPR,Western Pacific,2015,242 [242-242],242.0,242.0,242.0
2197911,COUNTRY,MDG,AFR,Africa,2015,2 720 036 [1 934 606-3 665 664],2720036.0,1934606.15,3665664.225
742191,COUNTRY,COG,AFR,Africa,2015,1 061 130 [700 593-1 550 248],1061130.0,700592.55,1550247.65
9512945,REGION,SEAR,,,2015,9 525 101 [8 103 785-11 825 522],9525101.0,8103785.0,11825521.5
4847822,COUNTRY,GHA,AFR,Africa,2015,7 870 561 [6 103 764-9 899 193],7870561.0,6103763.85,9899192.8
9032766,COUNTRY,COD,AFR,Africa,2015,24 367 802 [18 654 692-31 291 406],24367802.0,18654691.85,31291405.65
6783214,COUNTRY,COL,AMR,Americas,2015,84 841 [63 002-108 919],84841.0,63001.875,108919.025
7958313,COUNTRY,OMN,EMR,Eastern Mediterranean,2015,0 [0-0],0.0,0.0,0.0
5755537,COUNTRY,TUR,EUR,Europe,2015,0 [0-0],0.0,0.0,0.0
2953073,COUNTRY,SLB,WPR,Western Pacific,2015,39 811 [32 927-49 076],39811.0,32927.0,49076.15
4668323,COUNTRY,TLS,SEAR,South-East Asia,2015,110 [93-129],110.0,93.0,129.0
5248583,COUNTRY,BLZ,AMR,Americas,2015,9 [9-9],9.0,9.0,9.0
3787222,COUNTRY,ARG,AMR,Americas,2015,0 [0-0],0.0,0.0,0.0
1971495,GLOBAL,GLOBAL,,,2015,225 945 421 [209 616 578-244 797 581],225945421.01838,209616577.69297,244797581.35936
7271008,COUNTRY,ERI,AFR,Africa,2015,64 020 [41 039-89 449],64020.0,41038.9,89449.05
8092238,COUNTRY,MWI,AFR,Africa,2015,4 083 083 [3 152 833-5 184 955],4083083.0,3152832.825,5184955.05
3026820,COUNTRY,GMB,AFR,Africa,2015,450 479 [345 078-565 965],450479.0,345077.675,565964.975
9180042,COUNTRY,IND,SEAR,South-East Asia,2015,8 143 325 [6 732 963-10 446 960],8143325.0,6732963.075,10446959.65
2225149,COUNTRY,SUR,AMR,Americas,2015,81 [81-81],81.0,81.0,81.0
6023135,COUNTRY,NGA,AFR,Africa,2015,54 115 123 [43 295 605-67 107 897],54115123.0,43295605.48,67107897.33
