Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
9330107,COUNTRY,SUR,AMR,Americas,2016,0 [0-0],0.0,0.0,0.0
5552213,COUNTRY,BWA,AFR,Africa,2016,3 [3-3],3.0,3.0,3.0
8362264,COUNTRY,PRK,SEAR,South-East Asia,2016,0 [0-0],0.0,0.0,0.0
8188859,COUNTRY,MRT,AFR,Africa,2016,988 [285-2299],988.0,285.0,2299.0
1273958,COUNTRY,CRI,AMR,Americas,2016,0 [0-0],0.0,0.0,0.0
8829945,COUNTRY,BEN,AFR,Africa,2016,11 244 [10 239-12 369],11244.0,10239.0,12369.0
4091327,COUNTRY,GTM,AMR,Americas,2016,0 [0-0],0.0,0.0,0.0
6460219,REGION,AFR,,,2016,546 294 [512 811-603 247],546294.0,512810.5,603247.325
7321552,COUNTRY,GMB,AFR,Africa,2016,615 [587-649],615.0,587.0,649.0
7521742,COUNTRY,ZAF,AFR,Africa,2016,34 [34-34],34.0,34.0,34.0
8149409,COUNTRY,MLI,AFR,Africa,2016,17 286 [15 498-19 356],17286.0,15497.975,19356.025
1394574,COUNTRY,SLE,AFR,Africa,2016,9480 [8552-10 488],9480.0,8552.0,10488.0
4518788,COUNTRY,GHA,AFR,Africa,2016,12 293 [11 796-12 877],12293.0,11796.0,12877.0
2576751,COUNTRY,MAR,EMR,Eastern Mediterranean,2016,0 [0-0],0.0,0.0,0.0
5152727,COUNTRY,RWA,AFR,Africa,2016,3053 [2929-3205],3053.0,2929.0,3205.0
2863744,REGION,SEAR,,,2016,17 455 [9235.95-27 798],17455.0,9235.95,27798.1
8409963,COUNTRY,COM,AFR,Africa,2016,3 [1-5],3.0,1.0,5.0
9017447,COUNTRY,NER,AFR,Africa,2016,35 085 [31 587-39 101],35085.0,31586.975,39101.0
2002443,COUNTRY,IRQ,EMR,Eastern Mediterranean,2016,0 [0-0],0.0,0.0,0.0
7301963,COUNTRY,CAF,AFR,Africa,2016,4839 [4198-5583],4839.0,4198.0,5583.0
8309921,COUNTRY,PAN,AMR,Americas,2016,0 [0-0],0.0,0.0,0.0
9604784,COUNTRY,CMR,AFR,Africa,2016,12 120 [11 192-13 115],12120.0,11191.975,13115.0
7228609,COUNTRY,AFG,EMR,Eastern Mediterranean,2016,351 [151-610.025],351.0,151.0,610.025
6534405,COUNTRY,PRY,AMR,Americas,2016,0 [0-0],0.0,0.0,0.0
1708813,COUNTRY,KHM,WPR,Western Pacific,2016,204 [99-320],204.0,99.0,320.0
5753378,COUNTRY,NAM,AFR,Africa,2016,65 [65-65],65.0,65.0,65.0
4305796,COUNTRY,ZMB,AFR,Africa,2016,7930 [7494-8423],7930.0,7494.0,8423.0
2790611,COUNTRY,HND,AMR,Americas,2016,0 [0-0],0.0,0.0,0.0
2904148,COUNTRY,IDN,SEAR,South-East Asia,2016,1893 [948-2901.025],1893.0,948.0,2901.025
8103409,COUNTRY,ARE,EMR,Eastern Mediterranean,2016,0 [0-0],0.0,0.0,0.0
8090075,REGION,EUR,,,2016,0 [0-0],0.0,0.0,0.0
2396950,COUNTRY,GEO,EUR,Europe,2016,0 [0-0],0.0,0.0,0.0
9551589,COUNTRY,COL,AMR,Americas,2016,36 [36-36],36.0,36.0,36.0
1916081,COUNTRY,TUR,EUR,Europe,2016,0 [0-0],0.0,0.0,0.0
8163678,COUNTRY,GUF,AMR,Americas,2016,0 [0-0],0.0,0.0,0.0
7469494,COUNTRY,KAZ,EUR,Europe,2016,0 [0-0],0.0,0.0,0.0
660735,COUNTRY,DOM,AMR,Americas,2016,1 [1-1],1.0,1.0,1.0
6741733,COUNTRY,GAB,AFR,Africa,2016,397 [355-456],397.0,355.0,456.0
2136740,COUNTRY,GIN,AFR,Africa,2016,11 417 [10 401-12 582],11417.0,10401.0,12582.0
2203572,COUNTRY,VUT,WPR,Western Pacific,2016,0 [0-0],0.0,0.0,0.0
5273759,REGION,WPR,,,2016,2953 [1445-5035.075],2953.0,1445.0,5035.075
474014,REGION,AMR,,,2016,523 [373-685],523.0,373.0,685.0
8651473,COUNTRY,SLB,WPR,Western Pacific,2016,103 [52-160],103.0,52.0,160.0
6722045,COUNTRY,STP,AFR,Africa,2016,1 [1-1],1.0,1.0,1.0
2444549,COUNTRY,SOM,EMR,Eastern Mediterranean,2016,2031 [754-4043.1],2031.0,754.0,4043.1
8691850,COUNTRY,TKM,EUR,Europe,2016,0 [0-0],0.0,0.0,0.0
8785433,COUNTRY,CPV,AFR,Africa,2016,1 [1-1],1.0,1.0,1.0
1002277,COUNTRY,SDN,EMR,Eastern Mediterranean,2016,4527 [1717.975-8838.125],4527.0,1717.975,8838.125
1175922,COUNTRY,TGO,AFR,Africa,2016,4642 [4170-5162],4642.0,4170.0,5162.0
7917556,COUNTRY,BRA,AMR,Americas,2016,35 [35-35],35.0,35.0,35.0
7376763,COUNTRY,AGO,AFR,Africa,2016,12 961 [9545.975-18 085],12961.0,9545.975,18085.05
