Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
9230083,COUNTRY,SUR,AMR,Americas,2021,0.24 [0.24-0.24],0.24106,0.24106,0.24106
7034181,COUNTRY,SDN,EMR,Eastern Mediterranean,2021,69.19 [34.19-122.87],69.19259,34.18892,122.8664
345283,COUNTRY,ZAF,AFR,Africa,2021,0.48 [0.48-0.48],0.48323,0.48323,0.48323
4385211,COUNTRY,BGD,SEAR,South-East Asia,2021,0.50 [0.42-0.58],0.49666,0.42278,0.57697
71737,COUNTRY,PAN,AMR,Americas,2021,1.43,1.42748,,
2208773,COUNTRY,MDG,AFR,Africa,2021,166.33 [106.49-230.77],166.32842,106.49337,230.76544
7695697,COUNTRY,MWI,AFR,Africa,2021,220.65 [142.59-328.05],220.65067,142.58778,328.05096
92331,COUNTRY,TGO,AFR,Africa,2021,238.96 [169.81-328.01],238.95694,169.80505,328.01057
6387199,COUNTRY,PER,AMR,Americas,2021,1.79 [1.47-2.13],1.7854,1.46549,2.12528
6547625,COUNTRY,GHA,AFR,Africa,2021,216.42 [161.40-286.66],216.42441,161.40086,286.66467
9391075,COUNTRY,KOR,WPR,Western Pacific,2021,0.08 [0.08-0.08],0.07549,0.07549,0.07549
8050054,REGION,AFR,,,2021,228.48 [206.08-256.02],228.47968,206.07678,256.02123
2817500,COUNTRY,BEN,AFR,Africa,2021,378.98 [277.11-510.57],378.9792,277.10718,510.56617
2744027,COUNTRY,VNM,WPR,Western Pacific,2021,0.01 [0.01-0.01],0.00517,0.00517,0.00517
4592878,COUNTRY,EGY,EMR,Eastern Mediterranean,2021,0 [0-0],0.0,0.0,0.0
8891211,COUNTRY,ZMB,AFR,Africa,2021,180.33 [115.88-271.23],180.33278,115.87802,271.23497
2417175,COUNTRY,BLZ,AMR,Americas,2021,0 [0-0],0.0,0.0,0.0
6928848,COUNTRY,OMN,EMR,Eastern Mediterranean,2021,0 [0-0],0.0,0.0,0.0
6801952,COUNTRY,HND,AMR,Americas,2021,0.16,0.16447,,
5353925,COUNTRY,KEN,AFR,Africa,2021,63.69 [40.39-95.68],63.68773,40.38833,95.67862
1442325,COUNTRY,MOZ,AFR,Africa,2021,303.12 [233.31-391.40],303.1183,233.30751,391.39521
9178281,COUNTRY,PRK,SEAR,South-East Asia,2021,0.23 [0.23-0.23],0.22984,0.22984,0.22984
1182163,COUNTRY,IRN,EMR,Eastern Mediterranean,2021,0 [0-0],0.0,0.0,0.0
7923860,COUNTRY,GUF,AMR,Americas,2021,0.46 [0.46-0.46],0.45645,0.45645,0.45645
8331086,COUNTRY,MEX,AMR,Americas,2021,0.09 [0.09-0.09],0.08943,0.08943,0.08943
1643202,COUNTRY,RWA,AFR,Africa,2021,118.74 [92.52-146.49],118.73531,92.52059,146.49453
2744963,COUNTRY,ARG,AMR,Americas,2021,0 [0-0],0.0,0.0,0.0
701600,COUNTRY,TCD,AFR,Africa,2021,207.01 [127.44-317.11],207.00641,127.4363,317.11097
434392,REGION,AMR,,,2021,3.82 [3.56-4.13],3.82497,3.56001,4.12921
1977186,COUNTRY,AZE,EUR,Europe,2021,0 [0-0],0.0,0.0,0.0
2244191,COUNTRY,BFA,AFR,Africa,2021,378.58 [251.28-547.86],378.578,251.28212,547.86085
6276118,COUNTRY,PAK,EMR,Eastern Mediterranean,2021,2.15 [1.71-2.87],2.14853,1.71044,2.87389
5448016,COUNTRY,VEN,AMR,Americas,2021,14.48 [12.88-16.62],14.47874,12.88109,16.6211
8304856,COUNTRY,IDN,SEAR,South-East Asia,2021,2.93 [2.69-3.21],2.93266,2.69216,3.20883
9292635,COUNTRY,DOM,AMR,Americas,2021,0.05 [0.05-0.05],0.04635,0.04635,0.04635
1029273,COUNTRY,SOM,EMR,Eastern Mediterranean,2021,64.45 [38.82-100.65],64.45198,38.82071,100.64854
548364,COUNTRY,LKA,SEAR,South-East Asia,2021,0 [0-0],0.0,0.0,0.0
7697770,COUNTRY,HTI,AMR,Americas,2021,2.22 [1.34-3.44],2.2186,1.34221,3.4395
7130499,REGION,WPR,,,2021,1.86 [1.37-2.40],1.86233,1.36551,2.40209
6796642,COUNTRY,CRI,AMR,Americas,2021,0.11 [0.11-0.11],0.10672,0.10672,0.10672
9366424,COUNTRY,GUY,AMR,Americas,2021,31.53 [26.78-36.61],31.53105,26.77555,36.60905
1791056,COUNTRY,CIV,AFR,Africa,2021,274.17 [205.91-356.78],274.16813,205.90845,356.78163
5989313,COUNTRY,MAR,EMR,Eastern Mediterranean,2021,0 [0-0],0.0,0.0,0.0
1196808,COUNTRY,ARE,EMR,Eastern Mediterranean,2021,0 [0-0],0.0,0.0,0.0
3974089,COUNTRY,BOL,AMR,Americas,2021,2.49 [1.95-3.05],2.48836,1.94622,3.05487
3893952,REGION,EUR,,,2021,0 [0-0],0.0,0.0,0.0
7504585,COUNTRY,ETH,AFR,Africa,2021,45.56 [25.28-68.46],45.55934,25.28208,68.46241
4368072,COUNTRY,SAU,EMR,Eastern Mediterranean,2021,0 [0-0],0.0,0.0,0.0
4741696,COUNTRY,AFG,EMR,Eastern Mediterranean,2021,6.26 [4.82-7.93],6.25681,4.81782,7.93026
1951321,COUNTRY,STP,AFR,Africa,2021,12.25,12.2499,,
6623362,COUNTRY,SLB,WPR,Western Pacific,2021,204.13 [167.82-248.94],204.13264,167.81944,248.93929
5475427,COUNTRY,AGO,AFR,Africa,2021,248.65 [151.03-384.63],248.65088,151.02632,384.6273
8893203,COUNTRY,GIN,AFR,Africa,2021,326.59 [199.87-507.51],326.58785,199.87069,507.5066
6389923,COUNTRY,PHL,WPR,Western Pacific,2021,0.16 [0.11-0.22],0.16157,0.11413,0.2162
3860969,COUNTRY,PNG,WPR,Western Pacific,2021,123.55 [85.77-164.79],123.55187,85.77253,164.79212
1330860,COUNTRY,LAO,WPR,Western Pacific,2021,1.65 [1.19-2.18],1.65104,1.19232,2.18378
8833598,COUNTRY,SSD,AFR,Africa,2021,275.31 [178.88-403.83],275.30835,178.87809,403.82814
128738,COUNTRY,MRT,AFR,Africa,2021,41.23 [14.43-79.96],41.23109,14.42703,79.95739
8680076,COUNTRY,BWA,AFR,Africa,2021,0.67 [0.51-0.94],0.67395,0.51441,0.93712
162121,COUNTRY,COM,AFR,Africa,2021,12.88,12.87868,,
8746980,COUNTRY,COL,AMR,Americas,2021,9.13 [6.93-11.42],9.13051,6.93246,11.41527
9073909,COUNTRY,ERI,AFR,Africa,2021,27.74 [17.78-38.56],27.74117,17.77846,38.56071
7772229,REGION,SEAR,,,2021,2.69 [2.30-3.43],2.68845,2.29722,3.42912
6770953,COUNTRY,UGA,AFR,Africa,2021,262.55 [174.65-411.22],262.55029,174.65276,411.22085
5749756,COUNTRY,TZA,AFR,Africa,2021,131.65 [97.75-172.60],131.64795,97.7471,172.59692
6570838,COUNTRY,NAM,AFR,Africa,2021,9.56 [7.57-11.71],9.5577,7.56787,11.70753
5749805,COUNTRY,SLV,AMR,Americas,2021,0 [0-0],0.0,0.0,0.0
6450818,COUNTRY,GAB,AFR,Africa,2021,225.50 [120.69-385.38],225.49503,120.69159,385.37522
6317817,COUNTRY,IRQ,EMR,Eastern Mediterranean,2021,0 [0-0],0.0,0.0,0.0
3815045,COUNTRY,BRA,AMR,Americas,2021,3.47 [3.34-3.71],3.47458,3.33828,3.70922
4416184,COUNTRY,GTM,AMR,Americas,2021,0.10 [0.10-0.10],0.09582,0.09582,0.09582
177019,REGION,EMR,,,2021,11.37 [8.12-16.44],11.37074,8.11616,16.44405
378425,COUNTRY,SWZ,AFR,Africa,2021,1.49,1.49476,,
639023,COUNTRY,CAF,AFR,Africa,2021,311.40 [199.04-469.03],311.39864,199.04474,469.02762
698395,COUNTRY,ECU,AMR,Americas,2021,0.22 [0.22-0.22],0.21705,0.21705,0.21705
1158631,COUNTRY,COD,AFR,Africa,2021,329.39 [250.39-429.00],329.3893,250.38799,428.99907
1399893,COUNTRY,LBR,AFR,Africa,2021,225.61 [148.14-334.00],225.6087,148.14323,334.00478
1847373,COUNTRY,TLS,SEAR,South-East Asia,2021,0 [0-0],0.0,0.0,0.0
1993592,COUNTRY,SLE,AFR,Africa,2021,322.22 [198.51-487.92],322.22251,198.51482,487.91795
2060217,COUNTRY,BDI,AFR,Africa,2021,296.81 [181.93-461.37],296.80596,181.92777,461.36934
2241134,COUNTRY,MLI,AFR,Africa,2021,345.92 [244.03-491.95],345.92273,244.02793,491.9512
2348440,COUNTRY,NGA,AFR,Africa,2021,299.27 [217.44-407.25],299.27111,217.44339,407.25211
2494782,GLOBAL,GLOBAL,,,2021,58.63 [52.95-65.18],58.63239,52.94959,65.18112
2681967,COUNTRY,ZWE,AFR,Africa,2021,27.54 [16.51-39.52],27.53749,16.50778,39.5193
2688061,COUNTRY,TJK,EUR,Europe,2021,0 [0-0],0.0,0.0,0.0
2808830,COUNTRY,IND,SEAR,South-East Asia,2021,2.62 [2.13-3.25],2.61697,2.12683,3.2528
3088350,COUNTRY,NER,AFR,Africa,2021,304.18 [174.81-491.94],304.17662,174.81045,491.94022
3149776,COUNTRY,MYS,WPR,Western Pacific,2021,0 [0-0],0.0,0.0,0.0
3635721,COUNTRY,GNQ,AFR,Africa,2021,237.31 [150.40-356.22],237.3063,150.40288,356.21632
3688941,COUNTRY,YEM,EMR,Eastern Mediterranean,2021,44.26 [28.14-67.50],44.25521,28.14417,67.50473
3989630,COUNTRY,CPV,AFR,Africa,2021,0 [0-0],0.0,0.0,0.0
4076498,COUNTRY,BTN,SEAR,South-East Asia,2021,0.02 [0.02-0.02],0.01568,0.01568,0.01568
4124061,COUNTRY,PRY,AMR,Americas,2021,0 [0-0],0.0,0.0,0.0
4457792,COUNTRY,MMR,SEAR,South-East Asia,2021,6.30 [3.82-25.93],6.29618,3.81682,25.93458
4824713,COUNTRY,NIC,AMR,Americas,2021,5.04 [4.18-5.93],5.03765,4.18033,5.935
6065477,COUNTRY,VUT,WPR,Western Pacific,2021,2.41 [1.53-3.66],2.41281,1.53007,3.65517
6138990,COUNTRY,KHM,WPR,Western Pacific,2021,1.58 [1.36-1.86],1.57876,1.35889,1.85554
