Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
7775138,COUNTRY,ARM,EUR,Europe,2022,0 [0-0],0.0,0.0,0.0
8756739,COUNTRY,LAO,WPR,Western Pacific,2022,0.08 [0-0.10],0.07627,0.0,0.1017
6280630,COUNTRY,ETH,AFR,Africa,2022,12.40 [4.49-24.24],12.39718,4.48723,24.24212
7735537,COUNTRY,STP,AFR,Africa,2022,0 [0-0],0.0,0.0,0.0
6834181,COUNTRY,AZE,EUR,Europe,2022,0 [0-0],0.0,0.0,0.0
7381606,COUNTRY,SWZ,AFR,Africa,2022,1.17,1.172,,
3270907,COUNTRY,BDI,AFR,Africa,2022,53.64 [39.95-78.46],53.64423,39.95166,78.46201
9397426,COUNTRY,GTM,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
6420544,COUNTRY,GNQ,AFR,Africa,2022,44.36 [36.54-59.22],44.35709,36.53915,59.21671
3791321,COUNTRY,ERI,AFR,Africa,2022,9.27 [3.64-17.01],9.26837,3.63695,17.01229
3417671,COUNTRY,VNM,WPR,Western Pacific,2022,0 [0-0],0.0,0.0,0.0
6414461,REGION,SEAR,,,2022,0.36 [0.23-0.54],0.3617,0.22559,0.53571
5353612,REGION,AMR,,,2022,0.21 [0.16-0.27],0.21063,0.15634,0.26885
2490434,COUNTRY,GUY,AMR,Americas,2022,3.77 [1.83-5.84],3.77296,1.82562,5.842
2891057,COUNTRY,TGO,AFR,Africa,2022,38.80 [32.19-47.88],38.802,32.19015,47.87817
139703,COUNTRY,NER,AFR,Africa,2022,137.49 [113.22-168.72],137.49225,113.21905,168.72262
2630870,COUNTRY,NIC,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
3418347,REGION,AFR,,,2022,54.17 [50.26-65.92],54.17176,50.26064,65.91534
9091504,COUNTRY,MDG,AFR,Africa,2022,29.97 [11.60-56.36],29.96656,11.6042,56.35938
9178047,COUNTRY,IRQ,EMR,Eastern Mediterranean,2022,0 [0-0],0.0,0.0,0.0
213105,COUNTRY,PRK,SEAR,South-East Asia,2022,0 [0-0],0.0,0.0,0.0
6327941,COUNTRY,IRN,EMR,Eastern Mediterranean,2022,0 [0-0],0.0,0.0,0.0
9498416,COUNTRY,EGY,EMR,Eastern Mediterranean,2022,0 [0-0],0.0,0.0,0.0
8437385,COUNTRY,GIN,AFR,Africa,2022,73.16 [61.70-88.36],73.16186,61.69986,88.35915
3825579,COUNTRY,SEN,AFR,Africa,2022,14.72 [5.77-28.67],14.71863,5.76734,28.66676
4766885,COUNTRY,SOM,EMR,Eastern Mediterranean,2022,14.08 [5.52-27.32],14.08277,5.52188,27.31731
1575848,COUNTRY,MWI,AFR,Africa,2022,36.58 [30.84-47.02],36.58466,30.84282,47.01798
8824952,COUNTRY,KHM,WPR,Western Pacific,2022,0.07 [0.03-0.12],0.07355,0.03269,0.12258
1435747,COUNTRY,ZWE,AFR,Africa,2022,7.40 [2.75-14.18],7.39733,2.75029,14.17842
6962611,COUNTRY,KOR,WPR,Western Pacific,2022,0 [0-0],0.0,0.0,0.0
1055218,COUNTRY,MAR,EMR,Eastern Mediterranean,2022,0 [0-0],0.0,0.0,0.0
1356089,COUNTRY,SLB,WPR,Western Pacific,2022,26.77 [13.58-42.29],26.76995,13.57896,42.28877
2357640,COUNTRY,ECU,AMR,Americas,2022,0.01 [0.01-0.01],0.0099,0.0099,0.0099
2818617,COUNTRY,COL,AMR,Americas,2022,0.14 [0.14-0.14],0.13969,0.13969,0.13969
3980078,COUNTRY,GUF,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
3179153,COUNTRY,BLZ,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
220807,COUNTRY,ARG,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
5728366,REGION,WPR,,,2022,0.47 [0.22-0.82],0.47292,0.21689,0.82371
1730485,COUNTRY,MYS,WPR,Western Pacific,2022,0 [0-0],0.0,0.0,0.0
4440872,COUNTRY,AGO,AFR,Africa,2022,56.93 [36.58-94.53],56.92713,36.5789,94.53086
5301744,COUNTRY,CPV,AFR,Africa,2022,0 [0-0],0.0,0.0,0.0
3193191,COUNTRY,SSD,AFR,Africa,2022,60.79 [33.39-121.62],60.79206,33.39004,121.62108
3679994,COUNTRY,NGA,AFR,Africa,2022,84.11 [62.99-116.97],84.1099,62.99021,116.97429
8345412,COUNTRY,CHN,WPR,Western Pacific,2022,0 [0-0],0.0,0.0,0.0
969810,COUNTRY,MOZ,AFR,Africa,2022,64.59 [40.17-110.14],64.59407,40.16988,110.13521
7691595,COUNTRY,CMR,AFR,Africa,2022,46.25 [37.68-58.58],46.24581,37.67981,58.57538
8172346,COUNTRY,LKA,SEAR,South-East Asia,2022,0 [0-0],0.0,0.0,0.0
