Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
340024,COUNTRY,COD,AFR,Africa,2008,65 [39-99],65.0,39.0,99.0
572277,REGION,AMR,,,2008,2.3 [2.1-2.4],2.3,2.1,2.4
639395,COUNTRY,OMN,EMR,Eastern Mediterranean,2008,0.6 [0.48-0.73],0.6,0.48,0.73
726929,COUNTRY,AFG,EMR,Eastern Mediterranean,2008,40 [24-61],40.0,24.0,61.0
827487,COUNTRY,IDN,SEAR,South-East Asia,2008,48 [45-51],48.0,45.0,51.0
981688,COUNTRY,NIU,WPR,Western Pacific,2008,0 [0-0],0.0,0.0,0.0
1167446,COUNTRY,KOR,WPR,Western Pacific,2008,5.9 [5.5-6.3],5.9,5.5,6.3
1174120,COUNTRY,DMA,AMR,Americas,2008,5.6 [5.5-5.7],5.6,5.5,5.7
1195248,COUNTRY,MOZ,AFR,Africa,2008,32 [18-50],32.0,18.0,50.0
1335261,COUNTRY,MDV,SEAR,South-East Asia,2008,2.3 [2-2.6],2.3,2.0,2.6
1475449,COUNTRY,BHS,AMR,Americas,2008,1.3 [1.2-1.4],1.3,1.2,1.4
1488823,COUNTRY,ARG,AMR,Americas,2008,1.6 [1.5-1.7],1.6,1.5,1.7
1696179,REGION,WPR,,,2008,7.2 [6.6-7.8],7.2,6.6,7.8
1823692,COUNTRY,JOR,EMR,Eastern Mediterranean,2008,0.52 [0.41-0.65],0.52,0.41,0.65
1850496,COUNTRY,COK,WPR,Western Pacific,2008,1 [0.62-1.5],1.0,0.62,1.5
2257351,COUNTRY,ARM,EUR,Europe,2008,6.1 [6-6.2],6.1,6.0,6.2
2416988,COUNTRY,CIV,AFR,Africa,2008,32 [19-49],32.0,19.0,49.0
2563491,COUNTRY,PAK,EMR,Eastern Mediterranean,2008,29 [25-32],29.0,25.0,32.0
2629744,COUNTRY,GRC,EUR,Europe,2008,0.78 [0.75-0.8],0.78,0.75,0.8
2689747,COUNTRY,FIN,EUR,Europe,2008,1.1 [1.1-1.1],1.1,1.1,1.1
2717476,GLOBAL,GLOBAL,,,2008,22 [20-25],22.0,20.0,25.0
2718289,COUNTRY,CAN,AMR,Americas,2008,0.4 [0.39-0.4],0.4,0.39,0.4
2718304,COUNTRY,MYS,WPR,Western Pacific,2008,5.8 [3.3-9.1],5.8,3.3,9.1
2924229,COUNTRY,AUT,EUR,Europe,2008,0.59 [0.59-0.6],0.59,0.59,0.6
3105350,COUNTRY,ZAF,AFR,Africa,2008,63 [60-65],63.0,60.0,65.0
3225647,COUNTRY,KNA,AMR,Americas,2008,2.1 [2.1-2.1],2.1,2.1,2.1
3231474,COUNTRY,LBR,AFR,Africa,2008,45 [23-74],45.0,23.0,74.0
3299442,COUNTRY,LBN,EMR,Eastern Mediterranean,2008,1 [0.63-1.5],1.0,0.63,1.5
3552258,COUNTRY,TON,WPR,Western Pacific,2008,1.2 [0.71-1.8],1.2,0.71,1.8
3644503,COUNTRY,ISR,EUR,Europe,2008,0.41 [0.4-0.43],0.41,0.4,0.43
3712611,COUNTRY,MLT,EUR,Europe,2008,0.25 [0.24-0.25],0.25,0.24,0.25
3897586,COUNTRY,FRA,EUR,Europe,2008,1.1 [1.1-1.1],1.1,1.1,1.1
3952604,COUNTRY,ZWE,AFR,Africa,2008,28 [10-54],28.0,10.0,54.0
3958310,COUNTRY,CRI,AMR,Americas,2008,1.3 [1.3-1.3],1.3,1.3,1.3
4065012,COUNTRY,ESP,EUR,Europe,2008,0.78 [0.77-0.8],0.78,0.77,0.8
