Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
24757,COUNTRY,ZWE,AFR,Africa,2020,29 000 [21 000-39 000],29000.0,21000.0,39000.0
54655,COUNTRY,SWZ,AFR,Africa,2020,4100 [2300-6100],4100.0,2300.0,6100.0
64983,COUNTRY,ECU,AMR,Americas,2020,7900 [6100-10 000],7900.0,6100.0,10000.0
81908,COUNTRY,GRC,EUR,Europe,2020,440 [370-500],440.0,370.0,500.0
103833,COUNTRY,THA,SEAR,South-East Asia,2020,103 000 [78 000-134 000],103000.0,78000.0,134000.0
231168,COUNTRY,NGA,AFR,Africa,2020,469 000 [306 000-666 000],469000.0,306000.0,666000.0
275313,COUNTRY,LBR,AFR,Africa,2020,16 000 [10 000-23 000],16000.0,10000.0,23000.0
321791,COUNTRY,SVK,EUR,Europe,2020,180 [150-200],180.0,150.0,200.0
460717,COUNTRY,MUS,AFR,Africa,2020,160 [120-200],160.0,120.0,200.0
473987,COUNTRY,GHA,AFR,Africa,2020,45 000 [21 000-77 000],45000.0,21000.0,77000.0
497115,COUNTRY,TGO,AFR,Africa,2020,3000 [2400-3700],3000.0,2400.0,3700.0
528422,COUNTRY,YEM,EMR,Eastern Mediterranean,2020,17 000 [15 000-20 000],17000.0,15000.0,20000.0
589882,COUNTRY,PSE,EMR,Eastern Mediterranean,2020,32 [25-41],32.0,25.0,41.0
613261,COUNTRY,AND,EUR,Europe,2020,2 [2-3],2.0,2.0,3.0
622229,COUNTRY,PRI,AMR,Americas,2020,31 [27-36],31.0,27.0,36.0
630979,COUNTRY,HKG,,,2020,4200 [3600-4800],4200.0,3600.0,4800.0
654837,COUNTRY,GMB,AFR,Africa,2020,3900 [2800-5000],3900.0,2800.0,5000.0
656797,COUNTRY,BOL,AMR,Americas,2020,12 000 [7900-17 000],12000.0,7900.0,17000.0
667083,COUNTRY,CAN,AMR,Americas,2020,2000 [1700-2300],2000.0,1700.0,2300.0
693505,COUNTRY,POL,EUR,Europe,2020,3600 [3100-4200],3600.0,3100.0,4200.0
709696,COUNTRY,AGO,AFR,Africa,2020,110 000 [72 000-161 000],110000.0,72000.0,161000.0
767558,COUNTRY,NLD,EUR,Europe,2020,710 [600-820],710.0,600.0,820.0
803586,COUNTRY,JAM,AMR,Americas,2020,89 [66-110],89.0,66.0,110.0
851508,COUNTRY,FJI,WPR,Western Pacific,2020,610 [460-770],610.0,460.0,770.0
853131,COUNTRY,BRA,AMR,Americas,2020,95 000 [80 000-110 000],95000.0,80000.0,110000.0
871524,COUNTRY,GIN,AFR,Africa,2020,23 000 [15 000-34 000],23000.0,15000.0,34000.0
936105,COUNTRY,LSO,AFR,Africa,2020,14 000 [8200-20 000],14000.0,8200.0,20000.0
975903,COUNTRY,MCO,EUR,Europe,2020,0 [0-0],0.0,0.0,0.0
1013521,COUNTRY,GUY,AMR,Americas,2020,460 [350-580],460.0,350.0,580.0
1051262,COUNTRY,KOR,WPR,Western Pacific,2020,25 000 [23 000-26 000],25000.0,23000.0,26000.0
1052143,COUNTRY,BIH,EUR,Europe,2020,840 [640-1100],840.0,640.0,1100.0
1149687,COUNTRY,SRB,EUR,Europe,2020,990 [800-1100],990.0,800.0,1100.0
1153518,COUNTRY,HTI,AMR,Americas,2020,18 000 [14 000-24 000],18000.0,14000.0,24000.0
1236596,COUNTRY,ISR,EUR,Europe,2020,180 [160-210],180.0,160.0,210.0
1251789,COUNTRY,NZL,WPR,Western Pacific,2020,360 [310-420],360.0,310.0,420.0
1290225,COUNTRY,MRT,AFR,Africa,2020,3900 [2500-5600],3900.0,2500.0,5600.0
1317171,COUNTRY,CHN,WPR,Western Pacific,2020,834 000 [719 000-957 000],834000.0,719000.0,957000.0
1391272,COUNTRY,FSM,WPR,Western Pacific,2020,120 [88-150],120.0,88.0,150.0
