Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
45113,COUNTRY,GAB,AFR,Africa,2001,1200 [530-2000],1200.0,530.0,2000.0
188482,COUNTRY,MRT,AFR,Africa,2001,1500 [850-2200],1500.0,850.0,2200.0
348340,COUNTRY,GRD,AMR,Americas,2001,1 [1-2],1.0,1.0,2.0
516930,COUNTRY,DEU,EUR,Europe,2001,540 [530-550],540.0,530.0,550.0
553431,COUNTRY,CYP,EUR,Europe,2001,1 [1-1],1.0,1.0,1.0
573854,WORLDBANKINCOMEGROUP,WB_LI,,,2001,224 000 [184 000-268 000],224000.0,184000.0,268000.0
606698,COUNTRY,AGO,AFR,Africa,2001,12 000 [6700-18 000],12000.0,6700.0,18000.0
614774,COUNTRY,RWA,AFR,Africa,2001,430 [220-710],430.0,220.0,710.0
694278,COUNTRY,BDI,AFR,Africa,2001,3200 [1600-5300],3200.0,1600.0,5300.0
775145,COUNTRY,BRN,WPR,Western Pacific,2001,14 [13-14],14.0,13.0,14.0
949428,COUNTRY,PAN,AMR,Americas,2001,190 [180-200],190.0,180.0,200.0
1063459,COUNTRY,SGP,WPR,Western Pacific,2001,110 [100-120],110.0,100.0,120.0
1116139,REGION,SEAR,,,2001,1 140 000 [939 000-1 370 000],1140000.0,939000.0,1370000.0
1144566,COUNTRY,CMR,AFR,Africa,2001,9200 [4300-16 000],9200.0,4300.0,16000.0
1218012,COUNTRY,NIC,AMR,Americas,2001,250 [220-280],250.0,220.0,280.0
1371420,COUNTRY,SYR,EMR,Eastern Mediterranean,2001,87 [63-120],87.0,63.0,120.0
1442844,COUNTRY,KHM,WPR,Western Pacific,2001,5200 [3800-6800],5200.0,3800.0,6800.0
1477819,COUNTRY,GRC,EUR,Europe,2001,110 [110-120],110.0,110.0,120.0
1491573,COUNTRY,ALB,EUR,Europe,2001,21 [17-24],21.0,17.0,24.0
1497527,COUNTRY,COD,AFR,Africa,2001,32 000 [17 000-52 000],32000.0,17000.0,52000.0
1711469,COUNTRY,ARE,EMR,Eastern Mediterranean,2001,25 [18-32],25.0,18.0,32.0
1772245,COUNTRY,NOR,EUR,Europe,2001,52 [51-53],52.0,51.0,53.0
1842904,COUNTRY,COM,AFR,Africa,2001,35 [21-53],35.0,21.0,53.0
1845613,COUNTRY,ISR,EUR,Europe,2001,55 [53-57],55.0,53.0,57.0
1897527,REGION,AMR,,,2001,27 000 [25 000-29 000],27000.0,25000.0,29000.0
1931231,COUNTRY,YEM,EMR,Eastern Mediterranean,2001,3600 [2600-4800],3600.0,2600.0,4800.0
1948419,COUNTRY,LBR,AFR,Africa,2001,1500 [760-2600],1500.0,760.0,2600.0
1950804,COUNTRY,ZAF,AFR,Africa,2001,28 000 [27 000-29 000],28000.0,27000.0,29000.0
1962154,COUNTRY,IRN,EMR,Eastern Mediterranean,2001,600 [520-680],600.0,520.0,680.0
2044085,COUNTRY,PAK,EMR,Eastern Mediterranean,2001,58 000 [52 000-65 000],58000.0,52000.0,65000.0
2065076,COUNTRY,FRA,EUR,Europe,2001,1100 [1100-1200],1100.0,1100.0,1200.0
2256768,COUNTRY,CUB,AMR,Americas,2001,38 [38-38],38.0,38.0,38.0
2379324,COUNTRY,ISL,EUR,Europe,2001,3 [3-3],3.0,3.0,3.0
2384826,COUNTRY,MLI,AFR,Africa,2001,1600 [870-2400],1600.0,870.0,2400.0
2466581,COUNTRY,LSO,AFR,Africa,2001,1700 [600-3300],1700.0,600.0,3300.0
2518875,COUNTRY,QAT,EMR,Eastern Mediterranean,2001,5 [5-6],5.0,5.0,6.0
2546264,COUNTRY,LBY,EMR,Eastern Mediterranean,2001,300 [190-420],300.0,190.0,420.0
2587310,COUNTRY,MDV,SEAR,South-East Asia,2001,17 [12-23],17.0,12.0,23.0
2646529,REGION,AFR,,,2001,367 000 [306 000-433 000],367000.0,306000.0,433000.0
2673169,COUNTRY,AUT,EUR,Europe,2001,56 [56-57],56.0,56.0,57.0
2740440,COUNTRY,MOZ,AFR,Africa,2001,7200 [2800-14 000],7200.0,2800.0,14000.0
2773795,COUNTRY,AND,EUR,Europe,2001,1 [1-1],1.0,1.0,1.0
2813237,COUNTRY,SLE,AFR,Africa,2001,3400 [1800-5400],3400.0,1800.0,5400.0
2843982,COUNTRY,EGY,EMR,Eastern Mediterranean,2001,1100 [910-1400],1100.0,910.0,1400.0
2864713,COUNTRY,LUX,EUR,Europe,2001,5 [5-5],5.0,5.0,5.0
2881055,COUNTRY,COK,WPR,Western Pacific,2001,0 [0-0],0.0,0.0,0.0
2885966,COUNTRY,VUT,WPR,Western Pacific,2001,30 [20-43],30.0,20.0,43.0
2886496,COUNTRY,MDG,AFR,Africa,2001,14 000 [8100-21 000],14000.0,8100.0,21000.0
2960871,COUNTRY,NLD,EUR,Europe,2001,92 [89-95],92.0,89.0,95.0
2991626,COUNTRY,GEO,EUR,Europe,2001,290 [280-310],290.0,280.0,310.0
3120112,COUNTRY,STP,AFR,Africa,2001,35 [14-65],35.0,14.0,65.0
3166808,COUNTRY,MAR,EMR,Eastern Mediterranean,2001,2600 [1600-3900],2600.0,1600.0,3900.0
3183905,COUNTRY,ITA,EUR,Europe,2001,450 [440-460],450.0,440.0,460.0
