Country,Year,Reported Cholera Cases
AFG,2001,4499
AUS,2001,2
AUT,2001,0
BDI,2001,1003
BEN,2001,3943
BFA,2001,477
BRA,2001,7
CAN,2001,6
CHN,2001,140
CIV,2001,5912
CMR,2001,259
COD,2001,5728
COM,2001,226
DEU,2001,1
ECU,2001,9
ESP,2001,1
FRA,2001,2
FSM,2001,14
GHA,2001,5487
GIN,2001,392
GTM,2001,13
HND,2001,1
IDN,2001,561
IND,2001,4081
IRL,2001,1
IRN,2001,105
IRQ,2001,560
JPN,2001,11
KAZ,2001,1
KEN,2001,1001
KOR,2001,138
LBR,2001,1062
MDG,2001,7219
MEX,2001,1
MLI,2001,67
MOZ,2001,8794
MWI,2001,2395
MYS,2001,557
NER,2001,81
NGA,2001,2312
NZL,2001,1
OMN,2001,7
PER,2001,494
PHL,2001,174
RUS,2001,53
RWA,2001,157
SGP,2001,8
SOM,2001,2567
SWZ,2001,5612
TCD,2001,5244
TGO,2001,2551
TKM,2001,561
TON,2001,145
TZA,2001,1300
UGA,2001,247
USA,2001,4
ZAF,2001,106159
ZMB,2001,3109
ZWE,2001,650
