Country,Year,Reported Cholera Deaths
AUS,1978,0
BDI,1978,248
BEN,1978,0
BFA,1978,0
BGD,1978,81
BHR,1978,2
CHE,1978,0
CMR,1978,0
COD,1978,183
COG,1978,14
DJI,1978,2
DZA,1978,13
GHA,1978,120
IDN,1978,507
IND,1978,246
IRQ,1978,0
JPN,1978,1
KEN,1978,17
KIR,1978,0
KWT,1978,0
LBR,1978,9
LKA,1978,2
MDV,1978,220
MMR,1978,372
MWI,1978,24
MYS,1978,64
NGA,1978,20
NLD,1978,0
NPL,1978,10
NRU,1978,0
PHL,1978,122
RWA,1978,48
SAU,1978,1
SEN,1978,8
SGP,1978,0
TGO,1978,6
THA,1978,123
TZA,1978,733
UGA,1978,110
VNM,1978,0
YEM,1978,12
ZMB,1978,36
