Country,Year,Cholera Case Fatality Rate
AFG,1999,0.62
AUS,1999,0
AUT,1999,0
BDI,1999,1.83
BEN,1999,2.92
BFA,1999,7.53
BGD,1999,1.83
BLZ,1999,0
BRA,1999,1.85
BRN,1999,0
CHN,1999,0
CMR,1999,2.21
COD,1999,6.16
COG,1999,0.42
COL,1999,0
COM,1999,3.56
DEU,1999,0
ECU,1999,0
GHA,1999,2.76
GIN,1999,4.67
GTM,1999,0
HND,1999,5.36
IND,1999,0.16
IRN,1999,1.53
IRQ,1999,1.51
JPN,1999,0
KEN,1999,3.17
KHM,1999,7.6
LBR,1999,0
LKA,1999,4.63
MDG,1999,5.5
MLI,1999,50
MOZ,1999,2.69
MWI,1999,2.44
MYS,1999,0
NER,1999,7.17
NGA,1999,7.91
NIC,1999,1.27
NLD,1999,0
NZL,1999,0
PER,1999,0.39
PHL,1999,0
RUS,1999,0
RWA,1999,14.98
SDN,1999,0
SGP,1999,0
SLE,1999,0.58
SLV,1999,0
SOM,1999,3.9
SWZ,1999,0
TCD,1999,8.29
TGO,1999,4.65
TZA,1999,4.76
UGA,1999,4.4
UKR,1999,0
USA,1999,0
VEN,1999,2.13
VNM,1999,0
ZAF,1999,2.94
ZMB,1999,3.96
ZWE,1999,6.83
