Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
13662,COUNTRY,FSM,WPR,Western Pacific,2019,No data,
19128,COUNTRY,SLV,AMR,Americas,2019,22 000 [20 000 - 24 000],22000.0
41412,COUNTRY,POL,EUR,Europe,2019,No data,
87765,COUNTRY,CAN,AMR,Americas,2019,62 000 [51 000 - 70 000],62000.0
103485,COUNTRY,ARM,EUR,Europe,2019,4800 [4500 - 5100],4800.0
186188,COUNTRY,USA,AMR,Americas,2019,No data,
360932,COUNTRY,LBR,AFR,Africa,2019,35 000 [30 000 - 42 000],35000.0
366263,REGION,EUR,,,2019,2 700 000 [2 400 000 - 3 000 000],2700000.0
417679,COUNTRY,NPL,SEAR,South-East Asia,2019,30 000 [27 000 - 33 000],30000.0
431280,COUNTRY,GIN,AFR,Africa,2019,120 000 [110 000 - 140 000],120000.0
483347,COUNTRY,KAZ,EUR,Europe,2019,34 000 [30 000 - 38 000],34000.0
491840,COUNTRY,ZMB,AFR,Africa,2019,1 300 000 [1 300 000 - 1 400 000],1300000.0
516256,COUNTRY,IDN,SEAR,South-East Asia,2019,570 000 [520 000 - 620 000],570000.0
530845,COUNTRY,VEN,AMR,Americas,2019,89 000 [79 000 - 97 000],89000.0
565864,REGION,WPR,,,2019,2 000 000 [1 900 000 - 2 100 000],2000000.0
610055,COUNTRY,SWZ,AFR,Africa,2019,240 000 [220 000 - 260 000],240000.0
641046,COUNTRY,SVK,EUR,Europe,2019,1100 [950 - 1400],1100.0
717665,COUNTRY,GNB,AFR,Africa,2019,35 000 [31 000 - 42 000],35000.0
777887,COUNTRY,GEO,EUR,Europe,2019,7300 [6900 - 7800],7300.0
826474,COUNTRY,SSD,AFR,Africa,2019,140 000 [120 000 - 170 000],140000.0
838081,COUNTRY,HUN,EUR,Europe,2019,No data,
864719,COUNTRY,UKR,EUR,Europe,2019,240 000 [210 000 - 280 000],240000.0
923642,COUNTRY,DEU,EUR,Europe,2019,87 000 [70 000 - 100 000],87000.0
1155504,COUNTRY,PRT,EUR,Europe,2019,46 000 [40 000 - 50 000],46000.0
1176395,COUNTRY,BHS,AMR,Americas,2019,4200 [3800 - 4700],4200.0
1220096,COUNTRY,CMR,AFR,Africa,2019,No data,
1293392,COUNTRY,MEX,AMR,Americas,2019,330 000 [300 000 - 360 000],330000.0
1382866,COUNTRY,BEN,AFR,Africa,2019,70 000 [59 000 - 84 000],70000.0
1393917,COUNTRY,CHN,WPR,Western Pacific,2019,No data,
1434091,REGION,EMR,,,2019,390 000 [330 000 - 510 000],390000.0
1440579,COUNTRY,SYC,AFR,Africa,2019,No data,
