Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
31011,COUNTRY,MNE,EUR,Europe,2023,<100 [<100 - <100],100.0,100.0,100.0
235524,COUNTRY,NLD,EUR,Europe,2023,No data,,,
333117,COUNTRY,PAN,AMR,Americas,2023,<500 [<500 - <500],500.0,500.0,500.0
475134,COUNTRY,TGO,AFR,Africa,2023,2200 [1600 - 3400],2200.0,1600.0,3400.0
717808,COUNTRY,BLZ,AMR,Americas,2023,<200 [<100 - <200],200.0,100.0,200.0
725871,COUNTRY,AUS,WPR,Western Pacific,2023,<100 [<100 - <200],100.0,100.0,200.0
847437,COUNTRY,FSM,WPR,Western Pacific,2023,No data,,,
967626,COUNTRY,WSM,WPR,Western Pacific,2023,No data,,,
1019122,COUNTRY,DJI,EMR,Eastern Mediterranean,2023,540 [<500 - 830],540.0,500.0,830.0
1275462,COUNTRY,JOR,EMR,Eastern Mediterranean,2023,<100 [<100 - <100],100.0,100.0,100.0
1296773,REGION,WPR,,,2023,53 000 [42 000 - 65 000],53000.0,42000.0,65000.0
1328722,COUNTRY,SSD,AFR,Africa,2023,5600 [3500 - 8200],5600.0,3500.0,8200.0
1346030,COUNTRY,JAM,AMR,Americas,2023,740 [560 - 940],740.0,560.0,940.0
1346220,COUNTRY,HND,AMR,Americas,2023,<500 [<500 - 620],500.0,500.0,620.0
1406865,COUNTRY,MOZ,AFR,Africa,2023,44 000 [38 000 - 51 000],44000.0,38000.0,51000.0
1438299,COUNTRY,CZE,EUR,Europe,2023,<100 [<100 - <100],100.0,100.0,100.0
1474724,COUNTRY,MCO,EUR,Europe,2023,No data,,,
1569286,COUNTRY,GEO,EUR,Europe,2023,<100 [<100 - <100],100.0,100.0,100.0
1585591,COUNTRY,SVK,EUR,Europe,2023,<100 [<100 - <100],100.0,100.0,100.0
1844714,COUNTRY,NER,AFR,Africa,2023,950 [750 - 1200],950.0,750.0,1200.0
1934679,COUNTRY,PRK,SEAR,South-East Asia,2023,No data,,,
2019202,COUNTRY,TTO,AMR,Americas,2023,No data,,,
2031926,COUNTRY,NAM,AFR,Africa,2023,3700 [3000 - 4400],3700.0,3000.0,4400.0
2032056,COUNTRY,SAU,EMR,Eastern Mediterranean,2023,<200 [<100 - <200],200.0,100.0,200.0
2170965,COUNTRY,LAO,WPR,Western Pacific,2023,<500 [<500 - <500],500.0,500.0,500.0
2234619,COUNTRY,ESP,EUR,Europe,2023,610 [<500 - 760],610.0,500.0,760.0
2263668,COUNTRY,PLW,WPR,Western Pacific,2023,No data,,,
2339542,COUNTRY,SUR,AMR,Americas,2023,<500 [<200 - <500],500.0,200.0,500.0
2355004,COUNTRY,TLS,SEAR,South-East Asia,2023,<100 [<100 - <100],100.0,100.0,100.0
2382010,COUNTRY,BOL,AMR,Americas,2023,630 [<500 - 960],630.0,500.0,960.0
2583946,COUNTRY,QAT,EMR,Eastern Mediterranean,2023,<100 [<100 - <100],100.0,100.0,100.0
2588995,REGION,AFR,,,2023,390 000 [310 000 - 490 000],390000.0,310000.0,490000.0
2652287,COUNTRY,UZB,EUR,Europe,2023,600 [<500 - 710],600.0,500.0,710.0
2667973,COUNTRY,MRT,AFR,Africa,2023,<500 [<200 - <500],500.0,200.0,500.0
2702784,COUNTRY,MHL,WPR,Western Pacific,2023,No data,,,
2823209,COUNTRY,TUN,EMR,Eastern Mediterranean,2023,<500 [<500 - 640],500.0,500.0,640.0
2824617,COUNTRY,COK,WPR,Western Pacific,2023,No data,,,
2829490,COUNTRY,LBN,EMR,Eastern Mediterranean,2023,<100 [<100 - <100],100.0,100.0,100.0
2852909,COUNTRY,LCA,AMR,Americas,2023,No data,,,
2989229,COUNTRY,BTN,SEAR,South-East Asia,2023,<100 [<100 - <100],100.0,100.0,100.0
3011593,COUNTRY,VEN,AMR,Americas,2023,No data,,,
3012157,COUNTRY,FJI,WPR,Western Pacific,2023,<100 [<100 - <200],100.0,100.0,200.0
3090035,COUNTRY,SDN,EMR,Eastern Mediterranean,2023,2300 [1500 - 3700],2300.0,1500.0,3700.0
3118844,COUNTRY,PRT,EUR,Europe,2023,<200 [<200 - <500],200.0,200.0,500.0
3252425,REGION,EMR,,,2023,20 000 [15 000 - 29 000],20000.0,15000.0,29000.0
3513427,COUNTRY,POL,EUR,Europe,2023,No data,,,
3600302,COUNTRY,BGR,EUR,Europe,2023,<100 [<100 - <100],100.0,100.0,100.0
3615430,COUNTRY,PER,AMR,Americas,2023,770 [520 - 1200],770.0,520.0,1200.0
3630052,COUNTRY,GTM,AMR,Americas,2023,<500 [<500 - 630],500.0,500.0,630.0
3631056,COUNTRY,MAR,EMR,Eastern Mediterranean,2023,<500 [<500 - 510],500.0,500.0,510.0
3740758,COUNTRY,DOM,AMR,Americas,2023,1400 [860 - 2100],1400.0,860.0,2100.0
3781330,COUNTRY,KAZ,EUR,Europe,2023,No data,,,
3892597,COUNTRY,SVN,EUR,Europe,2023,<100 [<100 - <100],100.0,100.0,100.0
3901349,COUNTRY,CIV,AFR,Africa,2023,9500 [7200 - 13 000],9500.0,7200.0,13000.0
3917232,COUNTRY,KEN,AFR,Africa,2023,21 000 [16 000 - 29 000],21000.0,16000.0,29000.0
3962903,COUNTRY,TZA,AFR,Africa,2023,25 000 [21 000 - 33 000],25000.0,21000.0,33000.0
4006725,COUNTRY,CHE,EUR,Europe,2023,<100 [<100 - <100],100.0,100.0,100.0
4173407,COUNTRY,PHL,WPR,Western Pacific,2023,2000 [1400 - 2700],2000.0,1400.0,2700.0
4179676,COUNTRY,GRD,AMR,Americas,2023,No data,,,
4282771,COUNTRY,COD,AFR,Africa,2023,11 000 [8400 - 15 000],11000.0,8400.0,15000.0
4349520,COUNTRY,TKM,EUR,Europe,2023,No data,,,
4405072,COUNTRY,ECU,AMR,Americas,2023,<500 [<500 - 580],500.0,500.0,580.0
4406098,COUNTRY,IRL,EUR,Europe,2023,<100 [<100 - <100],100.0,100.0,100.0
4445384,COUNTRY,MDG,AFR,Africa,2023,3100 [2100 - 4700],3100.0,2100.0,4700.0
4485195,COUNTRY,DNK,EUR,Europe,2023,<100 [<100 - <100],100.0,100.0,100.0
4558446,COUNTRY,IRN,EMR,Eastern Mediterranean,2023,2000 [1100 - 4100],2000.0,1100.0,4100.0
4597166,COUNTRY,CAF,AFR,Africa,2023,No data,,,
4599833,COUNTRY,DEU,EUR,Europe,2023,No data,,,
4609388,COUNTRY,CUB,AMR,Americas,2023,<500 [<500 - 640],500.0,500.0,640.0
4640347,COUNTRY,BWA,AFR,Africa,2023,3900 [3200 - 4500],3900.0,3200.0,4500.0
