Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
44868,COUNTRY,SMR,EUR,Europe,SEX,Female,1992,No data,,,
272786,COUNTRY,LBN,EMR,Eastern Mediterranean,SEX,Female,1992,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
311406,COUNTRY,LBY,EMR,Eastern Mediterranean,SEX,Female,1992,No data,,,
366775,COUNTRY,KGZ,EUR,Europe,SEX,Female,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
398552,COUNTRY,MNE,EUR,Europe,SEX,Female,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
533451,COUNTRY,CIV,AFR,Africa,SEX,Female,1992,8.5 [7 - 11],8.5,7.0,11.0
534438,COUNTRY,TKM,EUR,Europe,SEX,Female,1992,No data,,,
654847,COUNTRY,TUR,EUR,Europe,SEX,Female,1992,No data,,,
750080,REGION,EUR,,,SEX,Female,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
917421,COUNTRY,PRK,SEAR,South-East Asia,SEX,Female,1992,No data,,,
994759,COUNTRY,FIN,EUR,Europe,SEX,Female,1992,No data,,,
1169582,COUNTRY,TCD,AFR,Africa,SEX,Female,1992,2.2 [1.5 - 3.4],2.2,1.5,3.4
1203362,COUNTRY,NRU,WPR,Western Pacific,SEX,Female,1992,No data,,,
1205498,COUNTRY,UKR,EUR,Europe,SEX,Female,1992,<0.1 [<0.1 - 0.14],0.1,0.1,0.14
1270840,COUNTRY,BRA,AMR,Americas,SEX,Female,1992,0.17 [0.15 - 0.18],0.17,0.15,0.18
1327895,COUNTRY,CPV,AFR,Africa,SEX,Female,1992,0.42 [0.29 - 0.64],0.42,0.29,0.64
1401237,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,Female,1992,<0.1 [<0.1 - 0.13],0.1,0.1,0.13
1441137,COUNTRY,RUS,EUR,Europe,SEX,Female,1992,No data,,,
1453933,COUNTRY,ARE,EMR,Eastern Mediterranean,SEX,Female,1992,No data,,,
1497862,COUNTRY,SGP,WPR,Western Pacific,SEX,Female,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1541957,COUNTRY,BDI,AFR,Africa,SEX,Female,1992,4 [3.1 - 5],4.0,3.1,5.0
1728314,COUNTRY,CMR,AFR,Africa,SEX,Female,1992,No data,,,
1897323,COUNTRY,BHS,AMR,Americas,SEX,Female,1992,1.5 [1.3 - 1.7],1.5,1.3,1.7
1963999,COUNTRY,NOR,EUR,Europe,SEX,Female,1992,No data,,,
1990451,COUNTRY,BLR,EUR,Europe,SEX,Female,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2035764,COUNTRY,ZAF,AFR,Africa,SEX,Female,1992,7.1 [6.3 - 7.8],7.1,6.3,7.8
2121911,COUNTRY,HUN,EUR,Europe,SEX,Female,1992,No data,,,
2135865,COUNTRY,PAK,EMR,Eastern Mediterranean,SEX,Female,1992,No data,,,
2262429,COUNTRY,KAZ,EUR,Europe,SEX,Female,1992,No data,,,
2302537,COUNTRY,LAO,WPR,Western Pacific,SEX,Female,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
