Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
6021,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,Both,1993,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
51139,COUNTRY,TCD,AFR,Africa,SEX,Both,1993,2 [1.5 - 3.2],2.0,1.5,3.2
133997,COUNTRY,LKA,SEAR,South-East Asia,SEX,Both,1993,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
179782,COUNTRY,KEN,AFR,Africa,SEX,Both,1993,11 [5.9 - 18],11.0,5.9,18.0
194508,COUNTRY,SWZ,AFR,Africa,SEX,Both,1993,14 [12 - 18],14.0,12.0,18.0
372961,COUNTRY,COD,AFR,Africa,SEX,Both,1993,1.6 [1.2 - 2.1],1.6,1.2,2.1
456337,COUNTRY,GMB,AFR,Africa,SEX,Both,1993,0.78 [0.48 - 1.1],0.78,0.48,1.1
466333,COUNTRY,VUT,WPR,Western Pacific,SEX,Both,1993,No data,,,
586642,COUNTRY,BRN,WPR,Western Pacific,SEX,Both,1993,No data,,,
624899,COUNTRY,BGD,SEAR,South-East Asia,SEX,Both,1993,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
791756,COUNTRY,FRA,EUR,Europe,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
820574,COUNTRY,YEM,EMR,Eastern Mediterranean,SEX,Both,1993,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
834822,COUNTRY,MOZ,AFR,Africa,SEX,Both,1993,4.8 [4.1 - 5.6],4.8,4.1,5.6
884381,COUNTRY,MDV,SEAR,South-East Asia,SEX,Both,1993,No data,,,
941339,COUNTRY,CAF,AFR,Africa,SEX,Both,1993,No data,,,
980357,COUNTRY,PAK,EMR,Eastern Mediterranean,SEX,Both,1993,No data,,,
985244,REGION,SEAR,,,SEX,Both,1993,0.45 [0.34 - 0.61],0.45,0.34,0.61
987529,COUNTRY,MDG,AFR,Africa,SEX,Both,1993,No data,,,
1043537,COUNTRY,SGP,WPR,Western Pacific,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1055788,COUNTRY,ALB,EUR,Europe,SEX,Both,1993,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1087154,COUNTRY,KHM,WPR,Western Pacific,SEX,Both,1993,0.62 [0.52 - 0.71],0.62,0.52,0.71
1089471,COUNTRY,SAU,EMR,Eastern Mediterranean,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1101610,COUNTRY,LSO,AFR,Africa,SEX,Both,1993,17 [14 - 21],17.0,14.0,21.0
1118792,COUNTRY,NGA,AFR,Africa,SEX,Both,1993,1.6 [1.4 - 1.9],1.6,1.4,1.9
1132707,COUNTRY,SLE,AFR,Africa,SEX,Both,1993,1.2 [0.76 - 1.6],1.2,0.76,1.6
1139988,COUNTRY,COM,AFR,Africa,SEX,Both,1993,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
1154034,COUNTRY,UGA,AFR,Africa,SEX,Both,1993,6.2 [5.7 - 7],6.2,5.7,7.0
1197376,COUNTRY,BEL,EUR,Europe,SEX,Both,1993,No data,,,
1206420,COUNTRY,MHL,WPR,Western Pacific,SEX,Both,1993,No data,,,
1217766,REGION,EUR,,,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1238458,COUNTRY,GIN,AFR,Africa,SEX,Both,1993,0.96 [0.71 - 1.3],0.96,0.71,1.3
1351161,COUNTRY,URY,AMR,Americas,SEX,Both,1993,0.13 [<0.1 - 0.31],0.13,0.1,0.31
1442171,COUNTRY,ECU,AMR,Americas,SEX,Both,1993,0.23 [0.12 - 0.45],0.23,0.12,0.45
1498652,COUNTRY,MUS,AFR,Africa,SEX,Both,1993,0.15 [<0.1 - 0.62],0.15,0.1,0.62
1555476,COUNTRY,CRI,AMR,Americas,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1650484,REGION,WPR,,,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1688899,COUNTRY,KOR,WPR,Western Pacific,SEX,Both,1993,No data,,,
1779000,COUNTRY,MCO,EUR,Europe,SEX,Both,1993,No data,,,
1904820,COUNTRY,ZAF,AFR,Africa,SEX,Both,1993,8.4 [7.5 - 9.3],8.4,7.5,9.3
1990426,COUNTRY,ISR,EUR,Europe,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2175658,COUNTRY,SMR,EUR,Europe,SEX,Both,1993,No data,,,
2181586,COUNTRY,ATG,AMR,Americas,SEX,Both,1993,No data,,,
2245668,COUNTRY,CAN,AMR,Americas,SEX,Both,1993,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
2326685,COUNTRY,SYC,AFR,Africa,SEX,Both,1993,No data,,,
2415332,COUNTRY,ITA,EUR,Europe,SEX,Both,1993,0.13 [0.11 - 0.15],0.13,0.11,0.15
2453598,COUNTRY,TKM,EUR,Europe,SEX,Both,1993,No data,,,
2461071,COUNTRY,SVK,EUR,Europe,SEX,Both,1993,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2506787,COUNTRY,AZE,EUR,Europe,SEX,Both,1993,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
2610104,COUNTRY,TGO,AFR,Africa,SEX,Both,1993,2.9 [2.2 - 3.9],2.9,2.2,3.9
2615794,COUNTRY,AND,EUR,Europe,SEX,Both,1993,No data,,,
2745192,COUNTRY,AUS,WPR,Western Pacific,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2752469,REGION,EMR,,,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2772200,COUNTRY,ARG,AMR,Americas,SEX,Both,1993,0.17 [0.15 - 0.18],0.17,0.15,0.18
2993991,COUNTRY,WSM,WPR,Western Pacific,SEX,Both,1993,No data,,,
3011030,COUNTRY,BRB,AMR,Americas,SEX,Both,1993,0.79 [0.56 - 0.99],0.79,0.56,0.99
3026454,COUNTRY,NPL,SEAR,South-East Asia,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3133759,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,Both,1993,<0.1 [<0.1 - 0.13],0.1,0.1,0.13
3161812,COUNTRY,AFG,EMR,Eastern Mediterranean,SEX,Both,1993,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
3163738,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,Both,1993,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3188881,COUNTRY,LBY,EMR,Eastern Mediterranean,SEX,Both,1993,No data,,,
3203922,COUNTRY,ISL,EUR,Europe,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3379707,COUNTRY,TUN,EMR,Eastern Mediterranean,SEX,Both,1993,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
3396941,COUNTRY,LCA,AMR,Americas,SEX,Both,1993,No data,,,
3468181,COUNTRY,VEN,AMR,Americas,SEX,Both,1993,0.14 [0.12 - 0.17],0.14,0.12,0.17
3552917,COUNTRY,POL,EUR,Europe,SEX,Both,1993,No data,,,
3591562,COUNTRY,JAM,AMR,Americas,SEX,Both,1993,1.1 [0.71 - 2],1.1,0.71,2.0
3665310,COUNTRY,ARM,EUR,Europe,SEX,Both,1993,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3695482,COUNTRY,AGO,AFR,Africa,SEX,Both,1993,1 [0.71 - 1.2],1.0,0.71,1.2
3736440,COUNTRY,MMR,SEAR,South-East Asia,SEX,Both,1993,0.36 [0.3 - 0.41],0.36,0.3,0.41
3747800,COUNTRY,HND,AMR,Americas,SEX,Both,1993,0.82 [0.69 - 1],0.82,0.69,1.0
3870851,COUNTRY,DOM,AMR,Americas,SEX,Both,1993,1.4 [1 - 1.9],1.4,1.0,1.9
3875932,COUNTRY,TTO,AMR,Americas,SEX,Both,1993,No data,,,
3899371,COUNTRY,PRK,SEAR,South-East Asia,SEX,Both,1993,No data,,,
3907868,COUNTRY,IRQ,EMR,Eastern Mediterranean,SEX,Both,1993,No data,,,
4103138,COUNTRY,VCT,AMR,Americas,SEX,Both,1993,No data,,,
4186993,COUNTRY,FSM,WPR,Western Pacific,SEX,Both,1993,No data,,,
4269019,COUNTRY,RUS,EUR,Europe,SEX,Both,1993,No data,,,
4278505,COUNTRY,NRU,WPR,Western Pacific,SEX,Both,1993,No data,,,
4378789,COUNTRY,BHS,AMR,Americas,SEX,Both,1993,1.7 [1.5 - 1.9],1.7,1.5,1.9
4431176,COUNTRY,MWI,AFR,Africa,SEX,Both,1993,14 [12 - 16],14.0,12.0,16.0
4437008,COUNTRY,TON,WPR,Western Pacific,SEX,Both,1993,No data,,,
4529443,COUNTRY,CIV,AFR,Africa,SEX,Both,1993,7.1 [5.8 - 8.7],7.1,5.8,8.7
4614728,COUNTRY,KAZ,EUR,Europe,SEX,Both,1993,No data,,,
4731536,COUNTRY,PNG,WPR,Western Pacific,SEX,Both,1993,0.22 [0.18 - 0.28],0.22,0.18,0.28
4828852,COUNTRY,IND,SEAR,South-East Asia,SEX,Both,1993,No data,,,
4900490,COUNTRY,BOL,AMR,Americas,SEX,Both,1993,0.36 [0.14 - 0.94],0.36,0.14,0.94
4900566,COUNTRY,SWE,EUR,Europe,SEX,Both,1993,No data,,,
4925028,COUNTRY,LUX,EUR,Europe,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5002962,COUNTRY,GRC,EUR,Europe,SEX,Both,1993,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5009263,COUNTRY,MEX,AMR,Americas,SEX,Both,1993,0.12 [0.1 - 0.14],0.12,0.1,0.14
5212184,COUNTRY,TUV,WPR,Western Pacific,SEX,Both,1993,No data,,,
