Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
205073,COUNTRY,DZA,AFR,Africa,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
220646,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,Male,2020,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
225351,COUNTRY,LVA,EUR,Europe,SEX,Male,2020,0.3 [0.26 - 0.34],0.3,0.26,0.34
272300,COUNTRY,UKR,EUR,Europe,SEX,Male,2020,0.2 [0.14 - 0.27],0.2,0.14,0.27
470828,REGION,SEAR,,,SEX,Male,2020,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
502040,COUNTRY,LBY,EMR,Eastern Mediterranean,SEX,Male,2020,No data,,,
503940,COUNTRY,NZL,WPR,Western Pacific,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
519331,COUNTRY,ATG,AMR,Americas,SEX,Male,2020,No data,,,
520494,COUNTRY,MHL,WPR,Western Pacific,SEX,Male,2020,No data,,,
530479,COUNTRY,MEX,AMR,Americas,SEX,Male,2020,0.27 [0.21 - 0.34],0.27,0.21,0.34
580538,COUNTRY,BRB,AMR,Americas,SEX,Male,2020,0.26 [0.17 - 0.38],0.26,0.17,0.38
655261,REGION,WPR,,,SEX,Male,2020,0.11 [<0.1 - 0.12],0.11,0.1,0.12
673040,COUNTRY,GHA,AFR,Africa,SEX,Male,2020,0.49 [0.34 - 0.64],0.49,0.34,0.64
697553,COUNTRY,NPL,SEAR,South-East Asia,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
719708,COUNTRY,GMB,AFR,Africa,SEX,Male,2020,0.61 [0.41 - 0.92],0.61,0.41,0.92
793953,COUNTRY,LCA,AMR,Americas,SEX,Male,2020,No data,,,
880743,COUNTRY,OMN,EMR,Eastern Mediterranean,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
948582,COUNTRY,MCO,EUR,Europe,SEX,Male,2020,No data,,,
965891,COUNTRY,TLS,SEAR,South-East Asia,SEX,Male,2020,0.12 [<0.1 - 0.15],0.12,0.1,0.15
1030576,COUNTRY,HND,AMR,Americas,SEX,Male,2020,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
1051624,COUNTRY,BOL,AMR,Americas,SEX,Male,2020,0.24 [0.19 - 0.32],0.24,0.19,0.32
1084471,COUNTRY,NAM,AFR,Africa,SEX,Male,2020,1.7 [1.3 - 2.2],1.7,1.3,2.2
1252601,COUNTRY,VCT,AMR,Americas,SEX,Male,2020,No data,,,
1267364,COUNTRY,CAN,AMR,Americas,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1282218,COUNTRY,MYS,WPR,Western Pacific,SEX,Male,2020,0.16 [0.14 - 0.18],0.16,0.14,0.18
1289969,COUNTRY,PNG,WPR,Western Pacific,SEX,Male,2020,0.42 [0.36 - 0.51],0.42,0.36,0.51
1320147,COUNTRY,VUT,WPR,Western Pacific,SEX,Male,2020,No data,,,
1395043,COUNTRY,URY,AMR,Americas,SEX,Male,2020,0.33 [0.18 - 0.59],0.33,0.18,0.59
1427306,COUNTRY,ARG,AMR,Americas,SEX,Male,2020,0.14 [0.11 - 0.17],0.14,0.11,0.17
1480196,COUNTRY,NOR,EUR,Europe,SEX,Male,2020,No data,,,
1548127,COUNTRY,COL,AMR,Americas,SEX,Male,2020,0.44 [0.27 - 0.72],0.44,0.27,0.72
1563687,COUNTRY,ETH,AFR,Africa,SEX,Male,2020,<0.1 [<0.1 - 0.16],0.1,0.1,0.16
1574749,COUNTRY,COM,AFR,Africa,SEX,Male,2020,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
1658259,COUNTRY,PAN,AMR,Americas,SEX,Male,2020,0.53 [0.43 - 0.6],0.53,0.43,0.6
1716336,COUNTRY,BHS,AMR,Americas,SEX,Male,2020,0.25 [0.16 - 0.4],0.25,0.16,0.4
1779284,COUNTRY,GIN,AFR,Africa,SEX,Male,2020,0.41 [0.29 - 0.54],0.41,0.29,0.54
1809261,COUNTRY,AND,EUR,Europe,SEX,Male,2020,No data,,,
1874499,COUNTRY,BDI,AFR,Africa,SEX,Male,2020,0.11 [<0.1 - 0.15],0.11,0.1,0.15
1923562,COUNTRY,VNM,WPR,Western Pacific,SEX,Male,2020,0.14 [0.12 - 0.15],0.14,0.12,0.15
1977767,COUNTRY,HTI,AMR,Americas,SEX,Male,2020,0.48 [0.36 - 0.66],0.48,0.36,0.66
2037274,COUNTRY,SSD,AFR,Africa,SEX,Male,2020,0.51 [0.36 - 0.71],0.51,0.36,0.71
2085639,COUNTRY,IND,SEAR,South-East Asia,SEX,Male,2020,No data,,,
2116636,COUNTRY,MDA,EUR,Europe,SEX,Male,2020,0.44 [0.31 - 0.65],0.44,0.31,0.65
2121316,COUNTRY,LBN,EMR,Eastern Mediterranean,SEX,Male,2020,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
2138847,COUNTRY,CHN,WPR,Western Pacific,SEX,Male,2020,No data,,,
2175238,COUNTRY,ECU,AMR,Americas,SEX,Male,2020,0.16 [0.12 - 0.21],0.16,0.12,0.21
2210258,COUNTRY,GNB,AFR,Africa,SEX,Male,2020,0.52 [0.37 - 0.76],0.52,0.37,0.76
2278732,COUNTRY,GRD,AMR,Americas,SEX,Male,2020,No data,,,
2438178,COUNTRY,DEU,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2536041,COUNTRY,ARM,EUR,Europe,SEX,Male,2020,0.28 [0.26 - 0.32],0.28,0.26,0.32
2554288,COUNTRY,LBR,AFR,Africa,SEX,Male,2020,0.21 [0.14 - 0.34],0.21,0.14,0.34
2671599,COUNTRY,GAB,AFR,Africa,SEX,Male,2020,0.53 [0.31 - 0.94],0.53,0.31,0.94
2773317,COUNTRY,ISR,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2777405,COUNTRY,CRI,AMR,Americas,SEX,Male,2020,0.34 [0.25 - 0.44],0.34,0.25,0.44
2852931,COUNTRY,LTU,EUR,Europe,SEX,Male,2020,0.12 [<0.1 - 0.18],0.12,0.1,0.18
2872554,COUNTRY,MDG,AFR,Africa,SEX,Male,2020,No data,,,
2899555,COUNTRY,IDN,SEAR,South-East Asia,SEX,Male,2020,0.16 [0.14 - 0.18],0.16,0.14,0.18
3016205,COUNTRY,GEO,EUR,Europe,SEX,Male,2020,0.24 [0.22 - 0.26],0.24,0.22,0.26
3094911,COUNTRY,KNA,AMR,Americas,SEX,Male,2020,No data,,,
3136464,COUNTRY,BGR,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3265343,COUNTRY,SOM,EMR,Eastern Mediterranean,SEX,Male,2020,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
3280931,COUNTRY,HRV,EUR,Europe,SEX,Male,2020,No data,,,
3370191,COUNTRY,SEN,AFR,Africa,SEX,Male,2020,0.11 [<0.1 - 0.14],0.11,0.1,0.14
3412855,COUNTRY,ITA,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3421713,COUNTRY,THA,SEAR,South-East Asia,SEX,Male,2020,0.23 [0.2 - 0.25],0.23,0.2,0.25
3424797,COUNTRY,CYP,EUR,Europe,SEX,Male,2020,No data,,,
3428557,COUNTRY,CHL,AMR,Americas,SEX,Male,2020,0.38 [0.3 - 0.44],0.38,0.3,0.44
3459433,COUNTRY,BLZ,AMR,Americas,SEX,Male,2020,0.46 [0.34 - 0.56],0.46,0.34,0.56
3484764,COUNTRY,GBR,EUR,Europe,SEX,Male,2020,No data,,,
3521431,COUNTRY,BEL,EUR,Europe,SEX,Male,2020,No data,,,
3736870,COUNTRY,TCD,AFR,Africa,SEX,Male,2020,0.27 [0.18 - 0.4],0.27,0.18,0.4
3740594,COUNTRY,IRQ,EMR,Eastern Mediterranean,SEX,Male,2020,No data,,,
3752360,COUNTRY,MNE,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
3778636,COUNTRY,ARE,EMR,Eastern Mediterranean,SEX,Male,2020,No data,,,
3789437,COUNTRY,JOR,EMR,Eastern Mediterranean,SEX,Male,2020,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3794398,COUNTRY,DOM,AMR,Americas,SEX,Male,2020,0.51 [0.29 - 0.68],0.51,0.29,0.68
3826595,COUNTRY,CAF,AFR,Africa,SEX,Male,2020,No data,,,
3836758,COUNTRY,JPN,WPR,Western Pacific,SEX,Male,2020,No data,,,
3907701,COUNTRY,POL,EUR,Europe,SEX,Male,2020,No data,,,
3940691,COUNTRY,IRN,EMR,Eastern Mediterranean,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3997316,COUNTRY,BEN,AFR,Africa,SEX,Male,2020,0.11 [<0.1 - 0.19],0.11,0.1,0.19
4019715,REGION,AFR,,,SEX,Male,2020,0.58 [0.43 - 0.79],0.58,0.43,0.79
4036902,COUNTRY,YEM,EMR,Eastern Mediterranean,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4089889,COUNTRY,SGP,WPR,Western Pacific,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4096010,COUNTRY,ALB,EUR,Europe,SEX,Male,2020,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4105037,COUNTRY,DNK,EUR,Europe,SEX,Male,2020,No data,,,
4118481,COUNTRY,VEN,AMR,Americas,SEX,Male,2020,0.26 [0.21 - 0.31],0.26,0.21,0.31
4123583,COUNTRY,SLV,AMR,Americas,SEX,Male,2020,0.19 [0.15 - 0.23],0.19,0.15,0.23
4131792,COUNTRY,MWI,AFR,Africa,SEX,Male,2020,0.74 [0.58 - 1.1],0.74,0.58,1.1
4298093,COUNTRY,PER,AMR,Americas,SEX,Male,2020,0.28 [0.21 - 0.36],0.28,0.21,0.36
4345218,COUNTRY,JAM,AMR,Americas,SEX,Male,2020,0.49 [0.37 - 0.63],0.49,0.37,0.63
4350458,COUNTRY,MUS,AFR,Africa,SEX,Male,2020,0.93 [0.68 - 1.2],0.93,0.68,1.2
4350795,COUNTRY,FRA,EUR,Europe,SEX,Male,2020,0.12 [<0.1 - 0.14],0.12,0.1,0.14
4402690,COUNTRY,GUY,AMR,Americas,SEX,Male,2020,0.7 [0.46 - 1.2],0.7,0.46,1.2
