Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
20688,COUNTRY,TTO,AMR,Americas,2001,41,41.0
103901,COUNTRY,THA,SEAR,South-East Asia,2001,97,97.0
156097,COUNTRY,PNG,WPR,Western Pacific,2001,23,23.0
186675,COUNTRY,VNM,WPR,Western Pacific,2001,6.7,6.7
194230,COUNTRY,MMR,SEAR,South-East Asia,2001,20,20.0
229042,COUNTRY,MKD,EUR,Europe,2001,0,0.0
253293,COUNTRY,USA,AMR,Americas,2001,5.2,5.2
323765,COUNTRY,COG,AFR,Africa,2001,280,280.0
400302,COUNTRY,NER,AFR,Africa,2001,28,28.0
501178,COUNTRY,KEN,AFR,Africa,2001,412,412.0
555361,COUNTRY,MDA,EUR,Europe,2001,<25,
557316,COUNTRY,ETH,AFR,Africa,2001,148,148.0
660641,COUNTRY,GUY,AMR,Americas,2001,<27,
843995,COUNTRY,LAO,WPR,Western Pacific,2001,<2,
936630,COUNTRY,MDG,AFR,Africa,2001,29,29.0
989042,COUNTRY,COD,AFR,Africa,2001,65,65.0
1030696,COUNTRY,PRT,EUR,Europe,2001,11,11.0
1143278,COUNTRY,TUN,EMR,Eastern Mediterranean,2001,<1,
1239693,COUNTRY,BRB,AMR,Americas,2001,<37,
1384447,COUNTRY,MWI,AFR,Africa,2001,743,743.0
1488527,COUNTRY,BOL,AMR,Americas,2001,<12,
1635518,COUNTRY,RUS,EUR,Europe,2001,15,15.0
1644778,COUNTRY,SVN,EUR,Europe,2001,0.4,0.4
1652849,COUNTRY,ZAF,AFR,Africa,2001,438,438.0
1668428,COUNTRY,BDI,AFR,Africa,2001,191,191.0
1728944,COUNTRY,UGA,AFR,Africa,2001,424,424.0
1767886,COUNTRY,ARG,AMR,Americas,2001,7.7,7.7
1776944,COUNTRY,IND,SEAR,South-East Asia,2001,13,13.0
1900472,COUNTRY,VEN,AMR,Americas,2001,28,28.0
2051277,COUNTRY,CPV,AFR,Africa,2001,<44,
2159823,COUNTRY,SWE,EUR,Europe,2001,0.4,0.4
2293805,COUNTRY,JAM,AMR,Americas,2001,105,105.0
2393800,COUNTRY,SLV,AMR,Americas,2001,27,27.0
2853379,COUNTRY,AUT,EUR,Europe,2001,0.6,0.6
2952105,COUNTRY,MYS,WPR,Western Pacific,2001,18,18.0
2963952,COUNTRY,LSO,AFR,Africa,2001,858,858.0
3034070,COUNTRY,HND,AMR,Americas,2001,57,57.0
3037474,COUNTRY,EGY,EMR,Eastern Mediterranean,2001,<1,
3087551,COUNTRY,COL,AMR,Americas,2001,21,21.0
3102078,COUNTRY,ERI,AFR,Africa,2001,66,66.0
3138165,COUNTRY,BEN,AFR,Africa,2001,57,57.0
3515504,COUNTRY,LKA,SEAR,South-East Asia,2001,<1,
3629744,COUNTRY,SEN,AFR,Africa,2001,13,13.0
3801467,COUNTRY,DOM,AMR,Americas,2001,52,52.0
3853808,COUNTRY,SOM,EMR,Eastern Mediterranean,2001,26,26.0
3880618,COUNTRY,URY,AMR,Americas,2001,5.1,5.1
3893544,COUNTRY,GIN,AFR,Africa,2001,37,37.0
3999322,COUNTRY,ISL,EUR,Europe,2001,0.7,0.7
4007179,COUNTRY,MUS,AFR,Africa,2001,1.3,1.3
4226782,COUNTRY,PAK,EMR,Eastern Mediterranean,2001,<1,
4229664,COUNTRY,ECU,AMR,Americas,2001,22,22.0
