Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
6433207,COUNTRY,LKA,SEAR,South-East Asia,2019,0 [0-0],0.0,0.0,0.0
2388975,COUNTRY,HTI,AMR,Americas,2019,17 703 [11 714-23 850],17703.0,11713.975,23850.025
6586789,COUNTRY,GHA,AFR,Africa,2019,6 911 930 [5 093 929-9 205 392],6911930.0,5093929.35,9205392.0
2429166,COUNTRY,PAK,EMR,Eastern Mediterranean,2019,640 482 [508 224-857 980],640482.0,508224.1,857980.125
6907505,COUNTRY,NAM,AFR,Africa,2019,5705 [4070-8067],5705.0,4070.0,8067.0
7815338,COUNTRY,SWZ,AFR,Africa,2019,252 [252-252],252.0,252.0,252.0
7982205,COUNTRY,BWA,AFR,Africa,2019,259 [199.975-389],259.0,199.975,389.0
9470575,COUNTRY,TLS,SEAR,South-East Asia,2019,0 [0-0],0.0,0.0,0.0
3837728,COUNTRY,SOM,EMR,Eastern Mediterranean,2019,964 528 [642 057-1 415 524],964528.0,642056.675,1415523.7
592823,COUNTRY,SAU,EMR,Eastern Mediterranean,2019,38 [38-38],38.0,38.0,38.0
6254101,COUNTRY,CRI,AMR,Americas,2019,95 [95-95],95.0,95.0,95.0
1895228,COUNTRY,MEX,AMR,Americas,2019,618 [618-618],618.0,618.0,618.0
1200953,COUNTRY,MMR,SEAR,South-East Asia,2019,78 326 [63 516-94 247],78326.0,63515.975,94247.075
4171760,COUNTRY,SEN,AFR,Africa,2019,672 221 [456 441-909 227],672221.0,456440.925,909226.775
1975445,COUNTRY,KEN,AFR,Africa,2019,3 004 801 [2 076 960-4 196 564],3004801.0,2076960.3,4196564.2
5092515,COUNTRY,OMN,EMR,Eastern Mediterranean,2019,0 [0-0],0.0,0.0,0.0
8169666,COUNTRY,BGD,SEAR,South-East Asia,2019,21 202 [18 093-24 546],21202.0,18092.975,24546.05
954054,COUNTRY,SLV,AMR,Americas,2019,0 [0-0],0.0,0.0,0.0
2049271,COUNTRY,MYS,WPR,Western Pacific,2019,0 [0-0],0.0,0.0,0.0
727166,COUNTRY,KGZ,EUR,Europe,2019,0 [0-0],0.0,0.0,0.0
3751704,COUNTRY,YEM,EMR,Eastern Mediterranean,2019,873 605 [569 481-1 314 716],873605.0,569480.975,1314716.25
6801741,COUNTRY,NER,AFR,Africa,2019,7 631 511 [4 730 814-11 759 222],7631511.0,4730813.825,11759222.23
7028909,COUNTRY,PRK,SEAR,South-East Asia,2019,1869 [1869-1869],1869.0,1869.0,1869.0
6968866,COUNTRY,GUF,AMR,Americas,2019,248 [220-287],248.0,220.0,287.0
2831177,COUNTRY,VUT,WPR,Western Pacific,2019,1262 [843-1860],1262.0,843.0,1860.0
2938144,COUNTRY,ARE,EMR,Eastern Mediterranean,2019,0 [0-0],0.0,0.0,0.0
2984976,COUNTRY,ARG,AMR,Americas,2019,0 [0-0],0.0,0.0,0.0
5634143,COUNTRY,IRQ,EMR,Eastern Mediterranean,2019,0 [0-0],0.0,0.0,0.0
1616155,COUNTRY,ARM,EUR,Europe,2019,0 [0-0],0.0,0.0,0.0
834965,COUNTRY,NPL,SEAR,South-East Asia,2019,131 [131-131],131.0,131.0,131.0
