Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
5352340,COUNTRY,SWZ,AFR,Africa,2019,3 [3-3],3.0,3.0,3.0
8382505,REGION,SEAR,,,2019,6963 [4040.975-10 297],6963.0,4040.975,10297.2
2802987,COUNTRY,GUY,AMR,Americas,2019,30 [14-46],30.0,14.0,46.0
8870081,REGION,AMR,,,2019,509 [337-697],509.0,337.0,697.0
8936712,REGION,EUR,,,2019,0 [0-0],0.0,0.0,0.0
3057091,COUNTRY,VUT,WPR,Western Pacific,2019,0 [0-0],0.0,0.0,0.0
5906508,COUNTRY,CMR,AFR,Africa,2019,11 458 [10 242-12 912],11458.0,10242.0,12912.0
1060430,COUNTRY,KAZ,EUR,Europe,2019,0 [0-0],0.0,0.0,0.0
72031,COUNTRY,CAF,AFR,Africa,2019,4001 [3373-4753],4001.0,3373.0,4753.0
2289171,COUNTRY,AZE,EUR,Europe,2019,0 [0-0],0.0,0.0,0.0
6554037,COUNTRY,SDN,EMR,Eastern Mediterranean,2019,6673 [2220.95-14 655],6673.0,2220.95,14655.0
7361761,COUNTRY,CIV,AFR,Africa,2019,11 329 [10 181-12 599],11329.0,10181.0,12599.0
9250927,COUNTRY,BDI,AFR,Africa,2019,6477 [5374-8189],6477.0,5374.0,8189.0
1962335,COUNTRY,IND,SEAR,South-East Asia,2019,5411 [2662-8699.1],5411.0,2662.0,8699.1
413014,COUNTRY,ETH,AFR,Africa,2019,5708 [2054.95-11 156],5708.0,2054.95,11156.1
6614491,COUNTRY,TKM,EUR,Europe,2019,0 [0-0],0.0,0.0,0.0
2991206,COUNTRY,IRN,EMR,Eastern Mediterranean,2019,0 [0-0],0.0,0.0,0.0
9118109,GLOBAL,GLOBAL,,,2019,566 918 [526 939-648 570],566918.0,526938.775,648570.475
780938,COUNTRY,MOZ,AFR,Africa,2019,18 096 [13 749-24 900],18096.0,13748.95,24900.0
2323661,COUNTRY,THA,SEAR,South-East Asia,2019,13 [13-13],13.0,13.0,13.0
2651087,COUNTRY,SLE,AFR,Africa,2019,7977 [6933-9168],7977.0,6933.0,9168.0
2016497,COUNTRY,EGY,EMR,Eastern Mediterranean,2019,0 [0-0],0.0,0.0,0.0
2871443,COUNTRY,TGO,AFR,Africa,2019,3426 [3017-3914],3426.0,3017.0,3914.0
640910,COUNTRY,PRY,AMR,Americas,2019,0 [0-0],0.0,0.0,0.0
3651874,COUNTRY,STP,AFR,Africa,2019,0 [0-0],0.0,0.0,0.0
9038495,COUNTRY,COD,AFR,Africa,2019,75 254 [52 303-109 107],75254.0,52302.925,109107.075
9185256,COUNTRY,COG,AFR,Africa,2019,2230 [1938-2723],2230.0,1938.0,2723.0
2658083,COUNTRY,HTI,AMR,Americas,2019,45 [18-82],45.0,18.0,82.0
3212186,COUNTRY,SLB,WPR,Western Pacific,2019,161 [79-274],161.0,79.0,274.0
8725045,REGION,EMR,,,2019,12 028 [6758.95-20 325],12028.0,6758.95,20325.15
7650208,COUNTRY,PAN,AMR,Americas,2019,0 [0-0],0.0,0.0,0.0
7877208,COUNTRY,SAU,EMR,Eastern Mediterranean,2019,0 [0-0],0.0,0.0,0.0
5834827,COUNTRY,VEN,AMR,Americas,2019,350 [182-533],350.0,182.0,533.0
2344284,COUNTRY,ZMB,AFR,Africa,2019,8084 [7432-8940],8084.0,7432.0,8940.0
8418028,COUNTRY,HND,AMR,Americas,2019,0 [0-0],0.0,0.0,0.0
6342046,COUNTRY,SUR,AMR,Americas,2019,0 [0-0],0.0,0.0,0.0
6395429,COUNTRY,LKA,SEAR,South-East Asia,2019,0 [0-0],0.0,0.0,0.0
821976,COUNTRY,GEO,EUR,Europe,2019,0 [0-0],0.0,0.0,0.0
1242883,COUNTRY,BOL,AMR,Americas,2019,4 [1-8],4.0,1.0,8.0
7376840,COUNTRY,BRA,AMR,Americas,2019,37 [37-37],37.0,37.0,37.0
367762,COUNTRY,ZAF,AFR,Africa,2019,79 [79-79],79.0,79.0,79.0
4654271,COUNTRY,ARG,AMR,Americas,2019,0 [0-0],0.0,0.0,0.0
3179210,REGION,AFR,,,2019,544 579 [503 951-625 815],544579.0,503950.95,625815.025
3566063,COUNTRY,DZA,AFR,Africa,2019,0 [0-0],0.0,0.0,0.0
809071,COUNTRY,MMR,SEAR,South-East Asia,2019,97 [48-156],97.0,48.0,156.0
588678,COUNTRY,COM,AFR,Africa,2019,45 [20-69],45.0,20.0,69.0
