Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
1761221,REGION,EMR,,,2020,10.95 [7.76-15.78],10.9538,7.76235,15.77698
1394033,COUNTRY,LKA,SEAR,South-East Asia,2020,0 [0-0],0.0,0.0,0.0
8449219,COUNTRY,COG,AFR,Africa,2020,234.23 [165.70-321.57],234.2267,165.70448,321.57044
18212,COUNTRY,ECU,AMR,Americas,2020,0.19 [0.19-0.19],0.1945,0.1945,0.1945
8275887,COUNTRY,CPV,AFR,Africa,2020,0 [0-0],0.0,0.0,0.0
9190253,COUNTRY,PHL,WPR,Western Pacific,2020,0.23 [0.16-0.31],0.23194,0.16427,0.31008
7708657,COUNTRY,PAN,AMR,Americas,2020,0.71 [0.69-0.76],0.71302,0.6866,0.75788
5599451,COUNTRY,TZA,AFR,Africa,2020,121.33 [87.63-165.03],121.32607,87.62638,165.02559
1995390,COUNTRY,COM,AFR,Africa,2020,5.67,5.66718,,
6087138,COUNTRY,MDG,AFR,Africa,2020,138.73 [92.03-190.07],138.73063,92.02797,190.07155
1468134,COUNTRY,PRY,AMR,Americas,2020,0 [0-0],0.0,0.0,0.0
7735921,REGION,WPR,,,2020,2.16 [1.56-2.81],2.15741,1.56302,2.81149
8249734,COUNTRY,GEO,EUR,Europe,2020,0 [0-0],0.0,0.0,0.0
4352413,COUNTRY,IRN,EMR,Eastern Mediterranean,2020,0 [0-0],0.0,0.0,0.0
1141088,COUNTRY,NPL,SEAR,South-East Asia,2020,0.01 [0.01-0.01],0.00868,0.00868,0.00868
1969160,COUNTRY,MWI,AFR,Africa,2020,218.76 [132.13-342.38],218.75523,132.13362,342.3797
2770502,REGION,SEAR,,,2020,2.57 [2.17-3.12],2.57125,2.17301,3.12011
2303060,COUNTRY,CAF,AFR,Africa,2020,312.80 [201.54-465.83],312.79896,201.53711,465.83413
286080,COUNTRY,TKM,EUR,Europe,2020,0 [0-0],0.0,0.0,0.0
8930936,COUNTRY,COD,AFR,Africa,2020,333.88 [251.29-433.48],333.87636,251.29354,433.47618
5340092,COUNTRY,GNB,AFR,Africa,2020,94.41 [40.59-186.12],94.41278,40.5863,186.1215
9451471,COUNTRY,HND,AMR,Americas,2020,0.12 [0.09-0.15],0.12273,0.09426,0.15241
6374374,COUNTRY,STP,AFR,Africa,2020,8.89,8.89005,,
2029695,COUNTRY,SOM,EMR,Eastern Mediterranean,2020,55.72 [36.52-81.72],55.72262,36.51951,81.72395
6081280,COUNTRY,ZWE,AFR,Africa,2020,94.30 [56.52-135.07],94.29687,56.52211,135.06646
3438493,COUNTRY,NAM,AFR,Africa,2020,9.32 [7.40-11.42],9.32245,7.40041,11.42007
259924,COUNTRY,MMR,SEAR,South-East Asia,2020,1.78 [1.44-2.14],1.77837,1.43934,2.14076
7569673,COUNTRY,DZA,AFR,Africa,2020,0 [0-0],0.0,0.0,0.0
6141706,COUNTRY,EGY,EMR,Eastern Mediterranean,2020,0 [0-0],0.0,0.0,0.0
5293797,COUNTRY,PAK,EMR,Eastern Mediterranean,2020,2.35 [1.86-3.15],2.35005,1.8567,3.15089
4706846,COUNTRY,TCD,AFR,Africa,2020,208.42 [125.63-323.49],208.41576,125.63337,323.49471
5187274,COUNTRY,MLI,AFR,Africa,2020,349.39 [246.57-496.45],349.38729,246.57137,496.4513
3959639,COUNTRY,ERI,AFR,Africa,2020,48.28 [31.18-67.24],48.27589,31.18062,67.23932
721347,REGION,AMR,,,2020,4.34 [4.01-4.71],4.34304,4.01291,4.71417
2391030,COUNTRY,ARG,AMR,Americas,2020,0 [0-0],0.0,0.0,0.0
7897172,REGION,EUR,,,2020,0 [0-0],0.0,0.0,0.0
1122352,COUNTRY,ETH,AFR,Africa,2020,52.28 [29.03-78.44],52.28212,29.02834,78.44106
4153401,COUNTRY,BLZ,AMR,Americas,2020,0 [0-0],0.0,0.0,0.0
8524846,COUNTRY,KGZ,EUR,Europe,2020,0 [0-0],0.0,0.0,0.0
7724451,COUNTRY,SYR,EMR,Eastern Mediterranean,2020,0 [0-0],0.0,0.0,0.0
1002752,COUNTRY,GAB,AFR,Africa,2020,227.24 [121.90-390.65],227.23795,121.90019,390.65297
1623822,COUNTRY,PNG,WPR,Western Pacific,2020,149.77 [103.59-201.36],149.77162,103.58865,201.36264
67791,COUNTRY,NER,AFR,Africa,2020,330.78 [193.21-537.73],330.78299,193.21232,537.72922
989527,COUNTRY,DOM,AMR,Americas,2020,0.16 [0.14-0.18],0.16113,0.14232,0.1824
4354669,COUNTRY,IDN,SEAR,South-East Asia,2020,2.80 [2.56-3.08],2.79933,2.55995,3.08266
8292198,COUNTRY,BOL,AMR,Americas,2020,3.08 [2.41-3.78],3.07908,2.4064,3.78123
7464624,COUNTRY,BFA,AFR,Africa,2020,378.17 [250.23-545.60],378.17415,250.23342,545.59516
9326787,COUNTRY,GNQ,AFR,Africa,2020,242.54 [154.98-364.46],242.54166,154.9797,364.46319
5101906,COUNTRY,VEN,AMR,Americas,2020,15.68 [13.96-18.21],15.6846,13.95902,18.20541
