Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
2722633,COUNTRY,COG,AFR,Africa,2001,80.92 [75.72-86.84],80.91582,75.72107,86.84394
3123574,COUNTRY,CIV,AFR,Africa,2001,174.04 [163.18-186.16],174.04231,163.17807,186.15538
7554665,COUNTRY,BRA,AMR,Americas,2001,0.40 [0.40-0.40],0.39677,0.39677,0.39677
6120049,COUNTRY,NIC,AMR,Americas,2001,0.04 [0.04-0.04],0.04467,0.04467,0.04467
873157,COUNTRY,NAM,AFR,Africa,2001,117.23 [117.23-117.23],117.22956,117.22956,117.22956
8629680,COUNTRY,MMR,SEAR,South-East Asia,2001,7.06 [7.06-7.06],7.05651,7.05651,7.05651
4124572,COUNTRY,IRN,EMR,Eastern Mediterranean,2001,0.29 [0.29-0.29],0.29041,0.29041,0.29041
8603033,COUNTRY,PRK,SEAR,South-East Asia,2001,0 [0-0],0.0,0.0,0.0
1440833,COUNTRY,YEM,EMR,Eastern Mediterranean,2001,22.61 [7.10-104.11],22.6142,7.09766,104.1127
592656,COUNTRY,DZA,AFR,Africa,2001,0.05 [0.05-0.05],0.05434,0.05434,0.05434
2829920,COUNTRY,PRY,AMR,Americas,2001,0 [0-0],0.0,0.0,0.0
7314841,COUNTRY,BGD,SEAR,South-East Asia,2001,3.19 [3.19-3.19],3.18782,3.18782,3.18782
4278576,COUNTRY,MOZ,AFR,Africa,2001,229.61 [213.51-247.06],229.61281,213.51051,247.05871
5239197,COUNTRY,BTN,SEAR,South-East Asia,2001,3.10 [3.10-3.10],3.09743,3.09743,3.09743
2696471,COUNTRY,GHA,AFR,Africa,2001,93.88 [90.38-97.72],93.87582,90.38498,97.72368
9083963,COUNTRY,AZE,EUR,Europe,2001,0 [0-0],0.0,0.0,0.0
4018324,REGION,EMR,,,2001,4.01 [2.51-7.58],4.00924,2.50522,7.57672
3604051,COUNTRY,STP,AFR,Africa,2001,169.43 [169.43-169.43],169.42784,169.42784,169.42784
4005003,COUNTRY,CRI,AMR,Americas,2001,0 [0-0],0.0,0.0,0.0
9564420,COUNTRY,SEN,AFR,Africa,2001,34.88 [34.03-35.80],34.87732,34.02546,35.79772
566390,COUNTRY,MYS,WPR,Western Pacific,2001,4.89 [4.89-4.89],4.8881,4.8881,4.8881
5119572,COUNTRY,MEX,AMR,Americas,2001,0 [0-0],0.0,0.0,0.0
5346670,COUNTRY,MRT,AFR,Africa,2001,24.60 [23.71-25.68],24.60094,23.70501,25.68353
4112181,COUNTRY,HND,AMR,Americas,2001,0 [0-0],0.0,0.0,0.0
