Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
44885,COUNTRY,COL,AMR,Americas,2023,2.7 [2.4-3],2.7,2.4,3.0
147041,COUNTRY,UGA,AFR,Africa,2023,8.7 [4.3-15],8.7,4.3,15.0
294119,COUNTRY,GMB,AFR,Africa,2023,17 [11-25],17.0,11.0,25.0
366165,REGION,SEAR,,,2023,28 [23-33],28.0,23.0,33.0
545806,WORLDBANKINCOMEGROUP,WB_LI,,,2023,23 [19-26],23.0,19.0,26.0
592770,COUNTRY,IRQ,EMR,Eastern Mediterranean,2023,1.6 [1.4-1.8],1.6,1.4,1.8
641218,COUNTRY,VEN,AMR,Americas,2023,2 [1.6-2.5],2.0,1.6,2.5
687007,WORLDBANKINCOMEGROUP,WB_UMI,,,2023,7.9 [7.3-8.6],7.9,7.3,8.6
700354,COUNTRY,UZB,EUR,Europe,2023,1.3 [0.97-1.6],1.3,0.97,1.6
773802,COUNTRY,MYS,WPR,Western Pacific,2023,7.2 [4.5-11],7.2,4.5,11.0
781491,COUNTRY,DJI,EMR,Eastern Mediterranean,2023,23 [15-33],23.0,15.0,33.0
847764,COUNTRY,NAM,AFR,Africa,2023,54 [27-92],54.0,27.0,92.0
947877,COUNTRY,IRL,EUR,Europe,2023,0.37 [0.37-0.37],0.37,0.37,0.37
1000856,COUNTRY,BRA,AMR,Americas,2023,4.6 [4-5.2],4.6,4.0,5.2
1053868,COUNTRY,SAU,EMR,Eastern Mediterranean,2023,0.51 [0.46-0.57],0.51,0.46,0.57
1055139,COUNTRY,IDN,SEAR,South-East Asia,2023,44 [38-51],44.0,38.0,51.0
1120631,COUNTRY,VNM,WPR,Western Pacific,2023,11 [6.9-15],11.0,6.9,15.0
1174106,COUNTRY,PHL,WPR,Western Pacific,2023,32 [22-44],32.0,22.0,44.0
1334408,COUNTRY,GAB,AFR,Africa,2023,77 [41-125],77.0,41.0,125.0
1455090,COUNTRY,BHS,AMR,Americas,2023,0.58 [0.56-0.6],0.58,0.56,0.6
1514101,COUNTRY,ETH,AFR,Africa,2023,19 [12-28],19.0,12.0,28.0
1810446,COUNTRY,SLB,WPR,Western Pacific,2023,6 [3.9-8.6],6.0,3.9,8.6
1862468,COUNTRY,CHE,EUR,Europe,2023,0.2 [0.19-0.21],0.2,0.19,0.21
2056085,COUNTRY,PAN,AMR,Americas,2023,4.1 [4-4.3],4.1,4.0,4.3
2276901,COUNTRY,CAF,AFR,Africa,2023,91 [53-137],91.0,53.0,137.0
2322713,COUNTRY,THA,SEAR,South-East Asia,2023,16 [11-22],16.0,11.0,22.0
2384564,COUNTRY,MCO,EUR,Europe,2023,0.08 [0.05-0.12],0.08,0.05,0.12
2477534,COUNTRY,BLR,EUR,Europe,2023,2.1 [2-2.2],2.1,2.0,2.2
2543899,COUNTRY,BHR,EMR,Eastern Mediterranean,2023,0.93 [0.57-1.4],0.93,0.57,1.4
2558277,COUNTRY,ERI,AFR,Africa,2023,2.2 [0.32-5.8],2.2,0.32,5.8
2636675,COUNTRY,IRN,EMR,Eastern Mediterranean,2023,1 [0.97-1],1.0,0.97,1.0
2750848,WORLDBANKINCOMEGROUP,WB_HI,,,2023,1.1 [1-1.2],1.1,1.0,1.2
2757142,COUNTRY,KAZ,EUR,Europe,2023,1.8 [1.2-2.5],1.8,1.2,2.5
2823114,COUNTRY,SUR,AMR,Americas,2023,1.5 [1.2-1.8],1.5,1.2,1.8
2843950,COUNTRY,LTU,EUR,Europe,2023,3.9 [3.6-4.3],3.9,3.6,4.3
2904408,COUNTRY,TON,WPR,Western Pacific,2023,0.72 [0.42-1.1],0.72,0.42,1.1
2992554,COUNTRY,SWZ,AFR,Africa,2023,24 [8.9-45],24.0,8.9,45.0
3091733,COUNTRY,TCD,AFR,Africa,2023,24 [14-37],24.0,14.0,37.0
3159145,COUNTRY,SLE,AFR,Africa,2023,16 [7.4-27],16.0,7.4,27.0
3258827,COUNTRY,BLZ,AMR,Americas,2023,1.5 [1.2-1.8],1.5,1.2,1.8
3397218,COUNTRY,COM,AFR,Africa,2023,9.9 [5.8-15],9.9,5.8,15.0
3603408,COUNTRY,MDG,AFR,Africa,2023,40 [23-60],40.0,23.0,60.0
3723750,COUNTRY,CUB,AMR,Americas,2023,0.33 [0.29-0.37],0.33,0.29,0.37
3818888,REGION,EUR,,,2023,1.7 [1.5-1.8],1.7,1.5,1.8
3952259,COUNTRY,LBR,AFR,Africa,2023,70 [41-108],70.0,41.0,108.0
4024945,COUNTRY,AGO,AFR,Africa,2023,52 [32-76],52.0,32.0,76.0
4033479,REGION,WPR,,,2023,4.5 [3.9-5.3],4.5,3.9,5.3
4219366,COUNTRY,KIR,WPR,Western Pacific,2023,37 [31-43],37.0,31.0,43.0
4413750,COUNTRY,AUS,WPR,Western Pacific,2023,0.13 [0.13-0.13],0.13,0.13,0.13
