Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
92441,COUNTRY,ECU,AMR,Americas,2000,8600 [5700-12 000],8600.0,5700.0,12000.0
120735,COUNTRY,HND,AMR,Americas,2000,8000 [2200-18 000],8000.0,2200.0,18000.0
185408,COUNTRY,LBY,EMR,Eastern Mediterranean,2000,2100 [1600-2700],2100.0,1600.0,2700.0
200316,COUNTRY,CHE,EUR,Europe,2000,660 [570-770],660.0,570.0,770.0
256171,COUNTRY,SLB,WPR,Western Pacific,2000,380 [290-480],380.0,290.0,480.0
347962,WORLDBANKINCOMEGROUP,WB_LI,,,2000,1 070 000 [737 000-1 460 000],1070000.0,737000.0,1460000.0
354172,COUNTRY,LBR,AFR,Africa,2000,7000 [5100-9300],7000.0,5100.0,9300.0
406542,COUNTRY,NLD,EUR,Europe,2000,1400 [1200-1700],1400.0,1200.0,1700.0
420432,WORLDBANKINCOMEGROUP,WB_LMI,,,2000,6 490 000 [3 900 000-9 710 000],6490000.0,3900000.0,9710000.0
447819,COUNTRY,AND,EUR,Europe,2000,14 [12-16],14.0,12.0,16.0
536019,COUNTRY,MDG,AFR,Africa,2000,48 000 [28 000-75 000],48000.0,28000.0,75000.0
545217,REGION,EUR,,,2000,446 000 [338 000-568 000],446000.0,338000.0,568000.0
603413,COUNTRY,BHR,EMR,Eastern Mediterranean,2000,240 [200-280],240.0,200.0,280.0
632875,COUNTRY,PLW,WPR,Western Pacific,2000,12 [11-14],12.0,11.0,14.0
696912,COUNTRY,BGR,EUR,Europe,2000,4200 [3200-5300],4200.0,3200.0,5300.0
756248,COUNTRY,URY,AMR,Americas,2000,740 [630-860],740.0,630.0,860.0
758713,COUNTRY,DZA,AFR,Africa,2000,23 000 [17 000-31 000],23000.0,17000.0,31000.0
771536,COUNTRY,IRN,EMR,Eastern Mediterranean,2000,15 000 [9100-22 000],15000.0,9100.0,22000.0
816001,COUNTRY,MAR,EMR,Eastern Mediterranean,2000,33 000 [27 000-39 000],33000.0,27000.0,39000.0
866119,COUNTRY,TKM,EUR,Europe,2000,5100 [2400-8800],5100.0,2400.0,8800.0
872507,COUNTRY,PRT,EUR,Europe,2000,4900 [4200-5600],4900.0,4200.0,5600.0
929650,COUNTRY,PSE,EMR,Eastern Mediterranean,2000,100 [78-130],100.0,78.0,130.0
993643,COUNTRY,PRK,SEAR,South-East Asia,2000,121 000 [106 000-138 000],121000.0,106000.0,138000.0
1013731,COUNTRY,ITA,EUR,Europe,2000,4000 [3400-4700],4000.0,3400.0,4700.0
1058001,WORLDBANKINCOMEGROUP,WB_HI,,,2000,367 000 [270 000-480 000],367000.0,270000.0,480000.0
1178171,COUNTRY,CRI,AMR,Americas,2000,730 [430-1100],730.0,430.0,1100.0
1262496,COUNTRY,JOR,EMR,Eastern Mediterranean,2000,400 [280-550],400.0,280.0,550.0
1326717,COUNTRY,MDV,SEAR,South-East Asia,2000,170 [110-240],170.0,110.0,240.0
