Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
478333,COUNTRY,MMR,SEAR,South-East Asia,1973,386,
836093,COUNTRY,IND,SEAR,South-East Asia,1973,41611,
2065499,COUNTRY,TUN,EMR,Eastern Mediterranean,1973,656,
2293962,COUNTRY,GHA,AFR,Africa,1973,677,
2882768,COUNTRY,MOZ,AFR,Africa,1973,453,
3077346,COUNTRY,LBR,AFR,Africa,1973,1336,
3642708,COUNTRY,PHL,WPR,Western Pacific,1973,2840,
3744589,COUNTRY,LKA,SEAR,South-East Asia,1973,118,
3903898,COUNTRY,KHM,WPR,Western Pacific,1973,159,
4290811,COUNTRY,BEN,AFR,Africa,1973,3,
4334415,COUNTRY,ZAF,AFR,Africa,1973,1,
4347505,COUNTRY,VNM,WPR,Western Pacific,1973,1495,
4744736,COUNTRY,NER,AFR,Africa,1973,121,
5108639,COUNTRY,MYS,WPR,Western Pacific,1973,369,
5134470,COUNTRY,ZWE,AFR,Africa,1973,1,
5825044,COUNTRY,MRT,AFR,Africa,1973,150,
5957739,COUNTRY,BGD,SEAR,South-East Asia,1973,1969,
6174299,COUNTRY,IDN,WPR,Western Pacific,1973,52042,
6865306,COUNTRY,FRA,EUR,Europe,1973,4,
7371908,COUNTRY,SWE,EUR,Europe,1973,10,
7439093,COUNTRY,NPL,SEAR,South-East Asia,1973,7,
7756551,COUNTRY,AGO,AFR,Africa,1973,263,
7926767,COUNTRY,DEU,EUR,Europe,1973,6,
8225911,COUNTRY,IRN,EMR,Eastern Mediterranean,1973,55,
8316482,COUNTRY,YEM,EMR,Eastern Mediterranean,1973,215,
8913532,COUNTRY,THA,SEAR,South-East Asia,1973,844,
9645381,COUNTRY,ITA,EUR,Europe,1973,278,
9697624,COUNTRY,MLI,AFR,Africa,1973,219,
9759245,COUNTRY,DZA,AFR,Africa,1973,605,
1281783,COUNTRY,SGP,WPR,Western Pacific,1973,1,
2498688,COUNTRY,BHR,EMR,Eastern Mediterranean,1973,37,
2949622,COUNTRY,CMR,AFR,Africa,1973,206,
3221665,COUNTRY,NGA,AFR,Africa,1973,157,
4946387,COUNTRY,BFA,AFR,Africa,1973,1118,
5750549,COUNTRY,MWI,AFR,Africa,1973,371,
8792228,COUNTRY,GBR,EUR,Europe,1973,5,
