Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
7841005,COUNTRY,AUS,WPR,Western Pacific,2022,30 000 [27 000 - 33 000],30000.0,27000.0,33000.0
7948668,COUNTRY,POL,EUR,Europe,2022,No data,,,
7973259,COUNTRY,BRA,AMR,Americas,2022,1 100 000 [960 000 - 1 100 000],1100000.0,960000.0,1100000.0
8048791,COUNTRY,SMR,EUR,Europe,2022,No data,,,
8049334,COUNTRY,MLT,EUR,Europe,2022,900 [750 - 1100],900.0,750.0,1100.0
8231532,COUNTRY,GAB,AFR,Africa,2022,53 000 [45 000 - 64 000],53000.0,45000.0,64000.0
8274214,COUNTRY,BHS,AMR,Americas,2022,4100 [3700 - 4600],4100.0,3700.0,4600.0
8358588,COUNTRY,SLE,AFR,Africa,2022,81 000 [68 000 - 94 000],81000.0,68000.0,94000.0
8360062,COUNTRY,OMN,EMR,Eastern Mediterranean,2022,3000 [2800 - 3300],3000.0,2800.0,3300.0
8384726,COUNTRY,FIN,EUR,Europe,2022,No data,,,
8507261,COUNTRY,ESP,EUR,Europe,2022,160 000 [130 000 - 180 000],160000.0,130000.0,180000.0
170260,COUNTRY,SLV,AMR,Americas,2022,20 000 [18 000 - 22 000],20000.0,18000.0,22000.0
272967,COUNTRY,LUX,EUR,Europe,2022,1400 [1300 - 1600],1400.0,1300.0,1600.0
297944,COUNTRY,MRT,AFR,Africa,2022,6100 [5200 - 7200],6100.0,5200.0,7200.0
395139,COUNTRY,ISR,EUR,Europe,2022,No data,,,
401912,COUNTRY,SGP,WPR,Western Pacific,2022,7700 [6400 - 9000],7700.0,6400.0,9000.0
462101,COUNTRY,TKM,EUR,Europe,2022,No data,,,
564537,COUNTRY,TCD,AFR,Africa,2022,120 000 [96 000 - 140 000],120000.0,96000.0,140000.0
580814,COUNTRY,TGO,AFR,Africa,2022,100 000 [84 000 - 120 000],100000.0,84000.0,120000.0
594843,COUNTRY,IRN,EMR,Eastern Mediterranean,2022,No data,,,
647234,COUNTRY,THA,SEAR,South-East Asia,2022,580 000 [510 000 - 650 000],580000.0,510000.0,650000.0
656809,COUNTRY,ZWE,AFR,Africa,2022,1 300 000 [1 300 000 - 1 500 000],1300000.0,1300000.0,1500000.0
704080,COUNTRY,ALB,EUR,Europe,2022,1400 [1200 - 1600],1400.0,1200.0,1600.0
704339,COUNTRY,ITA,EUR,Europe,2022,150 000 [120 000 - 170 000],150000.0,120000.0,170000.0
731720,COUNTRY,PAN,AMR,Americas,2022,29 000 [27 000 - 32 000],29000.0,27000.0,32000.0
825194,COUNTRY,QAT,EMR,Eastern Mediterranean,2022,680 [540 - 800],680.0,540.0,800.0
862992,COUNTRY,SWE,EUR,Europe,2022,8700 [7500 - 9600],8700.0,7500.0,9600.0
909104,COUNTRY,LSO,AFR,Africa,2022,270 000 [250 000 - 310 000],270000.0,250000.0,310000.0
993489,COUNTRY,KOR,WPR,Western Pacific,2022,No data,,,
1028396,COUNTRY,GEO,EUR,Europe,2022,8700 [8200 - 9100],8700.0,8200.0,9100.0
1052535,COUNTRY,BLR,EUR,Europe,2022,No data,,,
1080724,COUNTRY,MDG,AFR,Africa,2022,67 000 [52 000 - 88 000],67000.0,52000.0,88000.0
1168355,COUNTRY,NPL,SEAR,South-East Asia,2022,35 000 [32 000 - 38 000],35000.0,32000.0,38000.0
1217992,COUNTRY,GMB,AFR,Africa,2022,26 000 [20 000 - 32 000],26000.0,20000.0,32000.0
1316949,COUNTRY,KGZ,EUR,Europe,2022,12 000 [11 000 - 13 000],12000.0,11000.0,13000.0
1346406,COUNTRY,MDV,SEAR,South-East Asia,2022,<100 [<100 - <100],100.0,100.0,100.0
1496004,COUNTRY,LCA,AMR,Americas,2022,640 [550 - 740],640.0,550.0,740.0
1543181,COUNTRY,MHL,WPR,Western Pacific,2022,No data,,,
1591548,COUNTRY,NIU,WPR,Western Pacific,2022,No data,,,
1618240,COUNTRY,HTI,AMR,Americas,2022,140 000 [120 000 - 160 000],140000.0,120000.0,160000.0
1620842,COUNTRY,CAN,AMR,Americas,2022,65 000 [54 000 - 75 000],65000.0,54000.0,75000.0
1685137,COUNTRY,ISL,EUR,Europe,2022,<500 [<500 - <500],500.0,500.0,500.0
1700202,COUNTRY,FSM,WPR,Western Pacific,2022,No data,,,
1768041,GLOBAL,GLOBAL,,,2022,39 900 000 [36 200 000 - 44 600 000],39900000.0,36200000.0,44600000.0
