Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
6268268,COUNTRY,SDN,EMR,Eastern Mediterranean,2023,4 882 840 [2 872 000-7 807 000],4882840.0,2872000.0,7807000.0
6623917,REGION,EUR,,,2023,0,0.0,,
3167461,COUNTRY,SAU,EMR,Eastern Mediterranean,2023,0,0.0,,
5247607,COUNTRY,TKM,EUR,Europe,2023,0,0.0,,
5374343,COUNTRY,CMR,AFR,Africa,2023,7 350 770 [5 639 000-9 446 000],7350770.0,5639000.0,9446000.0
5495074,REGION,SEAR,,,2023,2 686 870 [2 100 000-5 400 000],2686870.0,2100000.0,5400000.0
135432,COUNTRY,STP,AFR,Africa,2023,2348,2348.0,,
3034716,COUNTRY,DZA,AFR,Africa,2023,0,0.0,,
7903130,COUNTRY,CIV,AFR,Africa,2023,8 391 487 [5 790 000-11 770 000],8391487.0,5790000.0,11770000.0
9390903,COUNTRY,SLB,WPR,Western Pacific,2023,190 734 [166 000-225 000],190734.0,166000.0,225000.0
9118780,COUNTRY,SEN,AFR,Africa,2023,627 067 [444 000-891 000],627067.0,444000.0,891000.0
408773,COUNTRY,BLZ,AMR,Americas,2023,0,0.0,,
5172141,COUNTRY,KHM,WPR,Western Pacific,2023,1371,1371.0,,
421620,COUNTRY,HTI,AMR,Americas,2023,23 824 [16 000-32 000],23824.0,16000.0,32000.0
2496105,COUNTRY,NER,AFR,Africa,2023,7 982 516 [4 603 000-12 960 000],7982516.0,4603000.0,12960000.0
9119015,COUNTRY,GUY,AMR,Americas,2023,35 255 [30 000-41 000],35255.0,30000.0,41000.0
10169690,COUNTRY,CHN,WPR,Western Pacific,2023,0,0.0,,
5362708,COUNTRY,DJI,EMR,Eastern Mediterranean,2023,38 944,38944.0,,
5717578,COUNTRY,BDI,AFR,Africa,2023,4 425 102 [2 836 000-6 678 000],4425102.0,2836000.0,6678000.0
9385145,COUNTRY,GIN,AFR,Africa,2023,4 112 792 [2 882 000-5 647 000],4112792.0,2882000.0,5647000.0
4931727,COUNTRY,CRI,AMR,Americas,2023,543,543.0,,
3790512,COUNTRY,TLS,SEAR,South-East Asia,2023,0,0.0,,
4652824,COUNTRY,AGO,AFR,Africa,2023,9 388 568 [5 790 000-14 530 000],9388568.0,5790000.0,14530000.0
9803823,COUNTRY,COD,AFR,Africa,2023,34 412 847 [26 070 000-44 480 000],34412847.0,26070000.0,44480000.0
238319,COUNTRY,PRY,AMR,Americas,2023,0,0.0,,
7697399,COUNTRY,NIC,AMR,Americas,2023,8505 [7100-10 000],8505.0,7100.0,10000.0
1532627,COUNTRY,VNM,WPR,Western Pacific,2023,373,373.0,,
4976399,COUNTRY,SLE,AFR,Africa,2023,2 403 478 [1 343 000-4 010 000],2403478.0,1343000.0,4010000.0
8734281,COUNTRY,GAB,AFR,Africa,2023,475 347 [299 000-715 000],475347.0,299000.0,715000.0
9968393,COUNTRY,OMN,EMR,Eastern Mediterranean,2023,0,0.0,,
6765250,COUNTRY,BEN,AFR,Africa,2023,5 097 786 [3 435 000-7 287 000],5097786.0,3435000.0,7287000.0
6498708,COUNTRY,COL,AMR,Americas,2023,146 665 [112 000-184 000],146665.0,112000.0,184000.0
2033452,COUNTRY,AFG,EMR,Eastern Mediterranean,2023,424 307 [326 000-539 000],424307.0,326000.0,539000.0
1849326,GLOBAL,GLOBAL,,,2023,272 878 620 [248 000 000-304 000 000],272878620.0,248000000.0,304000000.0
6721021,COUNTRY,IND,SEAR,South-East Asia,2023,1 806 918 [1 363 000-2 274 000],1806918.0,1363000.0,2274000.0
10265774,COUNTRY,COM,AFR,Africa,2023,21 049,21049.0,,
7120722,COUNTRY,KOR,WPR,Western Pacific,2023,662,662.0,,
7482187,COUNTRY,GEO,EUR,Europe,2023,0,0.0,,
4564551,COUNTRY,ZMB,AFR,Africa,2023,5 224 073 [4 214 000-6 398 000],5224073.0,4214000.0,6398000.0
1444411,COUNTRY,ARG,AMR,Americas,2023,0,0.0,,
10152108,COUNTRY,KEN,AFR,Africa,2023,4 082 575 [2 065 000-7 352 000],4082575.0,2065000.0,7352000.0
7095701,COUNTRY,NPL,SEAR,South-East Asia,2023,15,15.0,,
8633667,COUNTRY,GTM,AMR,Americas,2023,3046,3046.0,,
2021601,COUNTRY,VUT,WPR,Western Pacific,2023,5748 [3400-9100],5748.0,3400.0,9100.0
2097906,COUNTRY,ECU,AMR,Americas,2023,604,604.0,,
9152526,COUNTRY,SSD,AFR,Africa,2023,3 042 333 [1 920 000-4 537 000],3042333.0,1920000.0,4537000.0
4330897,COUNTRY,GNQ,AFR,Africa,2023,424 586 [273 000-629 000],424586.0,273000.0,629000.0
7603644,COUNTRY,NAM,AFR,Africa,2023,19 376 [15 000-24 000],19376.0,15000.0,24000.0
1394263,COUNTRY,BRA,AMR,Americas,2023,163 461 [146 000-177 000],163461.0,146000.0,177000.0
6055303,COUNTRY,EGY,EMR,Eastern Mediterranean,2023,0,0.0,,
6740999,COUNTRY,GNB,AFR,Africa,2023,210 626 [60 000-561 000],210626.0,60000.0,561000.0
3753992,COUNTRY,ERI,AFR,Africa,2023,219 981 [141 000-306 000],219981.0,141000.0,306000.0
8892434,COUNTRY,TGO,AFR,Africa,2023,2 463 762 [1 791 000-3 292 000],2463762.0,1791000.0,3292000.0
1742458,COUNTRY,PNG,WPR,Western Pacific,2023,1 529 373 [1 055 000-2 031 000],1529373.0,1055000.0,2031000.0
1710897,COUNTRY,NGA,AFR,Africa,2023,68 136 453 [49 140 000-92 560 000],68136453.0,49140000.0,92560000.0
8529201,COUNTRY,TZA,AFR,Africa,2023,9 223 258 [6 723 000-12 410 000],9223258.0,6723000.0,12410000.0
1464485,COUNTRY,DOM,AMR,Americas,2023,253,253.0,,
8032729,COUNTRY,MOZ,AFR,Africa,2023,10 208 354 [8 124 000-12 600 000],10208354.0,8124000.0,12600000.0
6398690,COUNTRY,MRT,AFR,Africa,2023,215 283 [93 000-405 000],215283.0,93000.0,405000.0
2606225,COUNTRY,TUR,EUR,Europe,2023,0,0.0,,
5922617,COUNTRY,GUF,AMR,Americas,2023,189,189.0,,
6265354,COUNTRY,LKA,SEAR,South-East Asia,2023,0,0.0,,
4762716,REGION,EMR,,,2023,11 616 626 [9 200 000-14 900 000],11616626.0,9200000.0,14900000.0
157812,COUNTRY,ETH,AFR,Africa,2023,9 559 569 [5 281 000-14 360 000],9559569.0,5281000.0,14360000.0
2822053,COUNTRY,GMB,AFR,Africa,2023,236 079 [184 000-294 000],236079.0,184000.0,294000.0
6005481,COUNTRY,SWZ,AFR,Africa,2023,597,597.0,,
1534748,REGION,AFR,,,2023,255 747 705 [231 000 000-286 000 000],255747705.0,231000000.0,286000000.0
1541095,COUNTRY,ZAF,AFR,Africa,2023,5291,5291.0,,
170845,REGION,AMR,,,2023,572 303 [525 000-622 000],572303.0,525000.0,622000.0
9710972,COUNTRY,COG,AFR,Africa,2023,1 356 914 [792 000-2 195 000],1356914.0,792000.0,2195000.0
202600,COUNTRY,IDN,WPR,Western Pacific,2023,510 209 [476 000-553 000],510209.0,476000.0,553000.0
2651250,COUNTRY,MDG,AFR,Africa,2023,6 239 945 [3 991 000-8 713 000],6239945.0,3991000.0,8713000.0
6412005,COUNTRY,ARE,EMR,Eastern Mediterranean,2023,0,0.0,,
