Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
5331360,COUNTRY,TKM,EUR,Europe,2017,0,0.0,,
5356280,COUNTRY,HND,AMR,Americas,2017,1,1.0,,
5469320,COUNTRY,ECU,AMR,Americas,2017,0,0.0,,
5771199,COUNTRY,GEO,EUR,Europe,2017,0,0.0,,
5785468,COUNTRY,NIC,AMR,Americas,2017,1,1.0,,
5872278,COUNTRY,COL,AMR,Americas,2017,19,19.0,,
6039108,COUNTRY,LBR,AFR,Africa,2017,4383 [3850-5060],4383.0,3850.0,5060.0
6210733,COUNTRY,GAB,AFR,Africa,2017,406 [360-470],406.0,360.0,470.0
48401,COUNTRY,MMR,SEAR,South-East Asia,2017,209 [99-340],209.0,99.0,340.0
115114,COUNTRY,AFG,EMR,Eastern Mediterranean,2017,378 [160-640],378.0,160.0,640.0
380948,COUNTRY,VEN,AMR,Americas,2017,424 [220-640],424.0,220.0,640.0
553327,COUNTRY,IDN,WPR,Western Pacific,2017,1306 [650-1990],1306.0,650.0,1990.0
978915,COUNTRY,PRY,AMR,Americas,2017,0,0.0,,
1026909,COUNTRY,TLS,SEAR,South-East Asia,2017,0,0.0,,
1092130,COUNTRY,TZA,AFR,Africa,2017,23 157 [22 300-24 100],23157.0,22300.0,24100.0
1307116,COUNTRY,PAK,EMR,Eastern Mediterranean,2017,641 [310-1150],641.0,310.0,1150.0
1319485,COUNTRY,MOZ,AFR,Africa,2017,19 817 [15 900-25 900],19817.0,15900.0,25900.0
1713894,COUNTRY,BEN,AFR,Africa,2017,11 265 [10 200-12 500],11265.0,10200.0,12500.0
1843379,COUNTRY,MYS,WPR,Western Pacific,2017,1,1.0,,
1855389,COUNTRY,DZA,AFR,Africa,2017,0,0.0,,
1882185,COUNTRY,MYT,AFR,Africa,2017,9 [9-9],9.0,9.0,9.0
1920184,REGION,EUR,,,2017,0,0.0,,
2409863,COUNTRY,NER,AFR,Africa,2017,31 978 [28 700-35 900],31978.0,28700.0,35900.0
2862352,REGION,EMR,,,2017,11 253 [6900-16 300],11253.0,6900.0,16300.0
3015306,COUNTRY,BLZ,AMR,Americas,2017,0,0.0,,
3041820,COUNTRY,PHL,WPR,Western Pacific,2017,36 [15-66],36.0,15.0,66.0
3242900,COUNTRY,ARG,AMR,Americas,2017,0,0.0,,
3320414,COUNTRY,GUF,AMR,Americas,2017,0,0.0,,
3508566,COUNTRY,CHN,WPR,Western Pacific,2017,0,0.0,,
3509825,COUNTRY,BDI,AFR,Africa,2017,5911 [5060-7140],5911.0,5060.0,7140.0
3570138,COUNTRY,UZB,EUR,Europe,2017,0,0.0,,
3702821,COUNTRY,PNG,WPR,Western Pacific,2017,2510 [1030-4560],2510.0,1030.0,4560.0
3869271,COUNTRY,KGZ,EUR,Europe,2017,0,0.0,,
3950148,COUNTRY,TGO,AFR,Africa,2017,3858 [3460-4310],3858.0,3460.0,4310.0
4199516,COUNTRY,SEN,AFR,Africa,2017,2062 [840-3720],2062.0,840.0,3720.0
