Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
5228906,COUNTRY,TZA,AFR,Africa,2016,133.91 [98.10-179.18],133.90886,98.10265,179.17586
6382356,COUNTRY,KOR,WPR,Western Pacific,2016,0.17 [0.17-0.17],0.16765,0.16765,0.16765
2141437,COUNTRY,BEN,AFR,Africa,2016,419.86 [336.48-518.61],419.86474,336.47977,518.61036
937056,COUNTRY,PNG,WPR,Western Pacific,2016,134.90 [90.94-185.86],134.90339,90.94105,185.86141
6084326,COUNTRY,TLS,SEAR,South-East Asia,2016,0.10 [0.08-0.11],0.09695,0.08137,0.1134
7500820,COUNTRY,ARM,EUR,Europe,2016,0 [0-0],0.0,0.0,0.0
7567284,COUNTRY,MAR,EMR,Eastern Mediterranean,2016,0 [0-0],0.0,0.0,0.0
7872665,COUNTRY,THA,SEAR,South-East Asia,2016,0.90 [0.90-0.90],0.89809,0.89809,0.89809
9258135,COUNTRY,LAO,WPR,Western Pacific,2016,7.47 [5.42-9.82],7.47226,5.421,9.82241
235326,COUNTRY,STP,AFR,Africa,2016,10.99,10.98739,,
374629,COUNTRY,SSD,AFR,Africa,2016,264.92 [188.64-360.54],264.9216,188.644,360.54067
4496481,COUNTRY,GNB,AFR,Africa,2016,75.03 [29.80-154.90],75.03058,29.79526,154.9045
5753466,COUNTRY,BLZ,AMR,Americas,2016,0.02 [0.02-0.02],0.0159,0.0159,0.0159
2465602,COUNTRY,ZWE,AFR,Africa,2016,66.16 [43.48-91.59],66.16058,43.48244,91.5912
6522126,COUNTRY,GHA,AFR,Africa,2016,239.27 [185.22-304.58],239.26907,185.21541,304.57778
9642470,COUNTRY,HTI,AMR,Americas,2016,3.81 [2.53-5.13],3.80519,2.52986,5.12718
6422853,COUNTRY,PHL,WPR,Western Pacific,2016,0.28 [0.20-0.37],0.2794,0.19915,0.37112
6568975,COUNTRY,TUR,EUR,Europe,2016,0 [0-0],0.0,0.0,0.0
8403168,COUNTRY,ERI,AFR,Africa,2016,27.70 [14.83-44.05],27.7022,14.82882,44.05071
9331538,COUNTRY,ZAF,AFR,Africa,2016,0.75 [0.75-0.75],0.75498,0.75498,0.75498
3067060,COUNTRY,TCD,AFR,Africa,2016,212.89 [129.15-331.21],212.89205,129.15269,331.2072
9603087,COUNTRY,MRT,AFR,Africa,2016,94.53 [40.61-178.28],94.53059,40.6064,178.27548
2228865,COUNTRY,LBR,AFR,Africa,2016,370.25 [299.30-455.92],370.25003,299.29999,455.91726
7615103,COUNTRY,NPL,SEAR,South-East Asia,2016,0.06 [0.06-0.06],0.06245,0.06245,0.06245
6012596,COUNTRY,DJI,EMR,Eastern Mediterranean,2016,17.76,17.76251,,
6231191,COUNTRY,CRI,AMR,Americas,2016,0 [0-0],0.00235,0.00235,0.00235
2289107,REGION,WPR,,,2016,1.97 [1.44-2.58],1.96661,1.43603,2.57746
3140847,COUNTRY,PRY,AMR,Americas,2016,0 [0-0],0.0,0.0,0.0
8079623,COUNTRY,LKA,SEAR,South-East Asia,2016,0 [0-0],0.0,0.0,0.0
4960285,COUNTRY,YEM,EMR,Eastern Mediterranean,2016,32.76 [22.41-48.06],32.76088,22.41215,48.0634
7456153,COUNTRY,BRA,AMR,Americas,2016,3.20 [3.07-3.41],3.20028,3.07251,3.41343
8908162,COUNTRY,SOM,EMR,Eastern Mediterranean,2016,57.80 [32.71-94.43],57.79678,32.7074,94.43209
7635584,COUNTRY,SLB,WPR,Western Pacific,2016,128.37 [109.38-153.98],128.36979,109.38393,153.98343
349918,COUNTRY,MDG,AFR,Africa,2016,63.37 [44.92-86.44],63.37211,44.92011,86.44348
6835195,COUNTRY,OMN,EMR,Eastern Mediterranean,2016,0 [0-0],0.0,0.0,0.0
3108033,COUNTRY,SEN,AFR,Africa,2016,45.50 [31.09-61.39],45.50388,31.09022,61.38713
3015834,COUNTRY,AGO,AFR,Africa,2016,192.01 [147.31-244.63],192.00862,147.31125,244.62778
5755318,COUNTRY,CPV,AFR,Africa,2016,0.37 [0.37-0.37],0.36769,0.36769,0.36769
2606396,REGION,AFR,,,2016,234.03 [215.71-254.99],234.02655,215.70785,254.99239
7304078,COUNTRY,PER,AMR,Americas,2016,6.01 [4.93-7.18],6.00802,4.93024,7.18042
7304128,COUNTRY,TKM,EUR,Europe,2016,0 [0-0],0.0,0.0,0.0
7921545,COUNTRY,NIC,AMR,Americas,2016,1.45 [1.20-1.71],1.4482,1.20352,1.70656
7191794,GLOBAL,GLOBAL,,,2016,57.93 [53.75-62.74],57.92901,53.75338,62.7445
8961716,COUNTRY,KAZ,EUR,Europe,2016,0 [0-0],0.0,0.0,0.0
2639864,COUNTRY,ZMB,AFR,Africa,2016,203.98 [157.23-259.30],203.98443,157.2256,259.30478
6829082,COUNTRY,IDN,SEAR,South-East Asia,2016,4.11 [3.71-4.57],4.10898,3.70528,4.57476
9717284,COUNTRY,COG,AFR,Africa,2016,214.91 [138.70-317.75],214.91168,138.69834,317.74681
7125755,COUNTRY,VNM,WPR,Western Pacific,2016,0.06 [0.06-0.06],0.06006,0.06006,0.06006
4081686,COUNTRY,AZE,EUR,Europe,2016,0 [0-0],0.0,0.0,0.0
7437240,COUNTRY,HND,AMR,Americas,2016,0.66 [0.51-0.81],0.65707,0.50916,0.8092
4776151,COUNTRY,GUF,AMR,Americas,2016,1.79 [1.59-2.05],1.78564,1.58576,2.04549
45355,COUNTRY,KHM,WPR,Western Pacific,2016,11.01 [9.50-12.89],11.00754,9.50486,12.89287
6524498,REGION,AMR,,,2016,4.74 [4.39-5.15],4.73918,4.3865,5.14683
6928504,COUNTRY,SWZ,AFR,Africa,2016,0.78 [0.78-0.78],0.77673,0.77673,0.77673
9651411,COUNTRY,BWA,AFR,Africa,2016,0.67 [0.51-0.96],0.66549,0.51431,0.96248
9366778,COUNTRY,SLV,AMR,Americas,2016,0.01 [0.01-0.01],0.00953,0.00953,0.00953
