Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
8860213,COUNTRY,GIN,AFR,Africa,2022,73.16 [61.70-88.36],73.16186246,61.69986105,88.35915296
8123009,COUNTRY,STP,AFR,Africa,2022,0 [0-0],0.0,0.0,0.0
6969867,COUNTRY,COM,AFR,Africa,2022,6.23 [2.88-9.71],6.233606813,2.877049298,9.710041382
6374668,GLOBAL,GLOBAL,,,2022,13.96 [12.93-16.90],13.963550832,12.93043784,16.89763757
9868018,COUNTRY,GTM,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
5666970,COUNTRY,MEX,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
9266864,COUNTRY,KHM,WPR,Western Pacific,2022,0.07 [0.03-0.12],0.073547102,0.032687601,0.122578503
8841819,COUNTRY,GMB,AFR,Africa,2022,23.74 [22.30-25.68],23.74386964,22.30254848,25.67827436
1654955,COUNTRY,MWI,AFR,Africa,2022,36.58 [30.84-47.02],36.58466386,30.84281634,47.01797797
2331861,COUNTRY,CAF,AFR,Africa,2022,100.06 [78.62-128.11],100.0580812,78.61846486,128.1085727
1250765,COUNTRY,BWA,AFR,Africa,2022,0.37 [0.37-0.37],0.370920111,0.370920111,0.370920111
3515238,COUNTRY,SUR,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
3521721,COUNTRY,SLE,AFR,Africa,2022,99.00 [69.34-140.20],98.99954161,69.33834138,140.1993112
6736237,REGION,SEAR,,,2022,0.36 [0.23-0.54],0.361704439,0.225591648,0.5357073
3864241,COUNTRY,NGA,AFR,Africa,2022,84.11 [62.99-116.97],84.1099024,62.99021342,116.97429
2762223,COUNTRY,NIC,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
25197,COUNTRY,PAK,EMR,Eastern Mediterranean,2022,1.27 [0.64-2.11],1.273454339,0.642351488,2.112834382
6742677,COUNTRY,GNQ,AFR,Africa,2022,44.36 [36.54-59.22],44.35708563,36.53914929,59.21670931
5534822,COUNTRY,PNG,WPR,Western Pacific,2022,33.30 [14.00-59.14],33.30337859,13.99540672,59.13897927
5021741,COUNTRY,COG,AFR,Africa,2022,37.05 [32.36-46.64],37.04990005,32.36066852,46.64376952
4559920,COUNTRY,MMR,SEAR,South-East Asia,2022,0.99 [0.43-4.45],0.992835888,0.427026189,4.454416929
3035323,COUNTRY,TGO,AFR,Africa,2022,38.80 [32.19-47.88],38.80199847,32.19014673,47.87816767
2959337,COUNTRY,COL,AMR,Americas,2022,0.14 [0.14-0.14],0.139685984,0.139685984,0.139685984
6971362,COUNTRY,MLI,AFR,Africa,2022,61.88 [49.99-77.77],61.87848465,49.98550231,77.76743364
4611022,COUNTRY,UGA,AFR,Africa,2022,37.07 [29.42-49.81],37.06825642,29.42126408,49.80906931
8645113,COUNTRY,TZA,AFR,Africa,2022,39.40 [36.73-42.81],39.403929,36.73208331,42.80516229
3433961,COUNTRY,BDI,AFR,Africa,2022,53.64 [39.95-78.46],53.64423065,39.95166464,78.46200654
9900672,COUNTRY,DJI,EMR,Eastern Mediterranean,2022,9.50 [4.57-14.54],9.498903522,4.57354614,14.54153132
7706653,COUNTRY,SDN,EMR,Eastern Mediterranean,2022,15.93 [5.51-34.17],15.93249708,5.507879225,34.17356601
4017216,COUNTRY,SEN,AFR,Africa,2022,14.72 [5.77-28.67],14.71862693,5.767344964,28.66676377
3054675,COUNTRY,YEM,EMR,Eastern Mediterranean,2022,9.76 [3.79-19.13],9.76351562,3.792406359,19.12878792
146564,COUNTRY,NER,AFR,Africa,2022,137.49 [113.22-168.72],137.4922453,113.2190486,168.7226239
3352269,COUNTRY,SSD,AFR,Africa,2022,60.79 [33.39-121.62],60.79205515,33.39003629,121.6210846
2086535,COUNTRY,DZA,AFR,Africa,2022,0 [0-0],0.0,0.0,0.0
6015413,REGION,WPR,,,2022,0.47 [0.22-0.82],0.472919843,0.216893806,0.823705002
9546749,COUNTRY,MDG,AFR,Africa,2022,29.97 [11.60-56.36],29.96656072,11.60419828,56.35937663
8970196,COUNTRY,GAB,AFR,Africa,2022,17.69 [15.22-21.89],17.6900352,15.2216582,21.88627611
4877042,COUNTRY,CIV,AFR,Africa,2022,36.66 [31.07-43.64],36.66392258,31.07418779,43.63562799
3384111,COUNTRY,LBR,AFR,Africa,2022,71.58 [54.79-99.70],71.57620633,54.78948295,99.69675957
5567300,COUNTRY,CPV,AFR,Africa,2022,0 [0-0],0.0,0.0,0.0
8773858,COUNTRY,KEN,AFR,Africa,2022,21.77 [20.58-23.25],21.77044138,20.57786873,23.24871536
1018585,COUNTRY,MOZ,AFR,Africa,2022,64.59 [40.17-110.14],64.5940749,40.16988052,110.1352097
8106316,COUNTRY,PRY,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
7751775,COUNTRY,SWZ,AFR,Africa,2022,1.17,1.172003188,,
2485184,COUNTRY,IDN,SEAR,South-East Asia,2022,0.73 [0.36-1.11],0.730192642,0.363652792,1.113229969
9066035,COUNTRY,BOL,AMR,Americas,2022,0.09 [0.04-0.18],0.091256829,0.036502732,0.182513658
5371445,COUNTRY,SLV,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
3087316,COUNTRY,ZMB,AFR,Africa,2022,43.83 [37.53-54.21],43.83479967,37.53298899,54.2105821
7385030,COUNTRY,PAN,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
3726474,REGION,EMR,,,2022,2.86 [1.74-4.56],2.859029144,1.741057844,4.555802338
1423798,COUNTRY,SLB,WPR,Western Pacific,2022,26.77 [13.58-42.29],26.76995299,13.57896166,42.28876632
8259333,COUNTRY,NPL,SEAR,South-East Asia,2022,0 [0-0],0.0,0.0,0.0
223669,COUNTRY,PRK,SEAR,South-East Asia,2022,0 [0-0],0.0,0.0,0.0
5479343,REGION,EUR,,,2022,0 [0-0],0.0,0.0,0.0
2409472,COUNTRY,IND,SEAR,South-East Asia,2022,0.28 [0.14-0.44],0.275017457,0.135213162,0.441848618
4662951,COUNTRY,AGO,AFR,Africa,2022,56.93 [36.58-94.53],56.92713201,36.57889545,94.53086175
8582054,COUNTRY,LKA,SEAR,South-East Asia,2022,0 [0-0],0.0,0.0,0.0
7334797,COUNTRY,GHA,AFR,Africa,2022,34.58 [32.41-37.74],34.5800701,32.40505217,37.73550527
8939691,COUNTRY,CRI,AMR,Americas,2022,0 [0-0],0.0,0.0,0.0
7524914,COUNTRY,MRT,AFR,Africa,2022,12.29 [3.77-26.75],12.28557417,3.773865856,26.74573599
1108008,COUNTRY,MAR,EMR,Eastern Mediterranean,2022,0 [0-0],0.0,0.0,0.0
7701928,COUNTRY,COD,AFR,Africa,2022,68.38 [43.31-111.65],68.38483733,43.31068182,111.6480568
8443055,COUNTRY,HTI,AMR,Americas,2022,0.65 [0.25-1.21],0.651906276,0.252978555,1.206513108
