Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
7382814,COUNTRY,PER,AMR,Americas,2013,139 [113-168],139.0,113.0,168.0
7416105,COUNTRY,CHN,WPR,Western Pacific,2013,70 [57-84],70.0,57.0,84.0
7422219,COUNTRY,PNG,WPR,Western Pacific,2013,582 [326-1310],582.0,326.0,1310.0
7434916,COUNTRY,EGY,EMR,Eastern Mediterranean,2013,14 [11-17],14.0,11.0,17.0
7644541,COUNTRY,MEX,AMR,Americas,2013,26 [21-31],26.0,21.0,31.0
7687735,COUNTRY,CAN,AMR,Americas,2013,5.4 [4.4-6.5],5.4,4.4,6.5
7810869,COUNTRY,LTU,EUR,Europe,2013,85 [69-103],85.0,69.0,103.0
7858276,COUNTRY,BEN,AFR,Africa,2013,69 [40-147],69.0,40.0,147.0
7960462,COUNTRY,MNG,WPR,Western Pacific,2013,428 [220-703],428.0,220.0,703.0
8093677,COUNTRY,BRA,AMR,Americas,2013,42 [35-51],42.0,35.0,51.0
8198280,COUNTRY,GUY,AMR,Americas,2013,130 [105-156],130.0,105.0,156.0
8207032,COUNTRY,PRT,EUR,Europe,2013,26 [21-32],26.0,21.0,32.0
8361564,COUNTRY,NZL,WPR,Western Pacific,2013,7.4 [6-8.9],7.4,6.0,8.9
8364019,COUNTRY,CUB,AMR,Americas,2013,8.4 [6.9-10],8.4,6.9,10.0
737,COUNTRY,GHA,AFR,Africa,2013,168 [70-308],168.0,70.0,308.0
24470,COUNTRY,DZA,AFR,Africa,2013,77 [62-92],77.0,62.0,92.0
24623,COUNTRY,CYP,EUR,Europe,2013,4.7 [3.8-5.7],4.7,3.8,5.7
35175,REGION,WPR,,,2013,133 [116-150],133.0,116.0,150.0
36986,COUNTRY,TKM,EUR,Europe,2013,76 [62-91],76.0,62.0,91.0
72718,COUNTRY,FRA,EUR,Europe,2013,8.8 [8.5-9.2],8.8,8.5,9.2
250372,COUNTRY,MHL,WPR,Western Pacific,2013,532 [433-641],532.0,433.0,641.0
260631,COUNTRY,NOR,EUR,Europe,2013,8.3 [6.8-10],8.3,6.8,10.0
276816,COUNTRY,IDN,WPR,Western Pacific,2013,332 [301-365],332.0,301.0,365.0
301779,COUNTRY,COK,WPR,Western Pacific,2013,11 [9.2-14],11.0,9.2,14.0
324267,COUNTRY,SDN,EMR,Eastern Mediterranean,2013,100 [38-190],100.0,38.0,190.0
415245,COUNTRY,MLT,EUR,Europe,2013,12 [9.5-14],12.0,9.5,14.0
424452,COUNTRY,SLE,AFR,Africa,2013,465 [285-895],465.0,285.0,895.0
435119,COUNTRY,MUS,AFR,Africa,2013,17 [14-20],17.0,14.0,20.0
442397,COUNTRY,TZA,AFR,Africa,2013,336 [107-692],336.0,107.0,692.0
541657,COUNTRY,LAO,WPR,Western Pacific,2013,197 [111-306],197.0,111.0,306.0
555809,COUNTRY,TGO,AFR,Africa,2013,72 [41-152],72.0,41.0,152.0
580712,REGION,EMR,,,2013,123 [90-161],123.0,90.0,161.0
610342,REGION,AMR,,,2013,31 [29-34],31.0,29.0,34.0
805035,COUNTRY,CIV,AFR,Africa,2013,184 [107-383],184.0,107.0,383.0
858625,COUNTRY,TUR,EUR,Europe,2013,25 [20-30],25.0,20.0,30.0
874490,COUNTRY,UGA,AFR,Africa,2013,203 [132-289],203.0,132.0,289.0
923549,COUNTRY,SUR,AMR,Americas,2013,37 [30-45],37.0,30.0,45.0
927956,COUNTRY,HKG,,,2013,109 [89-131],109.0,89.0,131.0
1016551,COUNTRY,OMN,EMR,Eastern Mediterranean,2013,13 [11-16],13.0,11.0,16.0
1098775,COUNTRY,MYS,WPR,Western Pacific,2013,112 [91-135],112.0,91.0,135.0
1108034,COUNTRY,STP,AFR,Africa,2013,159 [130-192],159.0,130.0,192.0
1117794,COUNTRY,AUT,EUR,Europe,2013,8.9 [7.2-11],8.9,7.2,11.0
1161774,COUNTRY,MCO,EUR,Europe,2013,1.2 [0.95-1.4],1.2,0.95,1.4
1169958,COUNTRY,BWA,AFR,Africa,2013,503 [306-974],503.0,306.0,974.0
1213738,COUNTRY,LCA,AMR,Americas,2013,5.2 [4.2-6.3],5.2,4.2,6.3
1227293,COUNTRY,AND,EUR,Europe,2013,6.6 [5.4-8],6.6,5.4,8.0
1250846,COUNTRY,SLB,WPR,Western Pacific,2013,153 [125-185],153.0,125.0,185.0
1351731,COUNTRY,DEU,EUR,Europe,2013,5.7 [5.1-6.3],5.7,5.1,6.3
1359268,COUNTRY,JPN,WPR,Western Pacific,2013,20 [16-24],20.0,16.0,24.0
1477107,COUNTRY,ARG,AMR,Americas,2013,27 [22-33],27.0,22.0,33.0
1491994,COUNTRY,HND,AMR,Americas,2013,55 [45-67],55.0,45.0,67.0
1495756,COUNTRY,BFA,AFR,Africa,2013,71 [44-136],71.0,44.0,136.0
1518277,COUNTRY,RWA,AFR,Africa,2013,70 [49-94],70.0,49.0,94.0
1566503,COUNTRY,ARM,EUR,Europe,2013,79 [64-95],79.0,64.0,95.0
1577586,COUNTRY,LBY,EMR,Eastern Mediterranean,2013,35 [22-65],35.0,22.0,65.0
1664764,COUNTRY,KIR,WPR,Western Pacific,2013,888 [722-1070],888.0,722.0,1070.0
1747676,COUNTRY,TJK,EUR,Europe,2013,135 [110-163],135.0,110.0,163.0
1781058,COUNTRY,CHL,AMR,Americas,2013,18 [14-21],18.0,14.0,21.0
1810274,COUNTRY,HRV,EUR,Europe,2013,16 [13-19],16.0,13.0,19.0
1812409,COUNTRY,WSM,WPR,Western Pacific,2013,11 [9-13],11.0,9.0,13.0
1925494,COUNTRY,NRU,WPR,Western Pacific,2013,67 [55-81],67.0,55.0,81.0
2038513,COUNTRY,NER,AFR,Africa,2013,111 [64-239],111.0,64.0,239.0
2083672,COUNTRY,KHM,WPR,Western Pacific,2013,373 [276-501],373.0,276.0,501.0
2116964,COUNTRY,ESP,EUR,Europe,2013,14 [11-16],14.0,11.0,16.0
2147980,COUNTRY,MOZ,AFR,Africa,2013,361 [223-532],361.0,223.0,532.0
2177883,COUNTRY,GRD,AMR,Americas,2013,2.1 [1.7-2.6],2.1,1.7,2.6
2193735,COUNTRY,GEO,EUR,Europe,2013,143 [116-172],143.0,116.0,172.0
