Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
8989343,COUNTRY,TGO,AFR,Africa,SEX,Both,2003,1.9 [1.6 - 2.3],1.9,1.6,2.3
9054755,COUNTRY,CAN,AMR,Americas,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9064584,COUNTRY,ARE,EMR,Eastern Mediterranean,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9111384,COUNTRY,LCA,AMR,Americas,SEX,Both,2003,0.17 [0.14 - 0.19],0.17,0.14,0.19
9190921,REGION,AFR,,,SEX,Both,2003,2.7 [2.1 - 3.7],2.7,2.1,3.7
9219597,COUNTRY,ARG,AMR,Americas,SEX,Both,2003,0.15 [0.13 - 0.16],0.15,0.13,0.16
9253886,COUNTRY,NRU,WPR,Western Pacific,SEX,Both,2003,No data,,,
9295844,COUNTRY,BRN,WPR,Western Pacific,SEX,Both,2003,No data,,,
9322768,COUNTRY,BFA,AFR,Africa,SEX,Both,2003,0.64 [0.52 - 0.79],0.64,0.52,0.79
9328258,COUNTRY,KWT,EMR,Eastern Mediterranean,SEX,Both,2003,No data,,,
9355802,COUNTRY,BLR,EUR,Europe,SEX,Both,2003,No data,,,
9393324,COUNTRY,DMA,AMR,Americas,SEX,Both,2003,No data,,,
9400970,COUNTRY,SYC,AFR,Africa,SEX,Both,2003,No data,,,
9411237,COUNTRY,IRL,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9412764,COUNTRY,ERI,AFR,Africa,SEX,Both,2003,0.56 [0.36 - 0.79],0.56,0.36,0.79
9593001,COUNTRY,PRT,EUR,Europe,SEX,Both,2003,0.2 [0.17 - 0.22],0.2,0.17,0.22
9597719,COUNTRY,SUR,AMR,Americas,SEX,Both,2003,1.1 [0.95 - 1.2],1.1,0.95,1.2
9607101,COUNTRY,KEN,AFR,Africa,SEX,Both,2003,3.6 [2.3 - 5.6],3.6,2.3,5.6
9726343,COUNTRY,NZL,WPR,Western Pacific,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9806480,COUNTRY,PER,AMR,Americas,SEX,Both,2003,0.2 [0.17 - 0.24],0.2,0.17,0.24
9823726,COUNTRY,HUN,EUR,Europe,SEX,Both,2003,No data,,,
9826185,COUNTRY,MEX,AMR,Americas,SEX,Both,2003,0.14 [0.13 - 0.15],0.14,0.13,0.15
9841069,COUNTRY,RWA,AFR,Africa,SEX,Both,2003,2.2 [2.1 - 2.5],2.2,2.1,2.5
9873549,REGION,EMR,,,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9877570,COUNTRY,LTU,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
9913084,COUNTRY,TUV,WPR,Western Pacific,SEX,Both,2003,0.16 [<0.1 - 0.27],0.16,0.1,0.27
9957036,COUNTRY,LSO,AFR,Africa,SEX,Both,2003,16.9 [15 - 18.9],16.9,15.0,18.9
71812,COUNTRY,CHE,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
73467,COUNTRY,COK,WPR,Western Pacific,SEX,Both,2003,No data,,,
128177,COUNTRY,KAZ,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
152827,COUNTRY,RUS,EUR,Europe,SEX,Both,2003,No data,,,
267947,REGION,AMR,,,SEX,Both,2003,0.19 [0.15 - 0.25],0.19,0.15,0.25
313765,COUNTRY,COD,AFR,Africa,SEX,Both,2003,0.91 [0.76 - 1.1],0.91,0.76,1.1
354865,COUNTRY,JAM,AMR,Americas,SEX,Both,2003,1 [0.91 - 1.1],1.0,0.91,1.1
358074,COUNTRY,CHL,AMR,Americas,SEX,Both,2003,0.13 [0.11 - 0.14],0.13,0.11,0.14
380655,COUNTRY,ISR,EUR,Europe,SEX,Both,2003,No data,,,
381664,COUNTRY,CYP,EUR,Europe,SEX,Both,2003,No data,,,
412515,COUNTRY,USA,AMR,Americas,SEX,Both,2003,No data,,,
421968,COUNTRY,BDI,AFR,Africa,SEX,Both,2003,0.92 [0.74 - 1.2],0.92,0.74,1.2
474276,COUNTRY,IRN,EMR,Eastern Mediterranean,SEX,Both,2003,No data,,,
522652,COUNTRY,NGA,AFR,Africa,SEX,Both,2003,1.3 [1.2 - 1.6],1.3,1.2,1.6
525773,GLOBAL,GLOBAL,,,SEX,Both,2003,0.42 [0.34 - 0.54],0.42,0.34,0.54
612760,COUNTRY,EST,EUR,Europe,SEX,Both,2003,0.58 [0.49 - 0.66],0.58,0.49,0.66
720192,COUNTRY,GRC,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
796524,COUNTRY,JOR,EMR,Eastern Mediterranean,SEX,Both,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
841603,COUNTRY,VNM,WPR,Western Pacific,SEX,Both,2003,0.23 [0.21 - 0.26],0.23,0.21,0.26
972348,COUNTRY,IRQ,EMR,Eastern Mediterranean,SEX,Both,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1018310,COUNTRY,SOM,EMR,Eastern Mediterranean,SEX,Both,2003,0.12 [<0.1 - 0.14],0.12,0.1,0.14
1060140,COUNTRY,MHL,WPR,Western Pacific,SEX,Both,2003,No data,,,
1066675,COUNTRY,PRK,SEAR,South-East Asia,SEX,Both,2003,No data,,,
1073118,COUNTRY,CMR,AFR,Africa,SEX,Both,2003,3.5 [3.2 - 4],3.5,3.2,4.0
1079326,COUNTRY,QAT,EMR,Eastern Mediterranean,SEX,Both,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1084423,COUNTRY,NIC,AMR,Americas,SEX,Both,2003,No data,,,
1084555,COUNTRY,ALB,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1173385,COUNTRY,BRA,AMR,Americas,SEX,Both,2003,0.15 [0.13 - 0.16],0.15,0.13,0.16
1198953,COUNTRY,HRV,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1231706,COUNTRY,IDN,WPR,Western Pacific,SEX,Both,2003,0.19 [0.17 - 0.21],0.19,0.17,0.21
1264003,COUNTRY,MWI,AFR,Africa,SEX,Both,2003,7.3 [6.9 - 8.2],7.3,6.9,8.2
1347818,COUNTRY,GAB,AFR,Africa,SEX,Both,2003,2.9 [2.3 - 3.6],2.9,2.3,3.6
1402533,COUNTRY,CRI,AMR,Americas,SEX,Both,2003,0.16 [0.14 - 0.17],0.16,0.14,0.17
1504310,COUNTRY,COL,AMR,Americas,SEX,Both,2003,0.3 [0.24 - 0.37],0.3,0.24,0.37
1518959,COUNTRY,HTI,AMR,Americas,SEX,Both,2003,1.2 [1.1 - 1.5],1.2,1.1,1.5
1817114,COUNTRY,KIR,WPR,Western Pacific,SEX,Both,2003,No data,,,
1827727,COUNTRY,KHM,WPR,Western Pacific,SEX,Both,2003,0.45 [0.39 - 0.5],0.45,0.39,0.5
1847601,COUNTRY,PAN,AMR,Americas,SEX,Both,2003,0.37 [0.34 - 0.41],0.37,0.34,0.41
1860500,COUNTRY,JPN,WPR,Western Pacific,SEX,Both,2003,No data,,,
1882994,COUNTRY,SMR,EUR,Europe,SEX,Both,2003,No data,,,
1985328,REGION,SEAR,,,SEX,Both,2003,0.19 [0.14 - 0.29],0.19,0.14,0.29
2099473,COUNTRY,LUX,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2133478,COUNTRY,AGO,AFR,Africa,SEX,Both,2003,1.3 [1.1 - 1.6],1.3,1.1,1.6
2178378,COUNTRY,MAR,EMR,Eastern Mediterranean,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2193162,COUNTRY,UZB,EUR,Europe,SEX,Both,2003,No data,,,
2202093,COUNTRY,HND,AMR,Americas,SEX,Both,2003,0.24 [0.19 - 0.29],0.24,0.19,0.29
2442636,COUNTRY,MNG,WPR,Western Pacific,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2492256,COUNTRY,AUS,WPR,Western Pacific,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2511197,COUNTRY,GIN,AFR,Africa,SEX,Both,2003,1.2 [1 - 1.5],1.2,1.0,1.5
2533328,COUNTRY,STP,AFR,Africa,SEX,Both,2003,No data,,,
2661589,COUNTRY,TZA,AFR,Africa,SEX,Both,2003,3 [2.7 - 3.4],3.0,2.7,3.4
2758337,COUNTRY,MLI,AFR,Africa,SEX,Both,2003,0.79 [0.67 - 0.99],0.79,0.67,0.99
2781729,COUNTRY,GMB,AFR,Africa,SEX,Both,2003,1.6 [1.2 - 2.2],1.6,1.2,2.2
2791601,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,Both,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2799564,COUNTRY,AUT,EUR,Europe,SEX,Both,2003,No data,,,
2826642,COUNTRY,LKA,SEAR,South-East Asia,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2871355,COUNTRY,MKD,EUR,Europe,SEX,Both,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2930638,COUNTRY,TJK,EUR,Europe,SEX,Both,2003,0.14 [0.14 - 0.14],0.14,0.14,0.14
3137098,COUNTRY,POL,EUR,Europe,SEX,Both,2003,No data,,,
3164344,COUNTRY,ESP,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3184125,COUNTRY,ISL,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3259410,COUNTRY,CUB,AMR,Americas,SEX,Both,2003,0.17 [0.14 - 0.19],0.17,0.14,0.19
3318683,COUNTRY,BRB,AMR,Americas,SEX,Both,2003,0.64 [0.57 - 0.72],0.64,0.57,0.72
3342163,COUNTRY,NER,AFR,Africa,SEX,Both,2003,0.31 [0.27 - 0.36],0.31,0.27,0.36
3579785,COUNTRY,GHA,AFR,Africa,SEX,Both,2003,1.4 [1.2 - 1.7],1.4,1.2,1.7
3594273,COUNTRY,LBY,EMR,Eastern Mediterranean,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3640249,COUNTRY,GTM,AMR,Americas,SEX,Both,2003,0.16 [0.11 - 0.21],0.16,0.11,0.21
3660583,COUNTRY,TLS,SEAR,South-East Asia,SEX,Both,2003,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
3686067,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,Both,2003,1.8 [1.1 - 2.6],1.8,1.1,2.6
3709626,COUNTRY,GUY,AMR,Americas,SEX,Both,2003,0.86 [0.62 - 1.3],0.86,0.62,1.3
3766768,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,Both,2003,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
3774731,COUNTRY,SLE,AFR,Africa,SEX,Both,2003,1.2 [1.1 - 1.4],1.2,1.1,1.4
3793101,COUNTRY,PLW,WPR,Western Pacific,SEX,Both,2003,No data,,,
3799252,COUNTRY,DNK,EUR,Europe,SEX,Both,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3818505,COUNTRY,BOL,AMR,Americas,SEX,Both,2003,0.22 [0.17 - 0.28],0.22,0.17,0.28
3874392,COUNTRY,WSM,WPR,Western Pacific,SEX,Both,2003,No data,,,
3938664,COUNTRY,IND,SEAR,South-East Asia,SEX,Both,2003,No data,,,
4020059,COUNTRY,MDA,EUR,Europe,SEX,Both,2003,0.61 [0.43 - 0.83],0.61,0.43,0.83
4048371,COUNTRY,SEN,AFR,Africa,SEX,Both,2003,0.42 [0.4 - 0.46],0.42,0.4,0.46
4054246,COUNTRY,MUS,AFR,Africa,SEX,Both,2003,No data,,,
