Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,YEAR,Dim1,Value,NumericValue,Low,High
100944,COUNTRY,ISL,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
180022,COUNTRY,ROU,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
247898,COUNTRY,WSM,WPR,Western Pacific,SEX,2021,Both,No data,,,
278368,COUNTRY,TGO,AFR,Africa,SEX,2021,Both,0.31 [0.2 - 0.5],0.31,0.2,0.5
331704,COUNTRY,HND,AMR,Americas,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
355823,COUNTRY,CHE,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
392046,COUNTRY,SOM,EMR,Eastern Mediterranean,SEX,2021,Both,No data,,,
395546,COUNTRY,BTN,SEAR,South-East Asia,SEX,2021,Both,<0.1 [<0.1 - 0.15],0.1,0.1,0.15
406724,COUNTRY,SGP,WPR,Western Pacific,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
474565,COUNTRY,ISR,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
600121,COUNTRY,IND,SEAR,South-East Asia,SEX,2021,Both,No data,,,
634136,COUNTRY,ITA,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
737934,COUNTRY,BFA,AFR,Africa,SEX,2021,Both,<0.1 [<0.1 - 0.14],0.1,0.1,0.14
905351,COUNTRY,LTU,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
948045,COUNTRY,PAN,AMR,Americas,SEX,2021,Both,0.35 [0.29 - 0.39],0.35,0.29,0.39
949095,COUNTRY,DEU,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
977910,COUNTRY,ATG,AMR,Americas,SEX,2021,Both,No data,,,
993428,COUNTRY,MAR,EMR,Eastern Mediterranean,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1011471,COUNTRY,DOM,AMR,Americas,SEX,2021,Both,0.43 [0.26 - 0.57],0.43,0.26,0.57
1036295,COUNTRY,ZMB,AFR,Africa,SEX,2021,Both,2 [1.7 - 2.5],2.0,1.7,2.5
1059959,COUNTRY,COL,AMR,Americas,SEX,2021,Both,0.27 [0.16 - 0.44],0.27,0.16,0.44
1088578,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,2021,Both,0.28 [0.18 - 0.49],0.28,0.18,0.49
1130890,COUNTRY,ESP,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1148384,REGION,SEAR,,,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1181585,COUNTRY,BLR,EUR,Europe,SEX,2021,Both,0.11 [<0.1 - 0.25],0.11,0.1,0.25
1263477,COUNTRY,SMR,EUR,Europe,SEX,2021,Both,No data,,,
1384673,COUNTRY,UZB,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
1395492,COUNTRY,SUR,AMR,Americas,SEX,2021,Both,0.77 [0.57 - 0.97],0.77,0.57,0.97
1428590,COUNTRY,RUS,EUR,Europe,SEX,2021,Both,No data,,,
1496418,COUNTRY,LAO,WPR,Western Pacific,SEX,2021,Both,0.17 [0.15 - 0.19],0.17,0.15,0.19
1528278,COUNTRY,UKR,EUR,Europe,SEX,2021,Both,0.16 [0.12 - 0.23],0.16,0.12,0.23
1545136,COUNTRY,CHN,WPR,Western Pacific,SEX,2021,Both,No data,,,
1608001,COUNTRY,MKD,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1671754,COUNTRY,NRU,WPR,Western Pacific,SEX,2021,Both,No data,,,
1675734,COUNTRY,MDV,SEAR,South-East Asia,SEX,2021,Both,No data,,,
1677267,COUNTRY,NER,AFR,Africa,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1725477,COUNTRY,PER,AMR,Americas,SEX,2021,Both,0.2 [0.16 - 0.26],0.2,0.16,0.26
1745816,COUNTRY,YEM,EMR,Eastern Mediterranean,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1755334,COUNTRY,CPV,AFR,Africa,SEX,2021,Both,0.5 [0.35 - 0.67],0.5,0.35,0.67
1761676,COUNTRY,MCO,EUR,Europe,SEX,2021,Both,No data,,,
1769005,COUNTRY,MWI,AFR,Africa,SEX,2021,Both,0.81 [0.59 - 1.2],0.81,0.59,1.2
1795599,COUNTRY,UGA,AFR,Africa,SEX,2021,Both,1.1 [0.86 - 1.5],1.1,0.86,1.5
1916509,COUNTRY,CRI,AMR,Americas,SEX,2021,Both,0.19 [0.13 - 0.25],0.19,0.13,0.25
1971200,COUNTRY,BGD,SEAR,South-East Asia,SEX,2021,Both,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1979676,COUNTRY,LBY,EMR,Eastern Mediterranean,SEX,2021,Both,No data,,,
1988628,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,2021,Both,0.1 [<0.1 - 0.18],0.1,0.1,0.18
2012047,COUNTRY,BRA,AMR,Americas,SEX,2021,Both,0.24 [0.22 - 0.25],0.24,0.22,0.25
2033269,COUNTRY,PRY,AMR,Americas,SEX,2021,Both,0.2 [0.13 - 0.29],0.2,0.13,0.29
2099927,COUNTRY,NAM,AFR,Africa,SEX,2021,Both,2.4 [2 - 3.2],2.4,2.0,3.2
2125789,REGION,AMR,,,SEX,2021,Both,0.16 [0.13 - 0.2],0.16,0.13,0.2
2140406,COUNTRY,TCD,AFR,Africa,SEX,2021,Both,0.29 [0.19 - 0.42],0.29,0.19,0.42
2209110,COUNTRY,CAN,AMR,Americas,SEX,2021,Both,No data,,,
2210892,COUNTRY,NOR,EUR,Europe,SEX,2021,Both,No data,,,
2217638,COUNTRY,BIH,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2434782,COUNTRY,MHL,WPR,Western Pacific,SEX,2021,Both,No data,,,
2440311,COUNTRY,OMN,EMR,Eastern Mediterranean,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2447216,COUNTRY,CYP,EUR,Europe,SEX,2021,Both,No data,,,
2517433,COUNTRY,DMA,AMR,Americas,SEX,2021,Both,No data,,,
2586482,COUNTRY,ETH,AFR,Africa,SEX,2021,Both,0.11 [<0.1 - 0.23],0.11,0.1,0.23
2611330,COUNTRY,COG,AFR,Africa,SEX,2021,Both,1.8 [1.1 - 2.9],1.8,1.1,2.9
2645564,COUNTRY,FJI,WPR,Western Pacific,SEX,2021,Both,0.32 [0.18 - 0.63],0.32,0.18,0.63
2682538,COUNTRY,JPN,WPR,Western Pacific,SEX,2021,Both,No data,,,
2742713,COUNTRY,PRK,SEAR,South-East Asia,SEX,2021,Both,No data,,,
2832003,COUNTRY,HUN,EUR,Europe,SEX,2021,Both,No data,,,
2878050,COUNTRY,KOR,WPR,Western Pacific,SEX,2021,Both,No data,,,
2937998,COUNTRY,BRB,AMR,Americas,SEX,2021,Both,0.17 [0.11 - 0.24],0.17,0.11,0.24
2997121,COUNTRY,MYS,WPR,Western Pacific,SEX,2021,Both,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
3021817,COUNTRY,ERI,AFR,Africa,SEX,2021,Both,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
3085342,COUNTRY,LVA,EUR,Europe,SEX,2021,Both,0.19 [0.16 - 0.22],0.19,0.16,0.22
3091511,REGION,EUR,,,SEX,2021,Both,0.17 [0.15 - 0.2],0.17,0.15,0.2
3120604,COUNTRY,PLW,WPR,Western Pacific,SEX,2021,Both,No data,,,
3129062,COUNTRY,NPL,SEAR,South-East Asia,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3320969,COUNTRY,ALB,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3384068,COUNTRY,AND,EUR,Europe,SEX,2021,Both,No data,,,
3519199,COUNTRY,SLE,AFR,Africa,SEX,2021,Both,0.56 [0.38 - 0.81],0.56,0.38,0.81
3533333,COUNTRY,ARE,EMR,Eastern Mediterranean,SEX,2021,Both,No data,,,
3617601,COUNTRY,MLI,AFR,Africa,SEX,2021,Both,0.29 [0.2 - 0.42],0.29,0.2,0.42
3655343,COUNTRY,BLZ,AMR,Americas,SEX,2021,Both,0.41 [0.29 - 0.48],0.41,0.29,0.48
3677367,COUNTRY,CUB,AMR,Americas,SEX,2021,Both,0.18 [0.14 - 0.23],0.18,0.14,0.23
3753038,COUNTRY,IRN,EMR,Eastern Mediterranean,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3852993,COUNTRY,IRL,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3854151,COUNTRY,MNG,WPR,Western Pacific,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3863955,COUNTRY,GNQ,AFR,Africa,SEX,2021,Both,No data,,,
3866011,COUNTRY,BRN,WPR,Western Pacific,SEX,2021,Both,No data,,,
3926137,COUNTRY,SLB,WPR,Western Pacific,SEX,2021,Both,No data,,,
4004648,COUNTRY,PHL,WPR,Western Pacific,SEX,2021,Both,0.19 [0.16 - 0.22],0.19,0.16,0.22
4016821,REGION,WPR,,,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4042008,COUNTRY,LBN,EMR,Eastern Mediterranean,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4054277,COUNTRY,JAM,AMR,Americas,SEX,2021,Both,0.44 [0.35 - 0.54],0.44,0.35,0.54
4074909,COUNTRY,MDG,AFR,Africa,SEX,2021,Both,No data,,,
4086239,COUNTRY,SRB,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4172101,COUNTRY,FRA,EUR,Europe,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4177193,COUNTRY,TUR,EUR,Europe,SEX,2021,Both,No data,,,
4204899,COUNTRY,GNB,AFR,Africa,SEX,2021,Both,0.66 [0.44 - 1],0.66,0.44,1.0
4227272,COUNTRY,KIR,WPR,Western Pacific,SEX,2021,Both,No data,,,
4309880,COUNTRY,TKM,EUR,Europe,SEX,2021,Both,No data,,,
4310828,COUNTRY,FSM,WPR,Western Pacific,SEX,2021,Both,No data,,,
4323535,COUNTRY,SYC,AFR,Africa,SEX,2021,Both,No data,,,
4328820,COUNTRY,BEN,AFR,Africa,SEX,2021,Both,0.13 [<0.1 - 0.22],0.13,0.1,0.22
4416491,COUNTRY,DZA,AFR,Africa,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4419547,COUNTRY,BDI,AFR,Africa,SEX,2021,Both,0.14 [0.11 - 0.2],0.14,0.11,0.2
4581109,COUNTRY,CZE,EUR,Europe,SEX,2021,Both,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
4816174,COUNTRY,RWA,AFR,Africa,SEX,2021,Both,0.3 [0.21 - 0.46],0.3,0.21,0.46
4834111,COUNTRY,BHS,AMR,Americas,SEX,2021,Both,0.18 [0.13 - 0.29],0.18,0.13,0.29
4914545,COUNTRY,SEN,AFR,Africa,SEX,2021,Both,0.11 [<0.1 - 0.15],0.11,0.1,0.15
4981815,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,2021,Both,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5025343,COUNTRY,PNG,WPR,Western Pacific,SEX,2021,Both,0.59 [0.49 - 0.72],0.59,0.49,0.72
5043494,COUNTRY,GTM,AMR,Americas,SEX,2021,Both,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
5095166,COUNTRY,SSD,AFR,Africa,SEX,2021,Both,0.63 [0.45 - 0.89],0.63,0.45,0.89
5095554,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,2021,Both,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5125516,COUNTRY,ZWE,AFR,Africa,SEX,2021,Both,1.2 [0.82 - 1.7],1.2,0.82,1.7
5165321,COUNTRY,CMR,AFR,Africa,SEX,2021,Both,No data,,,
5189049,COUNTRY,TON,WPR,Western Pacific,SEX,2021,Both,No data,,,
5198498,COUNTRY,BHR,EMR,Eastern Mediterranean,SEX,2021,Both,No data,,,
