Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,YEAR,Dim1,Value,NumericValue,Low,High
21024,COUNTRY,RWA,AFR,Africa,SEX,2002,Female,3 [2.7 - 3.3],3.0,2.7,3.3
57124,COUNTRY,KOR,WPR,Western Pacific,SEX,2002,Female,No data,,,
145857,COUNTRY,ITA,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
221482,COUNTRY,CUB,AMR,Americas,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
245492,COUNTRY,ARG,AMR,Americas,SEX,2002,Female,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
301304,COUNTRY,JOR,EMR,Eastern Mediterranean,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
319068,COUNTRY,PRT,EUR,Europe,SEX,2002,Female,0.1 [<0.1 - 0.12],0.1,0.1,0.12
326728,COUNTRY,RUS,EUR,Europe,SEX,2002,Female,No data,,,
344569,COUNTRY,HRV,EUR,Europe,SEX,2002,Female,No data,,,
347773,COUNTRY,GRC,EUR,Europe,SEX,2002,Female,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
417086,COUNTRY,ARM,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
490285,COUNTRY,MUS,AFR,Africa,SEX,2002,Female,0.51 [0.42 - 0.69],0.51,0.42,0.69
502847,COUNTRY,CYP,EUR,Europe,SEX,2002,Female,No data,,,
532572,COUNTRY,BRB,AMR,Americas,SEX,2002,Female,0.4 [0.34 - 0.46],0.4,0.34,0.46
554457,COUNTRY,LBY,EMR,Eastern Mediterranean,SEX,2002,Female,No data,,,
587232,COUNTRY,CHN,WPR,Western Pacific,SEX,2002,Female,No data,,,
687335,COUNTRY,FJI,WPR,Western Pacific,SEX,2002,Female,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
705689,REGION,EUR,,,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
749868,COUNTRY,MNG,WPR,Western Pacific,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
852339,COUNTRY,TLS,SEAR,South-East Asia,SEX,2002,Female,0.1 [<0.1 - 0.14],0.1,0.1,0.14
857299,COUNTRY,TUV,WPR,Western Pacific,SEX,2002,Female,No data,,,
862415,COUNTRY,PAK,EMR,Eastern Mediterranean,SEX,2002,Female,No data,,,
864754,COUNTRY,BDI,AFR,Africa,SEX,2002,Female,0.99 [0.83 - 1.2],0.99,0.83,1.2
932454,COUNTRY,SGP,WPR,Western Pacific,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1022098,COUNTRY,PAN,AMR,Americas,SEX,2002,Female,0.21 [0.18 - 0.23],0.21,0.18,0.23
1026188,COUNTRY,NIC,AMR,Americas,SEX,2002,Female,0.11 [<0.1 - 0.15],0.11,0.1,0.15
1049940,COUNTRY,LCA,AMR,Americas,SEX,2002,Female,No data,,,
1081360,COUNTRY,BFA,AFR,Africa,SEX,2002,Female,0.84 [0.7 - 1],0.84,0.7,1.0
1182185,COUNTRY,LBR,AFR,Africa,SEX,2002,Female,1.4 [1.2 - 1.7],1.4,1.2,1.7
1238524,COUNTRY,USA,AMR,Americas,SEX,2002,Female,No data,,,
1298532,COUNTRY,ESP,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1366486,COUNTRY,MLI,AFR,Africa,SEX,2002,Female,0.96 [0.77 - 1.2],0.96,0.77,1.2
1374916,COUNTRY,KNA,AMR,Americas,SEX,2002,Female,No data,,,
1423320,COUNTRY,TKM,EUR,Europe,SEX,2002,Female,No data,,,
1449347,COUNTRY,VUT,WPR,Western Pacific,SEX,2002,Female,No data,,,
1567672,COUNTRY,UZB,EUR,Europe,SEX,2002,Female,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
1622106,COUNTRY,SEN,AFR,Africa,SEX,2002,Female,0.46 [0.38 - 0.59],0.46,0.38,0.59
1675008,COUNTRY,COL,AMR,Americas,SEX,2002,Female,0.1 [<0.1 - 0.13],0.1,0.1,0.13
1735945,COUNTRY,KGZ,EUR,Europe,SEX,2002,Female,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
1832109,COUNTRY,LAO,WPR,Western Pacific,SEX,2002,Female,0.12 [0.11 - 0.13],0.12,0.11,0.13
1908833,COUNTRY,ISL,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1940077,COUNTRY,DEU,EUR,Europe,SEX,2002,Female,No data,,,
1980840,COUNTRY,AUT,EUR,Europe,SEX,2002,Female,No data,,,
2023663,COUNTRY,ZAF,AFR,Africa,SEX,2002,Female,15 [13 - 16],15.0,13.0,16.0
2038171,COUNTRY,GMB,AFR,Africa,SEX,2002,Female,1.8 [1.4 - 2.3],1.8,1.4,2.3
2103505,COUNTRY,SWZ,AFR,Africa,SEX,2002,Female,24 [22 - 27],24.0,22.0,27.0
2108968,COUNTRY,PHL,WPR,Western Pacific,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2159938,COUNTRY,MEX,AMR,Americas,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2168387,COUNTRY,MDG,AFR,Africa,SEX,2002,Female,No data,,,
2223691,COUNTRY,NPL,SEAR,South-East Asia,SEX,2002,Female,0.11 [<0.1 - 0.13],0.11,0.1,0.13
2280663,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2306008,COUNTRY,MKD,EUR,Europe,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2332477,COUNTRY,BTN,SEAR,South-East Asia,SEX,2002,Female,0.11 [<0.1 - 0.16],0.11,0.1,0.16
2354715,COUNTRY,KEN,AFR,Africa,SEX,2002,Female,4.6 [2.5 - 7.8],4.6,2.5,7.8
2511109,COUNTRY,PRY,AMR,Americas,SEX,2002,Female,0.12 [0.1 - 0.15],0.12,0.1,0.15
2571737,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,2002,Female,0.1 [<0.1 - 0.13],0.1,0.1,0.13
2837573,COUNTRY,TON,WPR,Western Pacific,SEX,2002,Female,No data,,,
2841031,COUNTRY,VEN,AMR,Americas,SEX,2002,Female,0.21 [0.18 - 0.24],0.21,0.18,0.24
2991127,COUNTRY,TUN,EMR,Eastern Mediterranean,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3067015,COUNTRY,URY,AMR,Americas,SEX,2002,Female,0.12 [<0.1 - 0.16],0.12,0.1,0.16
3087290,COUNTRY,CIV,AFR,Africa,SEX,2002,Female,3.1 [2.7 - 3.6],3.1,2.7,3.6
3134693,COUNTRY,BWA,AFR,Africa,SEX,2002,Female,17 [15 - 19],17.0,15.0,19.0
3146565,COUNTRY,ISR,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3159087,COUNTRY,TTO,AMR,Americas,SEX,2002,Female,No data,,,
3177359,COUNTRY,SUR,AMR,Americas,SEX,2002,Female,0.95 [0.8 - 1.1],0.95,0.8,1.1
3302326,REGION,WPR,,,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3373506,COUNTRY,ARE,EMR,Eastern Mediterranean,SEX,2002,Female,No data,,,
3444718,COUNTRY,SMR,EUR,Europe,SEX,2002,Female,No data,,,
3460664,COUNTRY,SRB,EUR,Europe,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3528240,COUNTRY,MLT,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3560149,COUNTRY,NZL,WPR,Western Pacific,SEX,2002,Female,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
3568323,COUNTRY,CZE,EUR,Europe,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3777789,COUNTRY,LKA,SEAR,South-East Asia,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3809890,COUNTRY,MHL,WPR,Western Pacific,SEX,2002,Female,No data,,,
3844925,COUNTRY,GBR,EUR,Europe,SEX,2002,Female,No data,,,
3870755,COUNTRY,DOM,AMR,Americas,SEX,2002,Female,0.73 [0.61 - 0.91],0.73,0.61,0.91
3976331,COUNTRY,VNM,WPR,Western Pacific,SEX,2002,Female,0.15 [0.13 - 0.18],0.15,0.13,0.18
4015775,COUNTRY,TJK,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
4018435,COUNTRY,LSO,AFR,Africa,SEX,2002,Female,18 [16 - 20],18.0,16.0,20.0
4070194,COUNTRY,NAM,AFR,Africa,SEX,2002,Female,12 [11 - 13],12.0,11.0,13.0
4101728,COUNTRY,BLZ,AMR,Americas,SEX,2002,Female,0.83 [0.74 - 0.94],0.83,0.74,0.94
4181168,GLOBAL,GLOBAL,,,SEX,2002,Female,0.45 [0.35 - 0.59],0.45,0.35,0.59
4278123,COUNTRY,IRN,EMR,Eastern Mediterranean,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4283214,COUNTRY,NRU,WPR,Western Pacific,SEX,2002,Female,No data,,,
4302553,COUNTRY,BRN,WPR,Western Pacific,SEX,2002,Female,No data,,,
4340080,COUNTRY,GHA,AFR,Africa,SEX,2002,Female,1.6 [1.4 - 1.9],1.6,1.4,1.9
4350593,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,2002,Female,1.6 [1.1 - 2.3],1.6,1.1,2.3
4521900,REGION,EMR,,,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4611651,COUNTRY,SSD,AFR,Africa,SEX,2002,Female,1.7 [1.3 - 2.4],1.7,1.3,2.4
4654004,COUNTRY,QAT,EMR,Eastern Mediterranean,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4660180,COUNTRY,GIN,AFR,Africa,SEX,2002,Female,1.4 [1.2 - 1.6],1.4,1.2,1.6
4668578,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4810523,COUNTRY,HTI,AMR,Americas,SEX,2002,Female,1.3 [1.1 - 1.5],1.3,1.1,1.5
4834915,COUNTRY,TZA,AFR,Africa,SEX,2002,Female,3.5 [3.2 - 4],3.5,3.2,4.0
4853279,COUNTRY,COM,AFR,Africa,SEX,2002,Female,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
4865733,COUNTRY,WSM,WPR,Western Pacific,SEX,2002,Female,No data,,,
4872603,COUNTRY,DNK,EUR,Europe,SEX,2002,Female,No data,,,
5048580,COUNTRY,BIH,EUR,Europe,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5131957,COUNTRY,CHL,AMR,Americas,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5154533,COUNTRY,PNG,WPR,Western Pacific,SEX,2002,Female,0.52 [0.47 - 0.59],0.52,0.47,0.59
5155400,COUNTRY,SLB,WPR,Western Pacific,SEX,2002,Female,No data,,,
5202864,COUNTRY,CPV,AFR,Africa,SEX,2002,Female,0.42 [0.37 - 0.49],0.42,0.37,0.49
5205543,COUNTRY,SLV,AMR,Americas,SEX,2002,Female,0.2 [0.18 - 0.22],0.2,0.18,0.22
5221927,COUNTRY,BGR,EUR,Europe,SEX,2002,Female,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5231590,COUNTRY,ROU,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5258653,COUNTRY,HND,AMR,Americas,SEX,2002,Female,0.26 [0.23 - 0.31],0.26,0.23,0.31
5353473,COUNTRY,JPN,WPR,Western Pacific,SEX,2002,Female,No data,,,
5454125,COUNTRY,DZA,AFR,Africa,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5494252,COUNTRY,KAZ,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5495013,COUNTRY,UKR,EUR,Europe,SEX,2002,Female,0.43 [0.36 - 0.5],0.43,0.36,0.5
5500094,COUNTRY,JAM,AMR,Americas,SEX,2002,Female,0.72 [0.6 - 0.86],0.72,0.6,0.86
5569142,COUNTRY,TGO,AFR,Africa,SEX,2002,Female,2.3 [1.9 - 2.9],2.3,1.9,2.9
5570219,COUNTRY,MWI,AFR,Africa,SEX,2002,Female,8.4 [7.7 - 9.6],8.4,7.7,9.6
5576560,COUNTRY,COG,AFR,Africa,SEX,2002,Female,2.6 [2.2 - 3],2.6,2.2,3.0
5580642,COUNTRY,CRI,AMR,Americas,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5671980,COUNTRY,AFG,EMR,Eastern Mediterranean,SEX,2002,Female,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
5721830,COUNTRY,BOL,AMR,Americas,SEX,2002,Female,0.12 [<0.1 - 0.16],0.12,0.1,0.16
5798966,COUNTRY,GRD,AMR,Americas,SEX,2002,Female,No data,,,
5808013,COUNTRY,NLD,EUR,Europe,SEX,2002,Female,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5810802,COUNTRY,VCT,AMR,Americas,SEX,2002,Female,No data,,,
5827911,COUNTRY,TCD,AFR,Africa,SEX,2002,Female,1.3 [1 - 1.7],1.3,1.0,1.7
