Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
7814544,COUNTRY,PAK,EMR,Eastern Mediterranean,SEX,Female,2003,No data,,,
7874792,COUNTRY,NRU,WPR,Western Pacific,SEX,Female,2003,No data,,,
7886140,COUNTRY,NIC,AMR,Americas,SEX,Female,2003,No data,,,
7948088,COUNTRY,MNG,WPR,Western Pacific,SEX,Female,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
7973875,COUNTRY,TJK,EUR,Europe,SEX,Female,2003,0.1 [<0.1 - 0.11],0.1,0.1,0.11
8038897,COUNTRY,PRK,SEAR,South-East Asia,SEX,Female,2003,No data,,,
8087440,COUNTRY,TUN,EMR,Eastern Mediterranean,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8305713,COUNTRY,NGA,AFR,Africa,SEX,Female,2003,1.5 [1.4 - 1.7],1.5,1.4,1.7
8470375,COUNTRY,TUV,WPR,Western Pacific,SEX,Female,2003,0.1 [<0.1 - 0.18],0.1,0.1,0.18
8480603,COUNTRY,ALB,EUR,Europe,SEX,Female,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
8753762,COUNTRY,MLT,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
16905,COUNTRY,GNQ,AFR,Africa,SEX,Female,2003,No data,,,
86235,COUNTRY,TLS,SEAR,South-East Asia,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
120862,COUNTRY,SWE,EUR,Europe,SEX,Female,2003,No data,,,
228493,COUNTRY,KOR,WPR,Western Pacific,SEX,Female,2003,No data,,,
231977,COUNTRY,IDN,WPR,Western Pacific,SEX,Female,2003,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
340809,COUNTRY,QAT,EMR,Eastern Mediterranean,SEX,Female,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
561459,COUNTRY,MYS,WPR,Western Pacific,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
562216,COUNTRY,VCT,AMR,Americas,SEX,Female,2003,No data,,,
584573,COUNTRY,ITA,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
646959,COUNTRY,SLB,WPR,Western Pacific,SEX,Female,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
748675,COUNTRY,LAO,WPR,Western Pacific,SEX,Female,2003,0.12 [0.11 - 0.14],0.12,0.11,0.14
784076,COUNTRY,NLD,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
791396,COUNTRY,ETH,AFR,Africa,SEX,Female,2003,0.88 [0.52 - 1.7],0.88,0.52,1.7
870414,COUNTRY,URY,AMR,Americas,SEX,Female,2003,No data,,,
928321,COUNTRY,GAB,AFR,Africa,SEX,Female,2003,3.8 [3 - 4.6],3.8,3.0,4.6
991990,COUNTRY,CHE,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
997074,COUNTRY,SLE,AFR,Africa,SEX,Female,2003,1.3 [1.1 - 1.5],1.3,1.1,1.5
1035068,COUNTRY,ISR,EUR,Europe,SEX,Female,2003,No data,,,
1112321,COUNTRY,SYC,AFR,Africa,SEX,Female,2003,No data,,,
1120486,COUNTRY,DMA,AMR,Americas,SEX,Female,2003,No data,,,
1120790,COUNTRY,MCO,EUR,Europe,SEX,Female,2003,No data,,,
1172151,COUNTRY,ROU,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1193099,COUNTRY,STP,AFR,Africa,SEX,Female,2003,No data,,,
1252453,COUNTRY,ARG,AMR,Americas,SEX,Female,2003,0.1 [<0.1 - 0.11],0.1,0.1,0.11
1395072,COUNTRY,MMR,SEAR,South-East Asia,SEX,Female,2003,0.44 [0.4 - 0.5],0.44,0.4,0.5
1512548,COUNTRY,ZWE,AFR,Africa,SEX,Female,2003,11.5 [10.4 - 12.8],11.5,10.4,12.8
1684001,COUNTRY,NOR,EUR,Europe,SEX,Female,2003,No data,,,
1749617,COUNTRY,MRT,AFR,Africa,SEX,Female,2003,0.36 [0.3 - 0.43],0.36,0.3,0.43
1780904,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,Female,2003,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
1786183,COUNTRY,CHN,WPR,Western Pacific,SEX,Female,2003,No data,,,
1797212,COUNTRY,BHS,AMR,Americas,SEX,Female,2003,0.63 [0.55 - 0.7],0.63,0.55,0.7
1873405,COUNTRY,KGZ,EUR,Europe,SEX,Female,2003,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
1887792,COUNTRY,NIU,WPR,Western Pacific,SEX,Female,2003,No data,,,
1899607,COUNTRY,MWI,AFR,Africa,SEX,Female,2003,8.1 [7.6 - 9.1],8.1,7.6,9.1
1901707,COUNTRY,HRV,EUR,Europe,SEX,Female,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1930704,COUNTRY,TZA,AFR,Africa,SEX,Female,2003,3.3 [3 - 3.8],3.3,3.0,3.8
1950651,COUNTRY,SSD,AFR,Africa,SEX,Female,2003,1.8 [1.3 - 2.4],1.8,1.3,2.4
2046311,COUNTRY,DNK,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2076370,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,Female,2003,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
2123252,COUNTRY,NER,AFR,Africa,SEX,Female,2003,0.28 [0.24 - 0.32],0.28,0.24,0.32
2165226,COUNTRY,IND,SEAR,South-East Asia,SEX,Female,2003,No data,,,
2212367,COUNTRY,JAM,AMR,Americas,SEX,Female,2003,0.82 [0.74 - 0.94],0.82,0.74,0.94
2235401,COUNTRY,SAU,EMR,Eastern Mediterranean,SEX,Female,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2237257,COUNTRY,LKA,SEAR,South-East Asia,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2252320,COUNTRY,PNG,WPR,Western Pacific,SEX,Female,2003,0.92 [0.79 - 1.1],0.92,0.79,1.1
2264073,COUNTRY,AND,EUR,Europe,SEX,Female,2003,No data,,,
2289857,COUNTRY,UKR,EUR,Europe,SEX,Female,2003,No data,,,
2311414,COUNTRY,SMR,EUR,Europe,SEX,Female,2003,No data,,,
2312146,COUNTRY,DOM,AMR,Americas,SEX,Female,2003,0.74 [0.6 - 0.91],0.74,0.6,0.91
2318771,COUNTRY,BFA,AFR,Africa,SEX,Female,2003,0.66 [0.53 - 0.8],0.66,0.53,0.8
2347285,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,Female,2003,1.7 [1 - 2.4],1.7,1.0,2.4
2347744,COUNTRY,GEO,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2349866,COUNTRY,FIN,EUR,Europe,SEX,Female,2003,No data,,,
2355866,COUNTRY,CAN,AMR,Americas,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2388209,COUNTRY,LBN,EMR,Eastern Mediterranean,SEX,Female,2003,No data,,,
2407660,COUNTRY,VUT,WPR,Western Pacific,SEX,Female,2003,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
2466555,COUNTRY,MLI,AFR,Africa,SEX,Female,2003,0.88 [0.74 - 1.1],0.88,0.74,1.1
2541292,COUNTRY,BLZ,AMR,Americas,SEX,Female,2003,0.83 [0.7 - 0.94],0.83,0.7,0.94
2622864,COUNTRY,BOL,AMR,Americas,SEX,Female,2003,0.12 [<0.1 - 0.15],0.12,0.1,0.15
2624574,COUNTRY,PER,AMR,Americas,SEX,Female,2003,<0.1 [<0.1 - 0.1],0.1,0.1,0.1
2792876,COUNTRY,BEL,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2901686,COUNTRY,PRT,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
2921752,COUNTRY,VNM,WPR,Western Pacific,SEX,Female,2003,0.13 [0.12 - 0.15],0.13,0.12,0.15
2938977,COUNTRY,USA,AMR,Americas,SEX,Female,2003,No data,,,
3011774,COUNTRY,JPN,WPR,Western Pacific,SEX,Female,2003,No data,,,
3034817,COUNTRY,CIV,AFR,Africa,SEX,Female,2003,3 [2.5 - 3.5],3.0,2.5,3.5
3100053,COUNTRY,LTU,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3187535,COUNTRY,LSO,AFR,Africa,SEX,Female,2003,18.4 [16.3 - 20.9],18.4,16.3,20.9
3350024,COUNTRY,HTI,AMR,Americas,SEX,Female,2003,1.4 [1.2 - 1.6],1.4,1.2,1.6
3397494,COUNTRY,KAZ,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3415340,COUNTRY,CZE,EUR,Europe,SEX,Female,2003,No data,,,
3435804,COUNTRY,ZAF,AFR,Africa,SEX,Female,2003,14 [12.5 - 15.4],14.0,12.5,15.4
3472212,REGION,SEAR,,,SEX,Female,2003,0.17 [0.12 - 0.26],0.17,0.12,0.26
3506230,COUNTRY,GRC,EUR,Europe,SEX,Female,2003,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3551380,COUNTRY,HND,AMR,Americas,SEX,Female,2003,0.18 [0.15 - 0.22],0.18,0.15,0.22
3587885,COUNTRY,NPL,SEAR,South-East Asia,SEX,Female,2003,0.12 [0.11 - 0.13],0.12,0.11,0.13
3621354,COUNTRY,MOZ,AFR,Africa,SEX,Female,2003,9.8 [9 - 11.1],9.8,9.0,11.1
3723092,GLOBAL,GLOBAL,,,SEX,Female,2003,0.43 [0.33 - 0.57],0.43,0.33,0.57
3766707,COUNTRY,CMR,AFR,Africa,SEX,Female,2003,3.9 [3.5 - 4.4],3.9,3.5,4.4
3825121,COUNTRY,GHA,AFR,Africa,SEX,Female,2003,1.6 [1.4 - 1.9],1.6,1.4,1.9
4026535,COUNTRY,TUR,EUR,Europe,SEX,Female,2003,No data,,,
4041303,COUNTRY,ZMB,AFR,Africa,SEX,Female,2003,8.3 [7.6 - 9.2],8.3,7.6,9.2
4081344,COUNTRY,SVN,EUR,Europe,SEX,Female,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4173904,COUNTRY,SVK,EUR,Europe,SEX,Female,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4221108,COUNTRY,GNB,AFR,Africa,SEX,Female,2003,3.6 [3.1 - 4.3],3.6,3.1,4.3
4326821,COUNTRY,BGR,EUR,Europe,SEX,Female,2003,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4510109,COUNTRY,KEN,AFR,Africa,SEX,Female,2003,4.3 [2.7 - 6.7],4.3,2.7,6.7
