Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,YEAR,Dim1,Value,NumericValue,Low,High
4751109,COUNTRY,AZE,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
4874359,COUNTRY,NAM,AFR,Africa,SEX,1995,Male,10.9 [9.7 - 12.5],10.9,9.7,12.5
4916960,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4933168,COUNTRY,VNM,WPR,Western Pacific,SEX,1995,Male,0.31 [0.26 - 0.36],0.31,0.26,0.36
4977639,COUNTRY,HRV,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5041630,COUNTRY,BFA,AFR,Africa,SEX,1995,Male,1.4 [1.2 - 1.9],1.4,1.2,1.9
5047283,COUNTRY,GMB,AFR,Africa,SEX,1995,Male,1.1 [0.75 - 1.5],1.1,0.75,1.5
5057201,COUNTRY,KGZ,EUR,Europe,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5158393,COUNTRY,JOR,EMR,Eastern Mediterranean,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5204916,REGION,EMR,,,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5224880,COUNTRY,IRN,EMR,Eastern Mediterranean,SEX,1995,Male,No data,,,
5226883,COUNTRY,TON,WPR,Western Pacific,SEX,1995,Male,No data,,,
5259477,COUNTRY,BHR,EMR,Eastern Mediterranean,SEX,1995,Male,<0.1 [<0.1 - 0.13],0.1,0.1,0.13
5276528,COUNTRY,HND,AMR,Americas,SEX,1995,Male,0.78 [0.67 - 0.93],0.78,0.67,0.93
5277542,REGION,WPR,,,SEX,1995,Male,0.1 [<0.1 - 0.11],0.1,0.1,0.11
5382907,COUNTRY,LAO,WPR,Western Pacific,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5384355,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,1995,Male,3.3 [2.5 - 4.7],3.3,2.5,4.7
5425293,COUNTRY,LBN,EMR,Eastern Mediterranean,SEX,1995,Male,No data,,,
5506413,COUNTRY,SLE,AFR,Africa,SEX,1995,Male,1.3 [0.96 - 1.7],1.3,0.96,1.7
5592409,COUNTRY,TGO,AFR,Africa,SEX,1995,Male,2.8 [2.2 - 3.7],2.8,2.2,3.7
5660225,COUNTRY,UGA,AFR,Africa,SEX,1995,Male,5.4 [4.9 - 6.2],5.4,4.9,6.2
5716930,COUNTRY,SOM,EMR,Eastern Mediterranean,SEX,1995,Male,0.22 [0.16 - 0.32],0.22,0.16,0.32
5716939,COUNTRY,GIN,AFR,Africa,SEX,1995,Male,1 [0.71 - 1.4],1.0,0.71,1.4
5726964,COUNTRY,PRY,AMR,Americas,SEX,1995,Male,0.13 [0.11 - 0.16],0.13,0.11,0.16
5758583,COUNTRY,MMR,SEAR,South-East Asia,SEX,1995,Male,0.48 [0.42 - 0.54],0.48,0.42,0.54
5764178,COUNTRY,KNA,AMR,Americas,SEX,1995,Male,0.31 [0.26 - 0.38],0.31,0.26,0.38
5792217,COUNTRY,KAZ,EUR,Europe,SEX,1995,Male,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
5806659,COUNTRY,FRA,EUR,Europe,SEX,1995,Male,0.16 [0.13 - 0.21],0.16,0.13,0.21
5904105,COUNTRY,KWT,EMR,Eastern Mediterranean,SEX,1995,Male,No data,,,
5907842,COUNTRY,BTN,SEAR,South-East Asia,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6016405,COUNTRY,GUY,AMR,Americas,SEX,1995,Male,0.57 [0.37 - 1],0.57,0.37,1.0
6023881,COUNTRY,NIC,AMR,Americas,SEX,1995,Male,No data,,,
6033508,COUNTRY,AFG,EMR,Eastern Mediterranean,SEX,1995,Male,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
6074745,GLOBAL,GLOBAL,,,SEX,1995,Male,0.58 [0.47 - 0.74],0.58,0.47,0.74
6089069,COUNTRY,BHS,AMR,Americas,SEX,1995,Male,1.7 [1.4 - 2],1.7,1.4,2.0
6092952,COUNTRY,BGD,SEAR,South-East Asia,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6113131,COUNTRY,MWI,AFR,Africa,SEX,1995,Male,12 [11.1 - 13.5],12.0,11.1,13.5
6141427,COUNTRY,MDV,SEAR,South-East Asia,SEX,1995,Male,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
6223417,COUNTRY,SRB,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6230264,COUNTRY,ALB,EUR,Europe,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6346443,COUNTRY,TUR,EUR,Europe,SEX,1995,Male,No data,,,
6348625,COUNTRY,GTM,AMR,Americas,SEX,1995,Male,0.38 [0.27 - 0.52],0.38,0.27,0.52
6382661,COUNTRY,BLR,EUR,Europe,SEX,1995,Male,No data,,,
6403021,COUNTRY,NZL,WPR,Western Pacific,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6517426,COUNTRY,MLT,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6524873,COUNTRY,GAB,AFR,Africa,SEX,1995,Male,2.9 [1.9 - 4.4],2.9,1.9,4.4
6549487,COUNTRY,TZA,AFR,Africa,SEX,1995,Male,4.1 [3.6 - 4.9],4.1,3.6,4.9
6645857,COUNTRY,USA,AMR,Americas,SEX,1995,Male,No data,,,
6664639,COUNTRY,SVN,EUR,Europe,SEX,1995,Male,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
6752871,COUNTRY,MNE,EUR,Europe,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6821275,COUNTRY,CIV,AFR,Africa,SEX,1995,Male,5.5 [4.6 - 6.8],5.5,4.6,6.8
6844959,COUNTRY,SAU,EMR,Eastern Mediterranean,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6860043,COUNTRY,ERI,AFR,Africa,SEX,1995,Male,1.5 [1.1 - 2.2],1.5,1.1,2.2
6871258,COUNTRY,LBR,AFR,Africa,SEX,1995,Male,No data,,,
6919820,COUNTRY,NLD,EUR,Europe,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6941235,COUNTRY,SMR,EUR,Europe,SEX,1995,Male,No data,,,
6947351,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,1995,Male,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
6959705,COUNTRY,TUN,EMR,Eastern Mediterranean,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6970091,COUNTRY,ZMB,AFR,Africa,SEX,1995,Male,9.6 [8.6 - 11.1],9.6,8.6,11.1
7019607,COUNTRY,SLB,WPR,Western Pacific,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
7025309,COUNTRY,THA,SEAR,South-East Asia,SEX,1995,Male,1.6 [1.4 - 1.8],1.6,1.4,1.8
7067842,COUNTRY,CAN,AMR,Americas,SEX,1995,Male,0.14 [0.11 - 0.16],0.14,0.11,0.16
7092996,COUNTRY,GHA,AFR,Africa,SEX,1995,Male,1.7 [1.5 - 2.1],1.7,1.5,2.1
7106008,COUNTRY,BWA,AFR,Africa,SEX,1995,Male,22 [20 - 24.5],22.0,20.0,24.5
7207029,COUNTRY,GBR,EUR,Europe,SEX,1995,Male,No data,,,
7241979,COUNTRY,SYC,AFR,Africa,SEX,1995,Male,No data,,,
7416280,COUNTRY,BRB,AMR,Americas,SEX,1995,Male,1.2 [0.87 - 1.4],1.2,0.87,1.4
7457184,COUNTRY,NRU,WPR,Western Pacific,SEX,1995,Male,No data,,,
7488847,COUNTRY,TUV,WPR,Western Pacific,SEX,1995,Male,0.17 [<0.1 - 0.33],0.17,0.1,0.33
7523162,COUNTRY,GEO,EUR,Europe,SEX,1995,Male,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
7533376,COUNTRY,LBY,EMR,Eastern Mediterranean,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
7704242,COUNTRY,TLS,SEAR,South-East Asia,SEX,1995,Male,0.11 [<0.1 - 0.16],0.11,0.1,0.16
7738573,COUNTRY,CZE,EUR,Europe,SEX,1995,Male,No data,,,
7788860,COUNTRY,MDA,EUR,Europe,SEX,1995,Male,0.35 [0.25 - 0.48],0.35,0.25,0.48
7800625,COUNTRY,VUT,WPR,Western Pacific,SEX,1995,Male,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
7815855,COUNTRY,ZWE,AFR,Africa,SEX,1995,Male,20.9 [18.6 - 24.6],20.9,18.6,24.6
7901117,COUNTRY,AND,EUR,Europe,SEX,1995,Male,No data,,,
8048728,COUNTRY,KEN,AFR,Africa,SEX,1995,Male,6.5 [4.2 - 10.3],6.5,4.2,10.3
8089954,COUNTRY,UKR,EUR,Europe,SEX,1995,Male,No data,,,
8114215,COUNTRY,NOR,EUR,Europe,SEX,1995,Male,No data,,,
8128736,COUNTRY,SWZ,AFR,Africa,SEX,1995,Male,22 [19.2 - 25.5],22.0,19.2,25.5
8163028,COUNTRY,AUS,WPR,Western Pacific,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8228455,COUNTRY,IDN,WPR,Western Pacific,SEX,1995,Male,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
8252276,COUNTRY,MEX,AMR,Americas,SEX,1995,Male,0.21 [0.19 - 0.23],0.21,0.19,0.23
8295183,COUNTRY,ESP,EUR,Europe,SEX,1995,Male,0.3 [0.23 - 0.34],0.3,0.23,0.34
8295693,COUNTRY,MHL,WPR,Western Pacific,SEX,1995,Male,No data,,,
8335072,COUNTRY,PAK,EMR,Eastern Mediterranean,SEX,1995,Male,No data,,,
8491926,COUNTRY,TTO,AMR,Americas,SEX,1995,Male,No data,,,
8531546,COUNTRY,WSM,WPR,Western Pacific,SEX,1995,Male,No data,,,
8535250,COUNTRY,CRI,AMR,Americas,SEX,1995,Male,0.13 [0.1 - 0.14],0.13,0.1,0.14
