Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
5403723,COUNTRY,JAM,AMR,Americas,SEX,Male,2022,0.51 [0.4 - 0.67],0.51,0.4,0.67
5443424,COUNTRY,SWZ,AFR,Africa,SEX,Male,2022,3.3 [2.7 - 4.3],3.3,2.7,4.3
5452669,COUNTRY,GAB,AFR,Africa,SEX,Male,2022,0.51 [0.28 - 0.91],0.51,0.28,0.91
5482314,COUNTRY,TCD,AFR,Africa,SEX,Male,2022,0.19 [0.12 - 0.31],0.19,0.12,0.31
5496650,COUNTRY,BWA,AFR,Africa,SEX,Male,2022,1.5 [1.2 - 1.8],1.5,1.2,1.8
5505862,COUNTRY,DMA,AMR,Americas,SEX,Male,2022,No data,,,
5510280,COUNTRY,BHS,AMR,Americas,SEX,Male,2022,0.21 [0.14 - 0.3],0.21,0.14,0.3
5569698,COUNTRY,OMN,EMR,Eastern Mediterranean,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5572424,COUNTRY,COL,AMR,Americas,SEX,Male,2022,0.43 [0.26 - 0.81],0.43,0.26,0.81
5600513,COUNTRY,FJI,WPR,Western Pacific,SEX,Male,2022,1.1 [0.75 - 1.7],1.1,0.75,1.7
5861420,COUNTRY,LBN,EMR,Eastern Mediterranean,SEX,Male,2022,No data,,,
5882300,COUNTRY,PNG,WPR,Western Pacific,SEX,Male,2022,0.78 [0.66 - 0.96],0.78,0.66,0.96
5884919,COUNTRY,ERI,AFR,Africa,SEX,Male,2022,<0.1 [<0.1 - 0.13],0.1,0.1,0.13
5926141,COUNTRY,IRQ,EMR,Eastern Mediterranean,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5930864,COUNTRY,BGD,SEAR,South-East Asia,SEX,Male,2022,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
5942153,COUNTRY,QAT,EMR,Eastern Mediterranean,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5943332,COUNTRY,SWE,EUR,Europe,SEX,Male,2022,No data,,,
5979060,COUNTRY,LBR,AFR,Africa,SEX,Male,2022,No data,,,
5990436,COUNTRY,LAO,WPR,Western Pacific,SEX,Male,2022,0.24 [0.21 - 0.26],0.24,0.21,0.26
6102257,COUNTRY,BGR,EUR,Europe,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6108931,COUNTRY,NER,AFR,Africa,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6153519,COUNTRY,MLT,EUR,Europe,SEX,Male,2022,0.15 [0.12 - 0.2],0.15,0.12,0.2
73933,COUNTRY,IRN,EMR,Eastern Mediterranean,SEX,Male,2022,No data,,,
105132,COUNTRY,MYS,WPR,Western Pacific,SEX,Male,2022,0.14 [0.12 - 0.15],0.14,0.12,0.15
184609,COUNTRY,MWI,AFR,Africa,SEX,Male,2022,0.62 [0.52 - 0.8],0.62,0.52,0.8
251938,COUNTRY,LSO,AFR,Africa,SEX,Male,2022,1.9 [1.4 - 2.6],1.9,1.4,2.6
266190,COUNTRY,NPL,SEAR,South-East Asia,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
315927,COUNTRY,PRY,AMR,Americas,SEX,Male,2022,0.25 [0.2 - 0.29],0.25,0.2,0.29
327618,COUNTRY,LUX,EUR,Europe,SEX,Male,2022,0.11 [<0.1 - 0.17],0.11,0.1,0.17
373004,COUNTRY,MHL,WPR,Western Pacific,SEX,Male,2022,No data,,,
406978,COUNTRY,SOM,EMR,Eastern Mediterranean,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
464423,COUNTRY,AFG,EMR,Eastern Mediterranean,SEX,Male,2022,<0.1 [<0.1 - 0.36],0.1,0.1,0.36
508809,COUNTRY,NZL,WPR,Western Pacific,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
558373,COUNTRY,BLR,EUR,Europe,SEX,Male,2022,No data,,,
615369,COUNTRY,ZWE,AFR,Africa,SEX,Male,2022,0.88 [0.73 - 1.2],0.88,0.73,1.2
678109,COUNTRY,AND,EUR,Europe,SEX,Male,2022,No data,,,
711496,COUNTRY,NLD,EUR,Europe,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
716150,COUNTRY,RWA,AFR,Africa,SEX,Male,2022,0.17 [0.11 - 0.29],0.17,0.11,0.29
723794,COUNTRY,TON,WPR,Western Pacific,SEX,Male,2022,No data,,,
735976,COUNTRY,MRT,AFR,Africa,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
738750,COUNTRY,ARG,AMR,Americas,SEX,Male,2022,0.15 [0.11 - 0.17],0.15,0.11,0.17
856273,COUNTRY,TGO,AFR,Africa,SEX,Male,2022,0.3 [0.18 - 0.49],0.3,0.18,0.49
858667,COUNTRY,CAN,AMR,Americas,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
864561,COUNTRY,VNM,WPR,Western Pacific,SEX,Male,2022,0.13 [0.11 - 0.14],0.13,0.11,0.14
890234,COUNTRY,BRA,AMR,Americas,SEX,Male,2022,No data,,,
913121,COUNTRY,GNQ,AFR,Africa,SEX,Male,2022,No data,,,
998837,COUNTRY,SLV,AMR,Americas,SEX,Male,2022,0.2 [0.14 - 0.26],0.2,0.14,0.26
1030551,COUNTRY,NAM,AFR,Africa,SEX,Male,2022,1.1 [0.9 - 1.6],1.1,0.9,1.6
1081279,COUNTRY,TZA,AFR,Africa,SEX,Male,2022,0.7 [0.58 - 0.96],0.7,0.58,0.96
1109758,COUNTRY,TUV,WPR,Western Pacific,SEX,Male,2022,0.36 [0.21 - 0.64],0.36,0.21,0.64
1141233,COUNTRY,GNB,AFR,Africa,SEX,Male,2022,0.42 [0.28 - 0.61],0.42,0.28,0.61
1170807,COUNTRY,THA,SEAR,South-East Asia,SEX,Male,2022,0.21 [0.18 - 0.23],0.21,0.18,0.23
1219090,COUNTRY,PHL,WPR,Western Pacific,SEX,Male,2022,0.38 [0.32 - 0.44],0.38,0.32,0.44
1256197,COUNTRY,PLW,WPR,Western Pacific,SEX,Male,2022,No data,,,
1273777,COUNTRY,MKD,EUR,Europe,SEX,Male,2022,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1288483,COUNTRY,TUR,EUR,Europe,SEX,Male,2022,No data,,,
1431067,COUNTRY,VEN,AMR,Americas,SEX,Male,2022,0.35 [0.24 - 0.48],0.35,0.24,0.48
1470515,COUNTRY,FSM,WPR,Western Pacific,SEX,Male,2022,No data,,,
1485540,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,Male,2022,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
1645740,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,Male,2022,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1664257,COUNTRY,MMR,SEAR,South-East Asia,SEX,Male,2022,0.27 [0.24 - 0.3],0.27,0.24,0.3
1803175,COUNTRY,CHN,WPR,Western Pacific,SEX,Male,2022,No data,,,
