Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
6945706,COUNTRY,SWZ,AFR,Africa,2022,4100 [2300-6200],4100.0,2300.0,6200.0
7397839,COUNTRY,COK,WPR,Western Pacific,2022,0 [0-0],0.0,0.0,0.0
4977823,COUNTRY,ALB,EUR,Europe,2022,430 [340-530],430.0,340.0,530.0
272941,COUNTRY,HRV,EUR,Europe,2022,260 [210-310],260.0,210.0,310.0
5958453,COUNTRY,AUS,WPR,Western Pacific,2022,1500 [1200-1800],1500.0,1200.0,1800.0
8966605,COUNTRY,MLI,AFR,Africa,2022,12 000 [7500-23 000],12000.0,7500.0,23000.0
4156420,COUNTRY,AUT,EUR,Europe,2022,430 [350-520],430.0,350.0,520.0
683609,COUNTRY,KAZ,EUR,Europe,2022,11 000 [8700-13 000],11000.0,8700.0,13000.0
7294566,COUNTRY,DNK,EUR,Europe,2022,250 [200-300],250.0,200.0,300.0
4933899,COUNTRY,CYP,EUR,Europe,2022,120 [94-140],120.0,94.0,140.0
6256843,WORLDBANKINCOMEGROUP,WB_UMI,,,2022,2 640 000 [2 400 000-2 900 000],2640000.0,2400000.0,2900000.0
1780482,COUNTRY,CAN,AMR,Americas,2022,2200 [1800-2600],2200.0,1800.0,2600.0
2722119,COUNTRY,MLT,EUR,Europe,2022,60 [49-72],60.0,49.0,72.0
6642660,COUNTRY,ISR,EUR,Europe,2022,240 [200-290],240.0,200.0,290.0
6003071,COUNTRY,PLW,WPR,Western Pacific,2022,7 [6-8],7.0,6.0,8.0
3473577,COUNTRY,STP,AFR,Africa,2022,200 [160-240],200.0,160.0,240.0
5288399,COUNTRY,ZMB,AFR,Africa,2022,59 000 [37 000-87 000],59000.0,37000.0,87000.0
4326940,COUNTRY,VNM,WPR,Western Pacific,2022,177 000 [111 000-255 000],177000.0,111000.0,255000.0
2734891,COUNTRY,PRY,AMR,Americas,2022,4500 [3700-5500],4500.0,3700.0,5500.0
5832184,COUNTRY,ATG,AMR,Americas,2022,1 [1-1],1.0,1.0,1.0
7436424,COUNTRY,DOM,AMR,Americas,2022,5500 [4400-6600],5500.0,4400.0,6600.0
7436463,COUNTRY,PAN,AMR,Americas,2022,2100 [1700-2600],2100.0,1700.0,2600.0
7073073,COUNTRY,PSE,EMR,Eastern Mediterranean,2022,30 [25-36],30.0,25.0,36.0
3170965,COUNTRY,HTI,AMR,Americas,2022,23 000 [18 000-27 000],23000.0,18000.0,27000.0
10190331,COUNTRY,ITA,EUR,Europe,2022,2700 [2200-3300],2700.0,2200.0,3300.0
6092041,WORLDBANKINCOMEGROUP,WB_LI,,,2022,1 210 000 [942 000-1 500 000],1210000.0,942000.0,1500000.0
6161869,COUNTRY,OMN,EMR,Eastern Mediterranean,2022,530 [430-640],530.0,430.0,640.0
7060567,COUNTRY,BLR,EUR,Europe,2022,2000 [1600-2400],2000.0,1600.0,2400.0
9924313,COUNTRY,AFG,EMR,Eastern Mediterranean,2022,84 000 [48 000-163 000],84000.0,48000.0,163000.0
4612370,COUNTRY,HUN,EUR,Europe,2022,560 [450-670],560.0,450.0,670.0
3740070,COUNTRY,IRL,EUR,Europe,2022,240 [190-290],240.0,190.0,290.0
7411531,COUNTRY,NRU,WPR,Western Pacific,2022,19 [15-23],19.0,15.0,23.0
7468446,COUNTRY,JAM,AMR,Americas,2022,110 [91-130],110.0,91.0,130.0
475994,COUNTRY,MNE,EUR,Europe,2022,100 [83-130],100.0,83.0,130.0
538687,COUNTRY,VEN,AMR,Americas,2022,14 000 [11 000-16 000],14000.0,11000.0,16000.0
8663091,COUNTRY,UGA,AFR,Africa,2022,94 000 [56 000-141 000],94000.0,56000.0,141000.0
14108,COUNTRY,BTN,SEAR,South-East Asia,2022,1300 [1100-1600],1300.0,1100.0,1600.0
9550632,COUNTRY,LUX,EUR,Europe,2022,57 [46-68],57.0,46.0,68.0
6213236,COUNTRY,GHA,AFR,Africa,2022,44 000 [20 000-78 000],44000.0,20000.0,78000.0
7111843,COUNTRY,ECU,AMR,Americas,2022,8900 [7200-11 000],8900.0,7200.0,11000.0
