Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
42979,COUNTRY,KGZ,EUR,Europe,2004,850 [830-870],850.0,830.0,870.0
100332,COUNTRY,TUR,EUR,Europe,2004,550 [350-800],550.0,350.0,800.0
115146,COUNTRY,MEX,AMR,Americas,2004,2800 [2700-2900],2800.0,2700.0,2900.0
128097,COUNTRY,BRN,WPR,Western Pacific,2004,13 [12-13],13.0,12.0,13.0
172823,COUNTRY,GMB,AFR,Africa,2004,320 [200-460],320.0,200.0,460.0
255191,COUNTRY,GHA,AFR,Africa,2004,11 000 [4600-20 000],11000.0,4600.0,20000.0
268938,COUNTRY,AUS,WPR,Western Pacific,2004,62 [62-63],62.0,62.0,63.0
332522,COUNTRY,SYR,EMR,Eastern Mediterranean,2004,52 [41-63],52.0,41.0,63.0
485896,COUNTRY,BRB,AMR,Americas,2004,2 [2-2],2.0,2.0,2.0
622711,COUNTRY,FJI,WPR,Western Pacific,2004,34 [33-35],34.0,33.0,35.0
741345,COUNTRY,SLB,WPR,Western Pacific,2004,48 [31-70],48.0,31.0,70.0
894024,COUNTRY,TJK,EUR,Europe,2004,910 [840-990],910.0,840.0,990.0
895391,COUNTRY,IND,SEAR,South-East Asia,2004,624 000 [468 000-802 000],624000.0,468000.0,802000.0
985752,COUNTRY,QAT,EMR,Eastern Mediterranean,2004,3 [3-4],3.0,3.0,4.0
1047136,COUNTRY,CIV,AFR,Africa,2004,8500 [4000-15 000],8500.0,4000.0,15000.0
1130697,COUNTRY,SLV,AMR,Americas,2004,100 [90-110],100.0,90.0,110.0
1160256,COUNTRY,UKR,EUR,Europe,2004,11 000 [11 000-11 000],11000.0,11000.0,11000.0
1346955,COUNTRY,CMR,AFR,Africa,2004,9300 [4500-16 000],9300.0,4500.0,16000.0
1382802,COUNTRY,LCA,AMR,Americas,2004,6 [6-6],6.0,6.0,6.0
1498502,COUNTRY,MCO,EUR,Europe,2004,0 [0-0],0.0,0.0,0.0
1548411,COUNTRY,FIN,EUR,Europe,2004,68 [68-68],68.0,68.0,68.0
1609166,COUNTRY,MUS,AFR,Africa,2004,16 [15-17],16.0,15.0,17.0
1695289,COUNTRY,DEU,EUR,Europe,2004,440 [440-450],440.0,440.0,450.0
1697462,COUNTRY,LBN,EMR,Eastern Mediterranean,2004,37 [23-55],37.0,23.0,55.0
1750222,COUNTRY,SEN,AFR,Africa,2004,2800 [1800-4100],2800.0,1800.0,4100.0
1845572,COUNTRY,MDA,EUR,Europe,2004,720 [580-880],720.0,580.0,880.0
1871819,COUNTRY,GNQ,AFR,Africa,2004,270 [150-430],270.0,150.0,430.0
1882138,COUNTRY,POL,EUR,Europe,2004,910 [880-950],910.0,880.0,950.0
1991657,COUNTRY,MAR,EMR,Eastern Mediterranean,2004,2400 [1500-3600],2400.0,1500.0,3600.0
2052624,COUNTRY,IRL,EUR,Europe,2004,40 [40-40],40.0,40.0,40.0
2079398,COUNTRY,LUX,EUR,Europe,2004,2 [2-2],2.0,2.0,2.0
2130073,COUNTRY,ZAF,AFR,Africa,2004,34 000 [33 000-36 000],34000.0,33000.0,36000.0
2198986,COUNTRY,WSM,WPR,Western Pacific,2004,3 [2-5],3.0,2.0,5.0
2204700,COUNTRY,MMR,SEAR,South-East Asia,2004,66 000 [35 000-107 000],66000.0,35000.0,107000.0
2210354,COUNTRY,NIU,WPR,Western Pacific,2004,0 [0-0],0.0,0.0,0.0
2284326,WORLDBANKINCOMEGROUP,WB_LI,,,2004,211 000 [176 000-248 000],211000.0,176000.0,248000.0
2328416,REGION,EUR,,,2004,67 000 [64 000-69 000],67000.0,64000.0,69000.0
2449736,COUNTRY,COG,AFR,Africa,2004,1600 [960-2400],1600.0,960.0,2400.0
2588076,COUNTRY,STP,AFR,Africa,2004,44 [17-82],44.0,17.0,82.0
2620571,COUNTRY,GTM,AMR,Americas,2004,390 [360-430],390.0,360.0,430.0
2638157,COUNTRY,AGO,AFR,Africa,2004,12 000 [6800-18 000],12000.0,6800.0,18000.0
2645177,COUNTRY,MHL,WPR,Western Pacific,2004,15 [10-22],15.0,10.0,22.0
3066359,REGION,SEAR,,,2004,976 000 [808 000-1 160 000],976000.0,808000.0,1160000.0
3081222,COUNTRY,DNK,EUR,Europe,2004,40 [39-41],40.0,39.0,41.0
3122921,COUNTRY,GEO,EUR,Europe,2004,270 [260-290],270.0,260.0,290.0
3160011,COUNTRY,THA,SEAR,South-East Asia,2004,12 000 [7100-18 000],12000.0,7100.0,18000.0
3289533,COUNTRY,SWE,EUR,Europe,2004,50 [49-51],50.0,49.0,51.0
3294654,COUNTRY,BGD,SEAR,South-East Asia,2004,95 000 [60 000-137 000],95000.0,60000.0,137000.0
3451112,COUNTRY,MAC,,,2004,33 [20-48],33.0,20.0,48.0
3461129,COUNTRY,JPN,WPR,Western Pacific,2004,4300 [4300-4400],4300.0,4300.0,4400.0
3493133,REGION,AFR,,,2004,389 000 [327 000-456 000],389000.0,327000.0,456000.0
3517737,COUNTRY,BLZ,AMR,Americas,2004,8 [8-8],8.0,8.0,8.0
3543498,COUNTRY,NZL,WPR,Western Pacific,2004,30 [30-30],30.0,30.0,30.0
3576486,COUNTRY,MKD,EUR,Europe,2004,61 [59-63],61.0,59.0,63.0
3591884,COUNTRY,KEN,AFR,Africa,2004,27 000 [12 000-49 000],27000.0,12000.0,49000.0
3643115,COUNTRY,TKM,EUR,Europe,2004,900 [780-1000],900.0,780.0,1000.0
3897267,REGION,AMR,,,2004,24 000 [22 000-25 000],24000.0,22000.0,25000.0
3995506,COUNTRY,TUV,WPR,Western Pacific,2004,1 [1-2],1.0,1.0,2.0
4001984,COUNTRY,COD,AFR,Africa,2004,31 000 [17 000-49 000],31000.0,17000.0,49000.0
4145819,COUNTRY,JAM,AMR,Americas,2004,17 [17-18],17.0,17.0,18.0
4219569,COUNTRY,AND,EUR,Europe,2004,1 [0-1],1.0,0.0,1.0
4244577,COUNTRY,KWT,EMR,Eastern Mediterranean,2004,25 [25-25],25.0,25.0,25.0
4348352,COUNTRY,ATG,AMR,Americas,2004,1 [1-1],1.0,1.0,1.0
4387575,COUNTRY,FRA,EUR,Europe,2004,870 [840-900],870.0,840.0,900.0
4397029,COUNTRY,NIC,AMR,Americas,2004,220 [210-240],220.0,210.0,240.0
4397788,COUNTRY,PAN,AMR,Americas,2004,180 [170-190],180.0,170.0,190.0
4419510,COUNTRY,IRQ,EMR,Eastern Mediterranean,2004,1400 [1300-1600],1400.0,1300.0,1600.0
4509621,COUNTRY,PRT,EUR,Europe,2004,370 [350-400],370.0,350.0,400.0
4578976,COUNTRY,UZB,EUR,Europe,2004,4000 [2200-6300],4000.0,2200.0,6300.0
4604595,COUNTRY,ECU,AMR,Americas,2004,1000 [860-1200],1000.0,860.0,1200.0
4668364,COUNTRY,BEN,AFR,Africa,2004,1100 [620-1700],1100.0,620.0,1700.0
4914496,COUNTRY,LBR,AFR,Africa,2004,1300 [660-2000],1300.0,660.0,2000.0
4940380,COUNTRY,HTI,AMR,Americas,2004,1300 [910-1700],1300.0,910.0,1700.0
4974966,COUNTRY,CAF,AFR,Africa,2004,4200 [1900-7500],4200.0,1900.0,7500.0
5126169,COUNTRY,VNM,WPR,Western Pacific,2004,23 000 [13 000-34 000],23000.0,13000.0,34000.0
5131401,COUNTRY,BGR,EUR,Europe,2004,290 [270-310],290.0,270.0,310.0
5198422,COUNTRY,KHM,WPR,Western Pacific,2004,4600 [3400-6100],4600.0,3400.0,6100.0
5257141,COUNTRY,ZMB,AFR,Africa,2004,3400 [1400-6200],3400.0,1400.0,6200.0
5293498,COUNTRY,AUT,EUR,Europe,2004,45 [45-46],45.0,45.0,46.0
5357705,COUNTRY,LTU,EUR,Europe,2004,310 [300-320],310.0,300.0,320.0
5435897,COUNTRY,TZA,AFR,Africa,2004,32 000 [13 000-58 000],32000.0,13000.0,58000.0
5437189,COUNTRY,BHR,EMR,Eastern Mediterranean,2004,10 [9-12],10.0,9.0,12.0
5448666,COUNTRY,VEN,AMR,Americas,2004,740 [740-750],740.0,740.0,750.0
5511259,COUNTRY,MWI,AFR,Africa,2004,3700 [1300-7500],3700.0,1300.0,7500.0
5514852,COUNTRY,CYP,EUR,Europe,2004,4 [3-5],4.0,3.0,5.0
5544421,COUNTRY,BHS,AMR,Americas,2004,6 [6-7],6.0,6.0,7.0
5619359,COUNTRY,COK,WPR,Western Pacific,2004,0 [0-0],0.0,0.0,0.0
5640188,COUNTRY,PAK,EMR,Eastern Mediterranean,2004,57 000 [51 000-64 000],57000.0,51000.0,64000.0
5666665,COUNTRY,GRC,EUR,Europe,2004,82 [78-85],82.0,78.0,85.0
5678667,COUNTRY,LAO,WPR,Western Pacific,2004,5600 [3200-8600],5600.0,3200.0,8600.0
5861417,COUNTRY,MYS,WPR,Western Pacific,2004,1500 [840-2400],1500.0,840.0,2400.0
5921499,GLOBAL,GLOBAL,,,2004,1 710 000 [1 520 000-1 900 000],1710000.0,1520000.0,1900000.0
6080993,COUNTRY,GNB,AFR,Africa,2004,820 [410-1400],820.0,410.0,1400.0
6090134,COUNTRY,LBY,EMR,Eastern Mediterranean,2004,320 [210-450],320.0,210.0,450.0
6146689,COUNTRY,BIH,EUR,Europe,2004,210 [200-230],210.0,200.0,230.0
6148502,COUNTRY,OMN,EMR,Eastern Mediterranean,2004,16 [13-20],16.0,13.0,20.0
6218499,COUNTRY,MDV,SEAR,South-East Asia,2004,3 [2-3],3.0,2.0,3.0
6390093,COUNTRY,PRI,AMR,Americas,2004,20 [20-20],20.0,20.0,20.0
6573297,COUNTRY,AZE,EUR,Europe,2004,1000 [890-1100],1000.0,890.0,1100.0
6648612,COUNTRY,AFG,EMR,Eastern Mediterranean,2004,12 000 [7100-18 000],12000.0,7100.0,18000.0
6784169,COUNTRY,LKA,SEAR,South-East Asia,2004,1800 [1200-2600],1800.0,1200.0,2600.0
6897060,COUNTRY,DJI,EMR,Eastern Mediterranean,2004,300 [170-460],300.0,170.0,460.0
6922536,COUNTRY,ARM,EUR,Europe,2004,170 [170-180],170.0,170.0,180.0
6956077,COUNTRY,ETH,AFR,Africa,2004,52 000 [29 000-83 000],52000.0,29000.0,83000.0
6963382,COUNTRY,GUY,AMR,Americas,2004,130 [130-140],130.0,130.0,140.0
6987645,COUNTRY,RUS,EUR,Europe,2004,33 000 [32 000-34 000],33000.0,32000.0,34000.0
7063524,REGION,WPR,,,2004,152 000 [138 000-167 000],152000.0,138000.0,167000.0
7133813,COUNTRY,GRD,AMR,Americas,2004,3 [2-3],3.0,2.0,3.0
7215098,COUNTRY,NGA,AFR,Africa,2004,88 000 [49 000-139 000],88000.0,49000.0,139000.0
7344518,COUNTRY,MNG,WPR,Western Pacific,2004,450 [410-490],450.0,410.0,490.0
7363488,COUNTRY,TCD,AFR,Africa,2004,3500 [1900-5600],3500.0,1900.0,5600.0
7470926,WORLDBANKINCOMEGROUP,WB_UMI,,,2004,280 000 [264 000-296 000],280000.0,264000.0,296000.0
