Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
12775,COUNTRY,BLZ,AMR,Americas,2012,<62,
38203,COUNTRY,VEN,AMR,Americas,2012,13,13.0
127768,COUNTRY,MWI,AFR,Africa,2012,287,287.0
235526,COUNTRY,SLE,AFR,Africa,2012,55,55.0
287180,COUNTRY,BGD,SEAR,South-East Asia,2012,<1,
292519,COUNTRY,TCD,AFR,Africa,2012,116,116.0
519384,COUNTRY,DOM,AMR,Americas,2012,19,19.0
562524,COUNTRY,EGY,EMR,Eastern Mediterranean,2012,<1,
569671,COUNTRY,GAB,AFR,Africa,2012,143,143.0
759023,COUNTRY,ISL,EUR,Europe,2012,0.1,0.1
878649,COUNTRY,AUT,EUR,Europe,2012,0.5,0.5
1002192,COUNTRY,ETH,AFR,Africa,2012,51,51.0
1144080,COUNTRY,ITA,EUR,Europe,2012,1.4,1.4
1157885,COUNTRY,BWA,AFR,Africa,2012,282,282.0
1222193,COUNTRY,MLI,AFR,Africa,2012,33,33.0
1237140,COUNTRY,ECU,AMR,Americas,2012,17,17.0
1244966,COUNTRY,CIV,AFR,Africa,2012,157,157.0
1272576,COUNTRY,NER,AFR,Africa,2012,20,20.0
1321893,COUNTRY,RUS,EUR,Europe,2012,43,43.0
1391405,COUNTRY,DJI,EMR,Eastern Mediterranean,2012,<116,
1697273,COUNTRY,SWZ,AFR,Africa,2012,443,443.0
1709469,COUNTRY,IND,SEAR,South-East Asia,2012,11,11.0
1783801,COUNTRY,MUS,AFR,Africa,2012,5.5,5.5
1995958,COUNTRY,CMR,AFR,Africa,2012,159,159.0
2049639,COUNTRY,FJI,WPR,Western Pacific,2012,<11,
2263773,COUNTRY,CUB,AMR,Americas,2012,2.6,2.6
2274647,COUNTRY,SUR,AMR,Americas,2012,<37,
2336224,COUNTRY,SVK,EUR,Europe,2012,0,0.0
2449419,COUNTRY,PNG,WPR,Western Pacific,2012,<14,
2449861,COUNTRY,THA,SEAR,South-East Asia,2012,31,31.0
2451853,COUNTRY,DNK,EUR,Europe,2012,0.5,0.5
2554381,COUNTRY,AUS,WPR,Western Pacific,2012,0.2,0.2
2636390,COUNTRY,SWE,EUR,Europe,2012,0.2,0.2
2663568,COUNTRY,TGO,AFR,Africa,2012,108,108.0
2783102,COUNTRY,KEN,AFR,Africa,2012,133,133.0
2869015,COUNTRY,GUY,AMR,Americas,2012,<13,
2955789,COUNTRY,NGA,AFR,Africa,2012,142,142.0
3069100,COUNTRY,MRT,AFR,Africa,2012,<26,
3280059,COUNTRY,PHL,WPR,Western Pacific,2012,<1,
3292140,COUNTRY,GEO,EUR,Europe,2012,<5,
3332331,COUNTRY,AZE,EUR,Europe,2012,<11,
3358408,COUNTRY,ZWE,AFR,Africa,2012,288,288.0
3410806,COUNTRY,AFG,EMR,Eastern Mediterranean,2012,<2,
3420311,COUNTRY,ZMB,AFR,Africa,2012,215,215.0
3586392,COUNTRY,CRI,AMR,Americas,2012,2.9,2.9
3637473,COUNTRY,COL,AMR,Americas,2012,14,14.0
3837908,COUNTRY,MDV,SEAR,South-East Asia,2012,<30,
3889854,COUNTRY,RWA,AFR,Africa,2012,49,49.0
3953347,COUNTRY,CAN,AMR,Americas,2012,1.1,1.1
4024285,COUNTRY,ERI,AFR,Africa,2012,19,19.0
4025989,COUNTRY,LBR,AFR,Africa,2012,40,40.0
