Country,Year,Reported Cholera Cases
AFG,2003,41
BDI,2003,432
BEN,2003,434
BFA,2003,1
CAN,2003,5
CHN,2003,223
CIV,2003,1034
CMR,2003,207
COD,2003,27272
COM,2003,56
DEU,2003,1
ECU,2003,25
GAB,2003,629
GBR,2003,9
GHA,2003,204
GIN,2003,6
GNB,2003,290
GTM,2003,1
IND,2003,2893
IRN,2003,96
IRQ,2003,187
JPN,2003,16
LBR,2003,34740
MDG,2003,5
MLI,2003,1455
MOZ,2003,13758
MRT,2003,34
MWI,2003,2736
NER,2003,292
NGA,2003,1933
NLD,2003,1
RWA,2003,12
SGP,2003,1
SOM,2003,11020
SWE,2003,1
SWZ,2003,32
TCD,2003,55
TGO,2003,384
TZA,2003,710
UGA,2003,4377
USA,2003,2
ZAF,2003,3901
ZMB,2003,1049
ZWE,2003,1009
