Country,Year,Reported Cholera Deaths
AFG,1999,152
AUS,1999,0
AUT,1999,0
BDI,1999,63
BEN,1999,25
BFA,1999,7
BGD,1999,63
BLZ,1999,0
BRA,1999,83
BRN,1999,0
CHN,1999,0
CMR,1999,35
COD,1999,783
COG,1999,20
COL,1999,0
COM,1999,42
DEU,1999,0
ECU,1999,0
GHA,1999,260
GIN,1999,28
GTM,1999,0
HND,1999,3
IND,1999,6
IRN,1999,21
IRQ,1999,30
JPN,1999,0
KEN,1999,350
KHM,1999,130
LBR,1999,0
LKA,1999,5
MDG,1999,549
MLI,1999,3
MOZ,1999,1194
MWI,1999,648
MYS,1999,0
NER,1999,85
NGA,1999,2085
NIC,1999,7
NLD,1999,0
NZL,1999,0
PER,1999,6
PHL,1999,0
RUS,1999,0
RWA,1999,49
SDN,1999,0
SGP,1999,0
SLE,1999,5
SLV,1999,0
SOM,1999,693
SWZ,1999,0
TCD,1999,18
TGO,1999,31
TZA,1999,584
UGA,1999,228
UKR,1999,0
USA,1999,0
VEN,1999,8
VNM,1999,0
ZAF,1999,2
ZMB,1999,535
ZWE,1999,385
