Country,Year,Cholera Case Fatality Rate
AGO,1973,3.42
BEN,1973,66.67
BFA,1973,22.27
BGD,1973,18.74
BHR,1973,0
CMR,1973,7.77
DEU,1973,0
DZA,1973,12.23
FRA,1973,0
GBR,1973,0
GHA,1973,5.76
IDN,1973,5.88
IND,1973,12.99
ITA,1973,8.27
KHM,1973,8.81
LBR,1973,2.02
LKA,1973,11.02
MLI,1973,14.61
MMR,1973,6.22
MOZ,1973,19.21
MRT,1973,14.67
MWI,1973,5.39
MYS,1973,4.61
NER,1973,13.22
NGA,1973,17.2
NPL,1973,0
PHL,1973,15.74
SGP,1973,0
SWE,1973,0
THA,1973,3.91
TUN,1973,2.44
VNM,1973,1.2
YEM,1973,10.7
ZAF,1973,0
