Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
8437,COUNTRY,MAR,EMR,Eastern Mediterranean,2014,19 000 [17 000 - 21 000],19000.0
25054,COUNTRY,AND,EUR,Europe,2014,No data,
109874,COUNTRY,NGA,AFR,Africa,2014,1 900 000 [1 800 000 - 2 100 000],1900000.0
133350,COUNTRY,MDV,SEAR,South-East Asia,2014,No data,
153305,COUNTRY,BLR,EUR,Europe,2014,23 000 [19 000 - 28 000],23000.0
189967,COUNTRY,ROU,EUR,Europe,2014,15 000 [14 000 - 16 000],15000.0
239962,COUNTRY,BGD,SEAR,South-East Asia,2014,10 000 [9800 - 10 000],10000.0
321493,COUNTRY,SMR,EUR,Europe,2014,No data,
354578,COUNTRY,BWA,AFR,Africa,2014,350 000 [330 000 - 360 000],350000.0
372473,COUNTRY,COM,AFR,Africa,2014,<200 [<100 - <500],200.0
434686,COUNTRY,TLS,SEAR,South-East Asia,2014,1200 [1100 - 1400],1200.0
557790,COUNTRY,TTO,AMR,Americas,2014,No data,
567381,COUNTRY,KAZ,EUR,Europe,2014,25 000 [22 000 - 28 000],25000.0
570578,COUNTRY,DJI,EMR,Eastern Mediterranean,2014,11 000 [8200 - 15 000],11000.0
644115,COUNTRY,MLI,AFR,Africa,2014,120 000 [100 000 - 140 000],120000.0
647698,COUNTRY,BEN,AFR,Africa,2014,72 000 [61 000 - 84 000],72000.0
674606,COUNTRY,RWA,AFR,Africa,2014,240 000 [220 000 - 260 000],240000.0
716902,COUNTRY,SOM,EMR,Eastern Mediterranean,2014,12 000 [11 000 - 15 000],12000.0
733430,COUNTRY,CRI,AMR,Americas,2014,12 000 [11 000 - 13 000],12000.0
756017,COUNTRY,HND,AMR,Americas,2014,22 000 [21 000 - 24 000],22000.0
766493,COUNTRY,ESP,EUR,Europe,2014,140 000 [120 000 - 150 000],140000.0
795537,COUNTRY,NIU,WPR,Western Pacific,2014,No data,
814484,COUNTRY,MDA,EUR,Europe,2014,16 000 [13 000 - 19 000],16000.0
827844,COUNTRY,ARG,AMR,Americas,2014,110 000 [100 000 - 120 000],110000.0
863508,COUNTRY,CPV,AFR,Africa,2014,2600 [2400 - 3100],2600.0
878110,COUNTRY,SWZ,AFR,Africa,2014,230 000 [210 000 - 240 000],230000.0
903874,COUNTRY,MKD,EUR,Europe,2014,<500 [<500 - <500],500.0
