Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
6626747,COUNTRY,MLI,AFR,Africa,2015,7800 [5800 - 10 000],7800.0,5800.0,10000.0
5679156,COUNTRY,VCT,AMR,Americas,2015,No data,,,
2368806,COUNTRY,DEU,EUR,Europe,2015,2500 [1700 - 3000],2500.0,1700.0,3000.0
4838552,COUNTRY,MHL,WPR,Western Pacific,2015,No data,,,
2883036,COUNTRY,EST,EUR,Europe,2015,<200 [<200 - <500],200.0,200.0,500.0
6633461,COUNTRY,DOM,AMR,Americas,2015,3900 [2200 - 5200],3900.0,2200.0,5200.0
6520116,COUNTRY,MLT,EUR,Europe,2015,<100 [<100 - <100],100.0,100.0,100.0
5332312,COUNTRY,ECU,AMR,Americas,2015,2400 [2000 - 2800],2400.0,2000.0,2800.0
6260445,COUNTRY,DZA,AFR,Africa,2015,1400 [1200 - 1500],1400.0,1200.0,1500.0
365380,COUNTRY,KIR,WPR,Western Pacific,2015,No data,,,
7354488,COUNTRY,NGA,AFR,Africa,2015,110 000 [97 000 - 140 000],110000.0,97000.0,140000.0
4871958,COUNTRY,TGO,AFR,Africa,2015,4700 [3500 - 6800],4700.0,3500.0,6800.0
5125520,COUNTRY,CRI,AMR,Americas,2015,1000 [800 - 1200],1000.0,800.0,1200.0
6500203,COUNTRY,GTM,AMR,Americas,2015,1200 [1000 - 1400],1200.0,1000.0,1400.0
8843486,COUNTRY,SOM,EMR,Eastern Mediterranean,2015,No data,,,
1627961,COUNTRY,MYS,WPR,Western Pacific,2015,4700 [4300 - 5200],4700.0,4300.0,5200.0
2429329,COUNTRY,SUR,AMR,Americas,2015,<500 [<500 - <500],500.0,500.0,500.0
1434252,REGION,EMR,,,2015,35 000 [27 000 - 49 000],35000.0,27000.0,49000.0
5178991,COUNTRY,GEO,EUR,Europe,2015,620 [550 - 690],620.0,550.0,690.0
5339204,COUNTRY,TON,WPR,Western Pacific,2015,No data,,,
532987,COUNTRY,CYP,EUR,Europe,2015,No data,,,
1782058,COUNTRY,MDG,AFR,Africa,2015,No data,,,
1922166,COUNTRY,MWI,AFR,Africa,2015,39 000 [34 000 - 47 000],39000.0,34000.0,47000.0
2376038,COUNTRY,MOZ,AFR,Africa,2015,140 000 [130 000 - 160 000],140000.0,130000.0,160000.0
2396332,COUNTRY,KAZ,EUR,Europe,2015,2800 [2400 - 3300],2800.0,2400.0,3300.0
2549931,COUNTRY,MNG,WPR,Western Pacific,2015,<100 [<100 - <100],100.0,100.0,100.0
3570652,COUNTRY,ZMB,AFR,Africa,2015,69 000 [62 000 - 77 000],69000.0,62000.0,77000.0
3764840,GLOBAL,GLOBAL,,,2015,1 800 000 [1 500 000 - 2 300 000],1800000.0,1500000.0,2300000.0
4084878,COUNTRY,BLZ,AMR,Americas,2015,<200 [<200 - <200],200.0,200.0,200.0
