Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
40204,COUNTRY,CZE,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
76510,COUNTRY,BIH,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
83897,COUNTRY,STP,AFR,Africa,SEX,Female,1990,2.5 [1.4 - 4],2.5,1.4,4.0
163879,COUNTRY,MWI,AFR,Africa,SEX,Female,1990,13 [11 - 14],13.0,11.0,14.0
248502,COUNTRY,SYC,AFR,Africa,SEX,Female,1990,No data,,,
252888,COUNTRY,COL,AMR,Americas,SEX,Female,1990,0.13 [<0.1 - 0.19],0.13,0.1,0.19
282208,COUNTRY,DEU,EUR,Europe,SEX,Female,1990,No data,,,
295791,COUNTRY,HND,AMR,Americas,SEX,Female,1990,0.67 [0.48 - 0.93],0.67,0.48,0.93
299715,COUNTRY,NOR,EUR,Europe,SEX,Female,1990,No data,,,
304895,COUNTRY,AND,EUR,Europe,SEX,Female,1990,No data,,,
340156,COUNTRY,VUT,WPR,Western Pacific,SEX,Female,1990,No data,,,
422810,COUNTRY,COM,AFR,Africa,SEX,Female,1990,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
486766,COUNTRY,NRU,WPR,Western Pacific,SEX,Female,1990,No data,,,
506535,REGION,EMR,,,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
538142,COUNTRY,KEN,AFR,Africa,SEX,Female,1990,11 [6.2 - 19],11.0,6.2,19.0
546419,COUNTRY,URY,AMR,Americas,SEX,Female,1990,<0.1 [<0.1 - 0.22],0.1,0.1,0.22
548130,COUNTRY,GAB,AFR,Africa,SEX,Female,1990,2.6 [1.5 - 4.6],2.6,1.5,4.6
553156,COUNTRY,PNG,WPR,Western Pacific,SEX,Female,1990,<0.1 [<0.1 - 0.12],0.1,0.1,0.12
560886,COUNTRY,LUX,EUR,Europe,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
641648,COUNTRY,PAN,AMR,Americas,SEX,Female,1990,0.18 [0.16 - 0.23],0.18,0.16,0.23
701070,COUNTRY,MNE,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
708761,COUNTRY,QAT,EMR,Eastern Mediterranean,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
751898,COUNTRY,TKM,EUR,Europe,SEX,Female,1990,No data,,,
876219,COUNTRY,NPL,SEAR,South-East Asia,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
927416,COUNTRY,POL,EUR,Europe,SEX,Female,1990,No data,,,
936022,COUNTRY,LSO,AFR,Africa,SEX,Female,1990,5.9 [4.7 - 7.5],5.9,4.7,7.5
944853,COUNTRY,MYS,WPR,Western Pacific,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
954827,COUNTRY,MEX,AMR,Americas,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
965814,COUNTRY,KWT,EMR,Eastern Mediterranean,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1069792,COUNTRY,GNQ,AFR,Africa,SEX,Female,1990,No data,,,
1092238,COUNTRY,MKD,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1095198,COUNTRY,FJI,WPR,Western Pacific,SEX,Female,1990,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
1148594,COUNTRY,BLR,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1240054,COUNTRY,ROU,EUR,Europe,SEX,Female,1990,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
1264723,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,Female,1990,1.4 [0.82 - 2.1],1.4,0.82,2.1
1272109,COUNTRY,BRN,WPR,Western Pacific,SEX,Female,1990,No data,,,
1403809,COUNTRY,BEL,EUR,Europe,SEX,Female,1990,No data,,,
1589706,COUNTRY,VEN,AMR,Americas,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1596072,COUNTRY,THA,SEAR,South-East Asia,SEX,Female,1990,0.95 [0.79 - 1.1],0.95,0.79,1.1
1619127,COUNTRY,CIV,AFR,Africa,SEX,Female,1990,8.1 [5.8 - 11],8.1,5.8,11.0
1699725,COUNTRY,ARE,EMR,Eastern Mediterranean,SEX,Female,1990,No data,,,
1782901,COUNTRY,ISR,EUR,Europe,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1933405,COUNTRY,LVA,EUR,Europe,SEX,Female,1990,<0.1 [<0.01 - 0.15],0.1,0.01,0.15
1949765,COUNTRY,RUS,EUR,Europe,SEX,Female,1990,No data,,,
2036585,COUNTRY,ECU,AMR,Americas,SEX,Female,1990,<0.1 [<0.1 - 0.16],0.1,0.1,0.16
2057420,COUNTRY,KIR,WPR,Western Pacific,SEX,Female,1990,No data,,,
2058922,COUNTRY,GRD,AMR,Americas,SEX,Female,1990,No data,,,
2130299,COUNTRY,BRB,AMR,Americas,SEX,Female,1990,0.27 [<0.01 - 0.54],0.27,0.01,0.54
2260953,REGION,AMR,,,SEX,Female,1990,0.13 [0.1 - 0.16],0.13,0.1,0.16
2300513,COUNTRY,PRT,EUR,Europe,SEX,Female,1990,0.19 [0.16 - 0.21],0.19,0.16,0.21
2321926,COUNTRY,COG,AFR,Africa,SEX,Female,1990,5.2 [4.1 - 6.6],5.2,4.1,6.6
2383637,COUNTRY,FSM,WPR,Western Pacific,SEX,Female,1990,No data,,,
2420725,COUNTRY,BRA,AMR,Americas,SEX,Female,1990,0.14 [0.13 - 0.16],0.14,0.13,0.16
2531430,COUNTRY,SUR,AMR,Americas,SEX,Female,1990,0.41 [0.28 - 1.3],0.41,0.28,1.3
2532054,COUNTRY,GHA,AFR,Africa,SEX,Female,1990,2.1 [1.4 - 2.9],2.1,1.4,2.9
2550841,COUNTRY,MDG,AFR,Africa,SEX,Female,1990,No data,,,
2565285,COUNTRY,SAU,EMR,Eastern Mediterranean,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2666275,COUNTRY,DOM,AMR,Americas,SEX,Female,1990,1.1 [0.79 - 1.9],1.1,0.79,1.9
2750812,COUNTRY,PAK,EMR,Eastern Mediterranean,SEX,Female,1990,No data,,,
2826189,COUNTRY,BFA,AFR,Africa,SEX,Female,1990,2.5 [1.6 - 3.4],2.5,1.6,3.4
2837610,COUNTRY,TZA,AFR,Africa,SEX,Female,1990,6.7 [5.8 - 7.8],6.7,5.8,7.8
2921724,COUNTRY,AFG,EMR,Eastern Mediterranean,SEX,Female,1990,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
2923860,COUNTRY,MUS,AFR,Africa,SEX,Female,1990,<0.1 [<0.01 - 0.48],0.1,0.01,0.48
2924221,COUNTRY,ZAF,AFR,Africa,SEX,Female,1990,3.8 [3.4 - 4.3],3.8,3.4,4.3
2941428,COUNTRY,CMR,AFR,Africa,SEX,Female,1990,No data,,,
3050773,COUNTRY,SEN,AFR,Africa,SEX,Female,1990,0.2 [0.15 - 0.27],0.2,0.15,0.27
3053716,COUNTRY,CHE,EUR,Europe,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3096431,COUNTRY,SLB,WPR,Western Pacific,SEX,Female,1990,No data,,,
3113406,COUNTRY,VNM,WPR,Western Pacific,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3271732,COUNTRY,COD,AFR,Africa,SEX,Female,1990,1.8 [1.4 - 2.5],1.8,1.4,2.5
3327436,COUNTRY,JOR,EMR,Eastern Mediterranean,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3377292,REGION,EUR,,,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3424572,COUNTRY,CUB,AMR,Americas,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3440419,COUNTRY,SWZ,AFR,Africa,SEX,Female,1990,3 [2.4 - 3.9],3.0,2.4,3.9
3456022,COUNTRY,KAZ,EUR,Europe,SEX,Female,1990,No data,,,
3478295,COUNTRY,PRK,SEAR,South-East Asia,SEX,Female,1990,No data,,,
3540399,REGION,AFR,,,SEX,Female,1990,3.9 [2.8 - 5.1],3.9,2.8,5.1
3560055,COUNTRY,MHL,WPR,Western Pacific,SEX,Female,1990,No data,,,
3606818,COUNTRY,KNA,AMR,Americas,SEX,Female,1990,No data,,,
3685727,COUNTRY,NZL,WPR,Western Pacific,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3742013,COUNTRY,MDV,SEAR,South-East Asia,SEX,Female,1990,No data,,,
3835897,COUNTRY,BHR,EMR,Eastern Mediterranean,SEX,Female,1990,No data,,,
3849015,COUNTRY,HRV,EUR,Europe,SEX,Female,1990,No data,,,
3868396,COUNTRY,BLZ,AMR,Americas,SEX,Female,1990,0.23 [0.17 - 0.29],0.23,0.17,0.29
3889586,COUNTRY,TUN,EMR,Eastern Mediterranean,SEX,Female,1990,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
3925238,COUNTRY,SRB,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
3933045,COUNTRY,CRI,AMR,Americas,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3944164,COUNTRY,LAO,WPR,Western Pacific,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3983676,COUNTRY,TUV,WPR,Western Pacific,SEX,Female,1990,No data,,,
3999353,COUNTRY,NAM,AFR,Africa,SEX,Female,1990,4.9 [4.1 - 5.7],4.9,4.1,5.7
4047740,COUNTRY,ZWE,AFR,Africa,SEX,Female,1990,28 [19 - 40],28.0,19.0,40.0
4057799,COUNTRY,BHS,AMR,Americas,SEX,Female,1990,1.4 [1.2 - 1.8],1.4,1.2,1.8
4181065,COUNTRY,HUN,EUR,Europe,SEX,Female,1990,No data,,,
4222406,COUNTRY,LKA,SEAR,South-East Asia,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4311667,COUNTRY,VCT,AMR,Americas,SEX,Female,1990,No data,,,
4434459,COUNTRY,ETH,AFR,Africa,SEX,Female,1990,3.7 [1.6 - 8],3.7,1.6,8.0
4484611,COUNTRY,CHL,AMR,Americas,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4534350,COUNTRY,CPV,AFR,Africa,SEX,Female,1990,0.39 [0.24 - 0.66],0.39,0.24,0.66
4604397,COUNTRY,ISL,EUR,Europe,SEX,Female,1990,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
4689372,COUNTRY,MLI,AFR,Africa,SEX,Female,1990,1.6 [0.89 - 2.6],1.6,0.89,2.6
4783148,COUNTRY,UZB,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
4794220,COUNTRY,SLE,AFR,Africa,SEX,Female,1990,0.87 [0.46 - 1.3],0.87,0.46,1.3
4883421,COUNTRY,NER,AFR,Africa,SEX,Female,1990,0.38 [0.3 - 0.49],0.38,0.3,0.49
4969619,COUNTRY,LCA,AMR,Americas,SEX,Female,1990,No data,,,
4978411,COUNTRY,GIN,AFR,Africa,SEX,Female,1990,0.59 [0.34 - 1],0.59,0.34,1.0
4996944,COUNTRY,EST,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5054653,COUNTRY,ARM,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5144202,COUNTRY,DMA,AMR,Americas,SEX,Female,1990,No data,,,
5229512,COUNTRY,DNK,EUR,Europe,SEX,Female,1990,No data,,,
5241032,COUNTRY,GNB,AFR,Africa,SEX,Female,1990,0.7 [0.45 - 0.96],0.7,0.45,0.96
5319301,COUNTRY,TJK,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5352720,COUNTRY,SOM,EMR,Eastern Mediterranean,SEX,Female,1990,0.45 [0.29 - 0.71],0.45,0.29,0.71
5389588,COUNTRY,USA,AMR,Americas,SEX,Female,1990,No data,,,
5412156,COUNTRY,AGO,AFR,Africa,SEX,Female,1990,1 [0.63 - 1.3],1.0,0.63,1.3
5427735,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5433664,COUNTRY,TCD,AFR,Africa,SEX,Female,1990,1.8 [1.1 - 3],1.8,1.1,3.0
5443863,COUNTRY,SGP,WPR,Western Pacific,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5515294,COUNTRY,LBR,AFR,Africa,SEX,Female,1990,4.1 [2.1 - 6.4],4.1,2.1,6.4
5644005,COUNTRY,MOZ,AFR,Africa,SEX,Female,1990,3 [2.4 - 3.8],3.0,2.4,3.8
5692496,COUNTRY,UKR,EUR,Europe,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5716426,COUNTRY,RWA,AFR,Africa,SEX,Female,1990,5 [3.5 - 6.7],5.0,3.5,6.7
5755695,COUNTRY,PRY,AMR,Americas,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5837070,COUNTRY,SMR,EUR,Europe,SEX,Female,1990,No data,,,
5899687,COUNTRY,FRA,EUR,Europe,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
5940092,COUNTRY,AZE,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
5947395,COUNTRY,IND,SEAR,South-East Asia,SEX,Female,1990,No data,,,
5958340,COUNTRY,CHN,WPR,Western Pacific,SEX,Female,1990,No data,,,
5970600,COUNTRY,SVK,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
5976735,COUNTRY,SLV,AMR,Americas,SEX,Female,1990,0.11 [<0.1 - 0.13],0.11,0.1,0.13
6035338,COUNTRY,MMR,SEAR,South-East Asia,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
6149855,COUNTRY,GBR,EUR,Europe,SEX,Female,1990,No data,,,
6171366,COUNTRY,TUR,EUR,Europe,SEX,Female,1990,No data,,,
6290032,COUNTRY,GRC,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
6363243,REGION,SEAR,,,SEX,Female,1990,0.22 [0.16 - 0.31],0.22,0.16,0.31
6403083,COUNTRY,BWA,AFR,Africa,SEX,Female,1990,17 [15 - 19],17.0,15.0,19.0
6458621,COUNTRY,MRT,AFR,Africa,SEX,Female,1990,0.33 [0.19 - 0.52],0.33,0.19,0.52
6551591,COUNTRY,DZA,AFR,Africa,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6566232,COUNTRY,UGA,AFR,Africa,SEX,Female,1990,8 [7.1 - 9.1],8.0,7.1,9.1
6575258,COUNTRY,GEO,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6623666,COUNTRY,NGA,AFR,Africa,SEX,Female,1990,1.4 [1.2 - 1.7],1.4,1.2,1.7
6645964,COUNTRY,IDN,SEAR,South-East Asia,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6673591,COUNTRY,CAF,AFR,Africa,SEX,Female,1990,No data,,,
6683198,COUNTRY,PER,AMR,Americas,SEX,Female,1990,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
6686822,COUNTRY,TTO,AMR,Americas,SEX,Female,1990,No data,,,
6771652,COUNTRY,SYR,EMR,Eastern Mediterranean,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6827184,COUNTRY,AUT,EUR,Europe,SEX,Female,1990,No data,,,
6843663,COUNTRY,ARG,AMR,Americas,SEX,Female,1990,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
6915550,COUNTRY,KGZ,EUR,Europe,SEX,Female,1990,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
6975295,COUNTRY,COK,WPR,Western Pacific,SEX,Female,1990,No data,,,
7072977,COUNTRY,KOR,WPR,Western Pacific,SEX,Female,1990,No data,,,
7105484,COUNTRY,JAM,AMR,Americas,SEX,Female,1990,0.51 [0.27 - 1],0.51,0.27,1.0
7163301,COUNTRY,TLS,SEAR,South-East Asia,SEX,Female,1990,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
