Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
76905,COUNTRY,COG,AFR,Africa,SEX,Male,1992,3 [2.4 - 3.8],3.0,2.4,3.8
105164,COUNTRY,BTN,SEAR,South-East Asia,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
156711,COUNTRY,DEU,EUR,Europe,SEX,Male,1992,No data,,,
186589,COUNTRY,CPV,AFR,Africa,SEX,Male,1992,0.48 [0.34 - 0.72],0.48,0.34,0.72
204809,COUNTRY,BHR,EMR,Eastern Mediterranean,SEX,Male,1992,No data,,,
266029,COUNTRY,UGA,AFR,Africa,SEX,Male,1992,5.8 [5.2 - 6.9],5.8,5.2,6.9
396336,COUNTRY,KEN,AFR,Africa,SEX,Male,1992,9 [5.2 - 15],9.0,5.2,15.0
452172,COUNTRY,JAM,AMR,Americas,SEX,Male,1992,1.1 [0.71 - 2.1],1.1,0.71,2.1
469764,COUNTRY,CIV,AFR,Africa,SEX,Male,1992,6.6 [5.3 - 8.5],6.6,5.3,8.5
569521,COUNTRY,IRL,EUR,Europe,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
609590,COUNTRY,SGP,WPR,Western Pacific,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
609845,COUNTRY,ALB,EUR,Europe,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
613009,COUNTRY,BDI,AFR,Africa,SEX,Male,1992,3.6 [2.7 - 4.6],3.6,2.7,4.6
646844,COUNTRY,NRU,WPR,Western Pacific,SEX,Male,1992,No data,,,
687540,COUNTRY,CAF,AFR,Africa,SEX,Male,1992,No data,,,
728735,COUNTRY,GNB,AFR,Africa,SEX,Male,1992,0.93 [0.63 - 1.3],0.93,0.63,1.3
801077,COUNTRY,ISL,EUR,Europe,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
830995,COUNTRY,NZL,WPR,Western Pacific,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
887550,COUNTRY,GUY,AMR,Americas,SEX,Male,1992,0.45 [0.27 - 0.99],0.45,0.27,0.99
894154,COUNTRY,VUT,WPR,Western Pacific,SEX,Male,1992,No data,,,
989605,COUNTRY,FRA,EUR,Europe,SEX,Male,1992,0.12 [<0.1 - 0.15],0.12,0.1,0.15
1120744,COUNTRY,NLD,EUR,Europe,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1127955,COUNTRY,IND,SEAR,South-East Asia,SEX,Male,1992,No data,,,
1130683,COUNTRY,LAO,WPR,Western Pacific,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1144155,COUNTRY,BRA,AMR,Americas,SEX,Male,1992,0.28 [0.26 - 0.3],0.28,0.26,0.3
1154121,COUNTRY,MNG,WPR,Western Pacific,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1198721,COUNTRY,NPL,SEAR,South-East Asia,SEX,Male,1992,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
1221427,COUNTRY,DZA,AFR,Africa,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1244487,COUNTRY,MOZ,AFR,Africa,SEX,Male,1992,3.6 [2.9 - 4.5],3.6,2.9,4.5
1294497,COUNTRY,GHA,AFR,Africa,SEX,Male,1992,2 [1.5 - 2.6],2.0,1.5,2.6
1319688,COUNTRY,NGA,AFR,Africa,SEX,Male,1992,1.4 [1.1 - 1.7],1.4,1.1,1.7
1496605,COUNTRY,ZAF,AFR,Africa,SEX,Male,1992,6.7 [5.8 - 7.9],6.7,5.8,7.9
1501331,COUNTRY,VCT,AMR,Americas,SEX,Male,1992,No data,,,
1513800,COUNTRY,ITA,EUR,Europe,SEX,Male,1992,0.21 [0.16 - 0.25],0.21,0.16,0.25
1540491,COUNTRY,BGD,SEAR,South-East Asia,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1614967,COUNTRY,TJK,EUR,Europe,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1709734,COUNTRY,MNE,EUR,Europe,SEX,Male,1992,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
1760726,COUNTRY,ZMB,AFR,Africa,SEX,Male,1992,12 [10 - 14],12.0,10.0,14.0
1775096,REGION,WPR,,,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1804679,COUNTRY,AUT,EUR,Europe,SEX,Male,1992,No data,,,
1821397,REGION,AMR,,,SEX,Male,1992,0.3 [0.24 - 0.37],0.3,0.24,0.37
1906158,COUNTRY,LUX,EUR,Europe,SEX,Male,1992,0.11 [<0.1 - 0.14],0.11,0.1,0.14
1920550,COUNTRY,SMR,EUR,Europe,SEX,Male,1992,No data,,,
1931272,COUNTRY,URY,AMR,Americas,SEX,Male,1992,0.17 [<0.1 - 0.44],0.17,0.1,0.44
1970048,COUNTRY,SSD,AFR,Africa,SEX,Male,1992,1.4 [0.76 - 2.1],1.4,0.76,2.1
2248894,COUNTRY,KIR,WPR,Western Pacific,SEX,Male,1992,No data,,,
2255180,COUNTRY,CZE,EUR,Europe,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2309713,COUNTRY,MKD,EUR,Europe,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2388769,COUNTRY,DOM,AMR,Americas,SEX,Male,1992,1.2 [0.86 - 1.7],1.2,0.86,1.7
2518429,COUNTRY,CHN,WPR,Western Pacific,SEX,Male,1992,No data,,,
2559223,COUNTRY,ERI,AFR,Africa,SEX,Male,1992,1.8 [1.2 - 2.7],1.8,1.2,2.7
2770883,COUNTRY,TON,WPR,Western Pacific,SEX,Male,1992,No data,,,
2834907,COUNTRY,CHE,EUR,Europe,SEX,Male,1992,0.18 [0.15 - 0.22],0.18,0.15,0.22
2903769,REGION,SEAR,,,SEX,Male,1992,0.59 [0.44 - 0.79],0.59,0.44,0.79
2968946,COUNTRY,ARM,EUR,Europe,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
2983930,COUNTRY,ROU,EUR,Europe,SEX,Male,1992,0.12 [0.1 - 0.14],0.12,0.1,0.14
3072408,COUNTRY,MUS,AFR,Africa,SEX,Male,1992,<0.1 [<0.1 - 0.19],0.1,0.1,0.19
3095543,COUNTRY,USA,AMR,Americas,SEX,Male,1992,No data,,,
3106707,COUNTRY,TUR,EUR,Europe,SEX,Male,1992,No data,,,
3116437,COUNTRY,NOR,EUR,Europe,SEX,Male,1992,No data,,,
3241920,COUNTRY,YEM,EMR,Eastern Mediterranean,SEX,Male,1992,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
3322687,COUNTRY,NER,AFR,Africa,SEX,Male,1992,0.62 [0.51 - 0.78],0.62,0.51,0.78
3420088,COUNTRY,MEX,AMR,Americas,SEX,Male,1992,0.19 [0.16 - 0.23],0.19,0.16,0.23
3461452,COUNTRY,IRQ,EMR,Eastern Mediterranean,SEX,Male,1992,No data,,,
3470567,COUNTRY,DJI,EMR,Eastern Mediterranean,SEX,Male,1992,3 [2 - 4.4],3.0,2.0,4.4
3535071,COUNTRY,KOR,WPR,Western Pacific,SEX,Male,1992,No data,,,
3626029,COUNTRY,GTM,AMR,Americas,SEX,Male,1992,0.37 [0.34 - 0.42],0.37,0.34,0.42
3631668,COUNTRY,IDN,SEAR,South-East Asia,SEX,Male,1992,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
3642066,COUNTRY,MAR,EMR,Eastern Mediterranean,SEX,Male,1992,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3702844,COUNTRY,COM,AFR,Africa,SEX,Male,1992,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
3709090,COUNTRY,MRT,AFR,Africa,SEX,Male,1992,0.41 [0.28 - 0.54],0.41,0.28,0.54
