Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,Dim1Type,Dim1,YEAR,Value,NumericValue,Low,High
186933,COUNTRY,GRC,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
241864,COUNTRY,THA,SEAR,South-East Asia,SEX,Both,2007,0.34 [0.3 - 0.37],0.34,0.3,0.37
276075,COUNTRY,VNM,WPR,Western Pacific,SEX,Both,2007,0.2 [0.18 - 0.22],0.2,0.18,0.22
329495,COUNTRY,BRA,AMR,Americas,SEX,Both,2007,0.25 [0.23 - 0.27],0.25,0.23,0.27
377430,COUNTRY,DEU,EUR,Europe,SEX,Both,2007,No data,,,
384900,COUNTRY,UGA,AFR,Africa,SEX,Both,2007,3.9 [3.5 - 4.3],3.9,3.5,4.3
394880,REGION,EUR,,,SEX,Both,2007,0.15 [0.12 - 0.17],0.15,0.12,0.17
436840,COUNTRY,CHE,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
465410,COUNTRY,LAO,WPR,Western Pacific,SEX,Both,2007,0.17 [0.15 - 0.19],0.17,0.15,0.19
476430,COUNTRY,ATG,AMR,Americas,SEX,Both,2007,No data,,,
502691,COUNTRY,CAF,AFR,Africa,SEX,Both,2007,No data,,,
516368,COUNTRY,PNG,WPR,Western Pacific,SEX,Both,2007,0.41 [0.37 - 0.47],0.41,0.37,0.47
554324,COUNTRY,BHR,EMR,Eastern Mediterranean,SEX,Both,2007,No data,,,
573848,COUNTRY,NAM,AFR,Africa,SEX,Both,2007,7 [6.3 - 8],7.0,6.3,8.0
575816,COUNTRY,BLZ,AMR,Americas,SEX,Both,2007,0.78 [0.7 - 0.87],0.78,0.7,0.87
587691,COUNTRY,KGZ,EUR,Europe,SEX,Both,2007,0.11 [<0.1 - 0.12],0.11,0.1,0.12
595315,COUNTRY,TON,WPR,Western Pacific,SEX,Both,2007,No data,,,
633680,COUNTRY,ZWE,AFR,Africa,SEX,Both,2007,8.4 [5.7 - 12],8.4,5.7,12.0
771586,COUNTRY,DZA,AFR,Africa,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
832572,COUNTRY,CAN,AMR,Americas,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
934434,COUNTRY,COG,AFR,Africa,SEX,Both,2007,2 [1.7 - 2.5],2.0,1.7,2.5
999967,COUNTRY,CYP,EUR,Europe,SEX,Both,2007,No data,,,
1013264,COUNTRY,BRB,AMR,Americas,SEX,Both,2007,0.42 [0.36 - 0.49],0.42,0.36,0.49
1074461,COUNTRY,SMR,EUR,Europe,SEX,Both,2007,No data,,,
1133372,COUNTRY,WSM,WPR,Western Pacific,SEX,Both,2007,No data,,,
1239539,COUNTRY,SAU,EMR,Eastern Mediterranean,SEX,Both,2007,<0.01 [<0.01 - <0.01],0.01,0.01,0.01
1324242,COUNTRY,AUS,WPR,Western Pacific,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1325146,COUNTRY,TZA,AFR,Africa,SEX,Both,2007,2.3 [2.1 - 2.7],2.3,2.1,2.7
1399557,COUNTRY,TKM,EUR,Europe,SEX,Both,2007,No data,,,
1403041,COUNTRY,VUT,WPR,Western Pacific,SEX,Both,2007,No data,,,
1404988,COUNTRY,ETH,AFR,Africa,SEX,Both,2007,0.5 [0.22 - 1.1],0.5,0.22,1.1
1412981,COUNTRY,LTU,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1546831,COUNTRY,KEN,AFR,Africa,SEX,Both,2007,2.6 [1.5 - 4.4],2.6,1.5,4.4
1619281,COUNTRY,GAB,AFR,Africa,SEX,Both,2007,2.1 [1.7 - 2.7],2.1,1.7,2.7
1655717,COUNTRY,FJI,WPR,Western Pacific,SEX,Both,2007,<0.1 [<0.1 - 0.14],0.1,0.1,0.14
1733123,COUNTRY,GNQ,AFR,Africa,SEX,Both,2007,No data,,,
1814225,COUNTRY,BLR,EUR,Europe,SEX,Both,2007,0.22 [0.18 - 0.27],0.22,0.18,0.27
1846282,COUNTRY,ARG,AMR,Americas,SEX,Both,2007,0.14 [0.13 - 0.16],0.14,0.13,0.16
1870625,COUNTRY,EST,EUR,Europe,SEX,Both,2007,0.36 [0.31 - 0.4],0.36,0.31,0.4
1908560,COUNTRY,CZE,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
1980386,COUNTRY,NER,AFR,Africa,SEX,Both,2007,0.14 [0.12 - 0.17],0.14,0.12,0.17
2039109,COUNTRY,HUN,EUR,Europe,SEX,Both,2007,No data,,,
2053365,COUNTRY,CPV,AFR,Africa,SEX,Both,2007,0.36 [0.31 - 0.43],0.36,0.31,0.43
2198576,COUNTRY,ESP,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2230805,COUNTRY,MCO,EUR,Europe,SEX,Both,2007,No data,,,
2236294,COUNTRY,DOM,AMR,Americas,SEX,Both,2007,0.57 [0.46 - 0.7],0.57,0.46,0.7
2248789,COUNTRY,ROU,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2258392,COUNTRY,AGO,AFR,Africa,SEX,Both,2007,1.3 [1.1 - 1.6],1.3,1.1,1.6
2280096,COUNTRY,GRD,AMR,Americas,SEX,Both,2007,No data,,,
2334970,COUNTRY,OMN,EMR,Eastern Mediterranean,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2378422,COUNTRY,SLV,AMR,Americas,SEX,Both,2007,0.27 [0.24 - 0.29],0.27,0.24,0.29
2381404,COUNTRY,KHM,WPR,Western Pacific,SEX,Both,2007,0.25 [0.22 - 0.28],0.25,0.22,0.28
2444362,COUNTRY,PER,AMR,Americas,SEX,Both,2007,0.15 [0.12 - 0.18],0.15,0.12,0.18
2460517,COUNTRY,HTI,AMR,Americas,SEX,Both,2007,0.9 [0.76 - 1.1],0.9,0.76,1.1
2515604,COUNTRY,BOL,AMR,Americas,SEX,Both,2007,0.21 [0.18 - 0.27],0.21,0.18,0.27
2605898,COUNTRY,SLE,AFR,Africa,SEX,Both,2007,1 [0.89 - 1.2],1.0,0.89,1.2
2633431,COUNTRY,KNA,AMR,Americas,SEX,Both,2007,No data,,,
2655527,COUNTRY,KAZ,EUR,Europe,SEX,Both,2007,0.12 [0.11 - 0.14],0.12,0.11,0.14
2691952,COUNTRY,NIC,AMR,Americas,SEX,Both,2007,0.11 [<0.1 - 0.14],0.11,0.1,0.14
2775220,COUNTRY,GBR,EUR,Europe,SEX,Both,2007,No data,,,
2788722,COUNTRY,ARM,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2794696,COUNTRY,BGR,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
2832477,COUNTRY,BTN,SEAR,South-East Asia,SEX,Both,2007,0.13 [0.11 - 0.15],0.13,0.11,0.15
2850567,COUNTRY,GIN,AFR,Africa,SEX,Both,2007,1 [0.88 - 1.2],1.0,0.88,1.2
2941607,COUNTRY,IRN,EMR,Eastern Mediterranean,SEX,Both,2007,<0.1 [<0.1 - 0.14],0.1,0.1,0.14
2957712,COUNTRY,PRY,AMR,Americas,SEX,Both,2007,0.19 [0.15 - 0.24],0.19,0.15,0.24
3006114,COUNTRY,GTM,AMR,Americas,SEX,Both,2007,0.12 [0.11 - 0.14],0.12,0.11,0.14
3054023,COUNTRY,ISR,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3054630,COUNTRY,MAR,EMR,Eastern Mediterranean,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3133910,COUNTRY,KOR,WPR,Western Pacific,SEX,Both,2007,No data,,,
3405847,COUNTRY,BRN,WPR,Western Pacific,SEX,Both,2007,No data,,,
3406576,COUNTRY,HND,AMR,Americas,SEX,Both,2007,<0.1 [<0.1 - 0.13],0.1,0.1,0.13
3422940,COUNTRY,RUS,EUR,Europe,SEX,Both,2007,No data,,,
3548763,COUNTRY,UKR,EUR,Europe,SEX,Both,2007,0.39 [0.33 - 0.45],0.39,0.33,0.45
3552898,COUNTRY,ECU,AMR,Americas,SEX,Both,2007,0.17 [0.15 - 0.2],0.17,0.15,0.2
3559320,COUNTRY,SWE,EUR,Europe,SEX,Both,2007,No data,,,
3599479,COUNTRY,JAM,AMR,Americas,SEX,Both,2007,0.55 [0.46 - 0.65],0.55,0.46,0.65
3605691,COUNTRY,PLW,WPR,Western Pacific,SEX,Both,2007,No data,,,
3629799,COUNTRY,NPL,SEAR,South-East Asia,SEX,Both,2007,0.11 [0.1 - 0.12],0.11,0.1,0.12
3638884,COUNTRY,LKA,SEAR,South-East Asia,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3691661,COUNTRY,BEL,EUR,Europe,SEX,Both,2007,No data,,,
3710360,COUNTRY,MKD,EUR,Europe,SEX,Both,2007,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
3757561,COUNTRY,COM,AFR,Africa,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
3861512,COUNTRY,MMR,SEAR,South-East Asia,SEX,Both,2007,0.42 [0.38 - 0.46],0.42,0.38,0.46
3916058,COUNTRY,ERI,AFR,Africa,SEX,Both,2007,0.42 [0.28 - 0.59],0.42,0.28,0.59
3976897,COUNTRY,BFA,AFR,Africa,SEX,Both,2007,0.52 [0.42 - 0.66],0.52,0.42,0.66
3984958,COUNTRY,VEN,AMR,Americas,SEX,Both,2007,0.37 [0.28 - 0.44],0.37,0.28,0.44
4090873,COUNTRY,BEN,AFR,Africa,SEX,Both,2007,0.68 [0.55 - 0.84],0.68,0.55,0.84
4113452,COUNTRY,EGY,EMR,Eastern Mediterranean,SEX,Both,2007,<0.01 [<0.01 - <0.1],0.01,0.01,0.1
4164740,COUNTRY,AFG,EMR,Eastern Mediterranean,SEX,Both,2007,<0.1 [<0.01 - <0.1],0.1,0.01,0.1
4191542,COUNTRY,TTO,AMR,Americas,SEX,Both,2007,No data,,,
4192582,COUNTRY,GEO,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4271530,COUNTRY,MNE,EUR,Europe,SEX,Both,2007,<0.1 [<0.1 - <0.1],0.1,0.1,0.1
4282841,COUNTRY,SDN,EMR,Eastern Mediterranean,SEX,Both,2007,<0.1 [<0.1 - 0.11],0.1,0.1,0.11
