Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue
12699,COUNTRY,BLZ,AMR,Americas,2012,<62,
37956,COUNTRY,VEN,AMR,Americas,2012,13,13.0
126821,COUNTRY,MWI,AFR,Africa,2012,287,287.0
234008,COUNTRY,SLE,AFR,Africa,2012,55,55.0
285282,COUNTRY,BGD,SEAR,South-East Asia,2012,<1,
290584,COUNTRY,TCD,AFR,Africa,2012,116,116.0
515763,COUNTRY,DOM,AMR,Americas,2012,19,19.0
558573,COUNTRY,EGY,EMR,Eastern Mediterranean,2012,<1,
565668,COUNTRY,GAB,AFR,Africa,2012,143,143.0
753475,COUNTRY,ISL,EUR,Europe,2012,0.1,0.1
872308,COUNTRY,AUT,EUR,Europe,2012,0.5,0.5
994911,COUNTRY,ETH,AFR,Africa,2012,51,51.0
1135798,COUNTRY,ITA,EUR,Europe,2012,1.4,1.4
1149514,COUNTRY,BWA,AFR,Africa,2012,282,282.0
1213350,COUNTRY,MLI,AFR,Africa,2012,33,33.0
1228136,COUNTRY,ECU,AMR,Americas,2012,17,17.0
1235906,COUNTRY,CIV,AFR,Africa,2012,157,157.0
1263377,COUNTRY,NER,AFR,Africa,2012,20,20.0
1312390,COUNTRY,RUS,EUR,Europe,2012,43,43.0
1381407,COUNTRY,DJI,EMR,Eastern Mediterranean,2012,<116,
1684980,COUNTRY,SWZ,AFR,Africa,2012,443,443.0
1697065,COUNTRY,IND,SEAR,South-East Asia,2012,11,11.0
1771021,COUNTRY,MUS,AFR,Africa,2012,5.5,5.5
1981688,COUNTRY,CMR,AFR,Africa,2012,159,159.0
2035068,COUNTRY,FJI,WPR,Western Pacific,2012,<11,
2247892,COUNTRY,CUB,AMR,Americas,2012,2.6,2.6
2258647,COUNTRY,SUR,AMR,Americas,2012,<37,
2319756,COUNTRY,SVK,EUR,Europe,2012,0,0.0
2432100,COUNTRY,PNG,WPR,Western Pacific,2012,<14,
2432532,COUNTRY,THA,SEAR,South-East Asia,2012,31,31.0
2434532,COUNTRY,DNK,EUR,Europe,2012,0.5,0.5
2536329,COUNTRY,AUS,WPR,Western Pacific,2012,0.2,0.2
2617627,COUNTRY,SWE,EUR,Europe,2012,0.2,0.2
2644649,COUNTRY,TGO,AFR,Africa,2012,108,108.0
2763415,COUNTRY,KEN,AFR,Africa,2012,133,133.0
2848528,COUNTRY,GUY,AMR,Americas,2012,<13,
2934594,COUNTRY,NGA,AFR,Africa,2012,142,142.0
3047171,COUNTRY,MRT,AFR,Africa,2012,<26,
3256667,COUNTRY,PHL,WPR,Western Pacific,2012,<1,
3268634,COUNTRY,GEO,EUR,Europe,2012,<5,
3308524,COUNTRY,AZE,EUR,Europe,2012,<11,
3334398,COUNTRY,ZWE,AFR,Africa,2012,288,288.0
3386421,COUNTRY,AFG,EMR,Eastern Mediterranean,2012,<2,
3395829,COUNTRY,ZMB,AFR,Africa,2012,215,215.0
3560776,COUNTRY,CRI,AMR,Americas,2012,2.9,2.9
3611437,COUNTRY,COL,AMR,Americas,2012,14,14.0
3810264,COUNTRY,MDV,SEAR,South-East Asia,2012,<30,
3861804,COUNTRY,RWA,AFR,Africa,2012,49,49.0
