Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
1981466,COUNTRY,BRA,AMR,Americas,2004,516 739 [480 685-560 932],516739.0,480684.575,560932.025
3236953,REGION,EMR,,,2004,5 201 423 [4 168 495-8 702 741],5201422.679,4168495.002,8702740.889
6560141,COUNTRY,IND,SEAR,South-East Asia,2004,22 526 106 [17 378 804-29 525 836],22526106.0,17378803.83,29525835.68
1580988,COUNTRY,SAU,EMR,Eastern Mediterranean,2004,1232 [1232-1232],1232.0,1232.0,1232.0
452200,COUNTRY,GHA,AFR,Africa,2004,7 350 226 [5 606 266-9 499 271],7350226.0,5606266.125,9499271.05
8649834,COUNTRY,LKA,SEAR,South-East Asia,2004,3720 [3720-3720],3720.0,3720.0,3720.0
1294186,COUNTRY,YEM,EMR,Eastern Mediterranean,2004,956 179 [441 480-4 258 116],956179.0,441479.7,4258116.05
5319139,COUNTRY,VNM,WPR,Western Pacific,2004,24 909 [24 909-24 909],24909.0,24909.0,24909.0
92044,COUNTRY,NIC,AMR,Americas,2004,8735 [7242-10 302],8735.0,7242.0,10302.0
4745670,GLOBAL,GLOBAL,,,2004,250 326 756 [230 598 097-278 219 072],250326755.6,230598097.4,278219072.3
5592781,COUNTRY,PRK,SEAR,South-East Asia,2004,15 827 [15 827-15 827],15827.0,15827.0,15827.0
9537479,COUNTRY,TZA,AFR,Africa,2004,10 171 916 [7 818 518-12 973 462],10171916.0,7818518.3,12973462.4
2075626,COUNTRY,BFA,AFR,Africa,2004,7 546 925 [6 050 248-9 280 413],7546925.0,6050248.025,9280412.875
4185084,COUNTRY,TGO,AFR,Africa,2004,2 659 629 [2 064 868-3 376 043],2659629.0,2064868.15,3376043.025
2015465,COUNTRY,EGY,EMR,Eastern Mediterranean,2004,0 [0-0],0.0,0.0,0.0
4872419,REGION,WPR,,,2004,2 670 376 [1 534 027-4 027 275],2670376.0,1534027.45,4027275.3
6480590,COUNTRY,RWA,AFR,Africa,2004,1 079 878 [383 391-1 817 151],1079878.0,383391.425,1817151.1
4485499,COUNTRY,IRN,EMR,Eastern Mediterranean,2004,13 821 [13 821-13 821],13821.0,13821.0,13821.0
3371169,COUNTRY,STP,AFR,Africa,2004,46 486 [46 486-46 486],46486.0,46486.0,46486.0
8550118,COUNTRY,MEX,AMR,Americas,2004,3406 [3406-3406],3406.0,3406.0,3406.0
3024345,COUNTRY,SYR,EMR,Eastern Mediterranean,2004,1 [1-1],1.0,1.0,1.0
1788969,COUNTRY,BEN,AFR,Africa,2004,3 982 728 [3 230 755-4 846 482],3982728.0,3230754.9,4846482.25
8737372,COUNTRY,HTI,AMR,Americas,2004,77 327 [43 977-125 248],77327.0,43977.0,125248.2
9017610,COUNTRY,SLV,AMR,Americas,2004,112 [112-112],112.0,112.0,112.0
9564789,COUNTRY,DOM,AMR,Americas,2004,3046 [2487-3628],3046.0,2487.0,3628.0
8457060,REGION,SEAR,,,2004,25 413 840 [20 187 122-32 469 855],25413840.0,20187122.3,32469855.28
6467816,COUNTRY,IRQ,EMR,Eastern Mediterranean,2004,155 [155-155],155.0,155.0,155.0
2256388,COUNTRY,TLS,SEAR,South-East Asia,2004,234 045 [141 157-327 220],234045.0,141156.6,327220.2
9438136,COUNTRY,TUR,EUR,Europe,2004,5302 [5302-5302],5302.0,5302.0,5302.0
5440212,COUNTRY,MWI,AFR,Africa,2004,4 690 575 [3 695 620-5 876 719],4690575.0,3695620.25,5876719.25
7522660,COUNTRY,LAO,WPR,Western Pacific,2004,40 333 [27 540-56 237],40333.0,27539.75,56237.275
7582690,COUNTRY,BDI,AFR,Africa,2004,2 194 449 [1 626 624-2 916 992],2194449.0,1626624.35,2916992.025
6387911,COUNTRY,COG,AFR,Africa,2004,1 162 568 [774 613-1 647 595],1162568.0,774613.425,1647595.175
6755107,COUNTRY,NPL,SEAR,South-East Asia,2004,4895 [4895-4895],4895.0,4895.0,4895.0
1842963,COUNTRY,ZMB,AFR,Africa,2004,3 384 242 [2 578 725-4 371 898],3384242.0,2578725.15,4371898.175
9044877,COUNTRY,ARM,EUR,Europe,2004,47 [47-47],47.0,47.0,47.0
8838348,COUNTRY,GTM,AMR,Americas,2004,34 124 [30 186-39 909],34124.0,30185.975,39909.075
8064069,COUNTRY,CMR,AFR,Africa,2004,7 230 465 [5 732 628-8 975 263],7230465.0,5732628.05,8975262.525
3558562,COUNTRY,CRI,AMR,Americas,2004,1289 [1289-1289],1289.0,1289.0,1289.0
2397637,COUNTRY,NAM,AFR,Africa,2004,105 493 [51 591-198 512],105493.0,51590.525,198512.2
8558263,COUNTRY,SOM,EMR,Eastern Mediterranean,2004,1 231 077 [883 028-1 670 201],1231077.0,883028.45,1670200.95
868845,COUNTRY,GIN,AFR,Africa,2004,3 277 416 [2 228 258-4 642 894],3277416.0,2228258.475,4642893.725
2197658,COUNTRY,MOZ,AFR,Africa,2004,9 231 510 [7 606 996-11 119 372],9231510.0,7606995.675,11119371.7
701802,COUNTRY,TKM,EUR,Europe,2004,3 [3-3],3.0,3.0,3.0
