Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
9116653,COUNTRY,PAK,EMR,Eastern Mediterranean,2012,8.09 [3.84-16.52],8.09453,3.83631,16.52099
251563,COUNTRY,NIC,AMR,Americas,2012,0.30 [0.25-0.36],0.30117,0.25033,0.35528
692625,COUNTRY,SUR,AMR,Americas,2012,6.85,6.84717,,
6500088,REGION,AMR,,,2012,4.22 [3.93-4.58],4.22467,3.93358,4.57953
3844133,COUNTRY,GUY,AMR,Americas,2012,58.38 [48.49-69.15],58.38497,48.4918,69.1466
9617241,COUNTRY,IRQ,EMR,Eastern Mediterranean,2012,0 [0-0],0.0,0.0,0.0
5025166,COUNTRY,BDI,AFR,Africa,2012,163.86 [118.91-220.00],163.85876,118.90521,220.00219
6267192,COUNTRY,ETH,AFR,Africa,2012,160.03 [80.75-366.04],160.0346,80.74656,366.03993
5292388,COUNTRY,BEN,AFR,Africa,2012,364.49 [283.73-460.52],364.49106,283.73309,460.51736
7675269,COUNTRY,HND,AMR,Americas,2012,1.10 [0.86-1.35],1.10285,0.86355,1.35063
6493777,REGION,EUR,,,2012,0 [0-0],0.00094,0.00094,0.00094
7401745,COUNTRY,SOM,EMR,Eastern Mediterranean,2012,34.20 [23.86-47.58],34.19834,23.85872,47.58355
6780969,COUNTRY,GUF,AMR,Americas,2012,7.75 [6.91-8.99],7.75114,6.90543,8.99397
4045032,COUNTRY,BWA,AFR,Africa,2012,0.22 [0.17-0.30],0.21746,0.16739,0.29759
1635054,COUNTRY,BFA,AFR,Africa,2012,533.39 [429.79-654.16],533.39017,429.78849,654.15615
4839321,COUNTRY,MLI,AFR,Africa,2012,424.29 [302.07-576.06],424.2861,302.06987,576.0641
3177463,COUNTRY,CHN,WPR,Western Pacific,2012,0 [0-0],0.00043,0.00043,0.00043
9584503,COUNTRY,SSD,AFR,Africa,2012,282.19 [215.91-362.97],282.18773,215.91257,362.97381
