Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
8502562,COUNTRY,SUR,AMR,Americas,2013,1.19,1.18985,,
7668122,COUNTRY,MLI,AFR,Africa,2013,135.25 [124.24-147.42],135.24926,124.241,147.42035
4077808,COUNTRY,SYR,EMR,Eastern Mediterranean,2013,0 [0-0],0.0,0.0,0.0
692700,COUNTRY,DOM,AMR,Americas,2013,0.09 [0.09-0.09],0.08905,0.08905,0.08905
1801460,COUNTRY,TCD,AFR,Africa,2013,91.46 [82.28-101.42],91.46187,82.27507,101.42409
4097849,COUNTRY,OMN,EMR,Eastern Mediterranean,2013,0 [0-0],0.0,0.0,0.0
5285552,COUNTRY,SLB,WPR,Western Pacific,2013,14.09 [6.45-24.79],14.0918,6.45167,24.78799
7374585,COUNTRY,BGD,SEAR,South-East Asia,2013,0.46 [0.21-0.73],0.45644,0.20747,0.72927
3924417,COUNTRY,COG,AFR,Africa,2013,41.77 [38.11-45.91],41.77391,38.10917,45.91218
1854980,COUNTRY,AZE,EUR,Europe,2013,0 [0-0],0.0,0.0,0.0
946747,COUNTRY,CRI,AMR,Americas,2013,0 [0-0],0.0,0.0,0.0
2889991,COUNTRY,MDG,AFR,Africa,2013,15.74 [6.32-30.34],15.74082,6.31707,30.34142
7034511,COUNTRY,ETH,AFR,Africa,2013,39.16 [14.04-74.39],39.1644,14.03926,74.38606
8543087,COUNTRY,MYS,WPR,Western Pacific,2013,0.83 [0.83-0.83],0.82852,0.82852,0.82852
7468658,COUNTRY,PRY,AMR,Americas,2013,0 [0-0],0.0,0.0,0.0
726835,REGION,SEAR,,,2013,1.30 [0.73-2.07],1.30482,0.73038,2.07464
7075210,COUNTRY,ARM,EUR,Europe,2013,0 [0-0],0.0,0.0,0.0
8817542,COUNTRY,BWA,AFR,Africa,2013,0.49 [0.49-0.49],0.49323,0.49323,0.49323
1789091,COUNTRY,THA,SEAR,South-East Asia,2013,0.35 [0.35-0.35],0.35462,0.35462,0.35462
2189571,COUNTRY,BDI,AFR,Africa,2013,48.98 [44.69-54.22],48.97819,44.68673,54.21799
5426631,COUNTRY,PER,AMR,Americas,2013,0.38 [0.19-0.61],0.38424,0.18785,0.60625
7228738,COUNTRY,DZA,AFR,Africa,2013,0 [0-0],0.0,0.0,0.0
6487846,COUNTRY,MWI,AFR,Africa,2013,51.80 [49.16-54.73],51.80111,49.15908,54.72776
8637578,COUNTRY,AGO,AFR,Africa,2013,42.88 [33.52-56.03],42.87687,33.51726,56.03154
7042195,COUNTRY,ZWE,AFR,Africa,2013,20.04 [8.20-35.42],20.03652,8.20106,35.41529
2884483,REGION,EUR,,,2013,0 [0-0],0.0,0.0,0.0
7669634,COUNTRY,KGZ,EUR,Europe,2013,0 [0-0],0.0,0.0,0.0
