Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
85149,COUNTRY,KOR,WPR,Western Pacific,2001,85 [79-91],85.0,79.0,91.0
86057,COUNTRY,KAZ,EUR,Europe,2001,185 [44-425],185.0,44.0,425.0
259406,COUNTRY,HND,AMR,Americas,2001,93 [37-176],93.0,37.0,176.0
280059,COUNTRY,LCA,AMR,Americas,2001,11 [9.2-12],11.0,9.2,12.0
459210,COUNTRY,AUS,WPR,Western Pacific,2001,5.8 [5-6.7],5.8,5.0,6.7
674450,COUNTRY,URY,AMR,Americas,2001,24 [21-28],24.0,21.0,28.0
806894,COUNTRY,MUS,AFR,Africa,2001,13 [9.6-17],13.0,9.6,17.0
934541,WORLDBANKINCOMEGROUP,WB_UMI,,,2001,133 [106-163],133.0,106.0,163.0
1101551,COUNTRY,MOZ,AFR,Africa,2001,338 [216-486],338.0,216.0,486.0
1182082,COUNTRY,ESP,EUR,Europe,2001,19 [16-22],19.0,16.0,22.0
1242782,COUNTRY,ARE,EMR,Eastern Mediterranean,2001,2.3 [2-2.6],2.3,2.0,2.6
1248112,COUNTRY,GEO,EUR,Europe,2001,243 [37-639],243.0,37.0,639.0
1287188,COUNTRY,CHL,AMR,Americas,2001,22 [19-25],22.0,19.0,25.0
1334948,COUNTRY,TON,WPR,Western Pacific,2001,13 [11-15],13.0,11.0,15.0
1389312,COUNTRY,GTM,AMR,Americas,2001,25 [20-32],25.0,20.0,32.0
1462451,COUNTRY,PRI,AMR,Americas,2001,3.6 [3.1-4.2],3.6,3.1,4.2
1728756,COUNTRY,RUS,EUR,Europe,2001,92 [38-170],92.0,38.0,170.0
1743715,COUNTRY,IRL,EUR,Europe,2001,12 [10-14],12.0,10.0,14.0
1788296,COUNTRY,AND,EUR,Europe,2001,17 [15-20],17.0,15.0,20.0
2268723,COUNTRY,SGP,WPR,Western Pacific,2001,43 [37-50],43.0,37.0,50.0
2430627,COUNTRY,SDN,EMR,Eastern Mediterranean,2001,139 [30-331],139.0,30.0,331.0
2490993,COUNTRY,NZL,WPR,Western Pacific,2001,11 [9.5-13],11.0,9.5,13.0
2609677,COUNTRY,SLV,AMR,Americas,2001,31 [23-39],31.0,23.0,39.0
2724408,COUNTRY,GRD,AMR,Americas,2001,0.55 [0.54-0.57],0.55,0.54,0.57
2771807,COUNTRY,MWI,AFR,Africa,2001,395 [40-1140],395.0,40.0,1140.0
2884186,COUNTRY,MRT,AFR,Africa,2001,235 [58-533],235.0,58.0,533.0
3118020,COUNTRY,ALB,EUR,Europe,2001,20 [17-24],20.0,17.0,24.0
3304337,COUNTRY,MCO,EUR,Europe,2001,0 [0-0],0.0,0.0,0.0
