Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
43213,COUNTRY,VNM,WPR,Western Pacific,2009,206 000 [103 000-344 000],206000.0,103000.0,344000.0
63533,COUNTRY,LAO,WPR,Western Pacific,2009,14 000 [7300-24 000],14000.0,7300.0,24000.0
120755,COUNTRY,PER,AMR,Americas,2009,40 000 [29 000-52 000],40000.0,29000.0,52000.0
120947,COUNTRY,YEM,EMR,Eastern Mediterranean,2009,14 000 [13 000-16 000],14000.0,13000.0,16000.0
162587,COUNTRY,EST,EUR,Europe,2009,410 [350-480],410.0,350.0,480.0
173648,COUNTRY,ECU,AMR,Americas,2009,5900 [4700-7300],5900.0,4700.0,7300.0
229919,COUNTRY,ARG,AMR,Americas,2009,8900 [8000-10 000],8900.0,8000.0,10000.0
268943,COUNTRY,IRN,EMR,Eastern Mediterranean,2009,13 000 [9200-18 000],13000.0,9200.0,18000.0
284236,COUNTRY,FJI,WPR,Western Pacific,2009,190 [180-210],190.0,180.0,210.0
285576,COUNTRY,MYS,WPR,Western Pacific,2009,20 000 [18 000-23 000],20000.0,18000.0,23000.0
368514,COUNTRY,BLR,EUR,Europe,2009,6600 [3300-11 000],6600.0,3300.0,11000.0
377817,COUNTRY,TJK,EUR,Europe,2009,11 000 [6600-15 000],11000.0,6600.0,15000.0
405852,COUNTRY,TKM,EUR,Europe,2009,4300 [2600-6400],4300.0,2600.0,6400.0
424970,COUNTRY,LTU,EUR,Europe,2009,2200 [1900-2500],2200.0,1900.0,2500.0
522863,COUNTRY,PRT,EUR,Europe,2009,3100 [2700-3600],3100.0,2700.0,3600.0
691439,COUNTRY,SLV,AMR,Americas,2009,2100 [1600-2700],2100.0,1600.0,2700.0
759778,COUNTRY,ITA,EUR,Europe,2009,4700 [4000-5400],4700.0,4000.0,5400.0
774266,COUNTRY,KHM,WPR,Western Pacific,2009,64 000 [31 000-110 000],64000.0,31000.0,110000.0
796641,COUNTRY,CHE,EUR,Europe,2009,580 [490-670],580.0,490.0,670.0
828827,COUNTRY,JPN,WPR,Western Pacific,2009,27 000 [23 000-31 000],27000.0,23000.0,31000.0
865797,COUNTRY,SRB,EUR,Europe,2009,2400 [1700-3300],2400.0,1700.0,3300.0
950615,REGION,EUR,,,2009,398 000 [307 000-502 000],398000.0,307000.0,502000.0
1098167,COUNTRY,SYC,AFR,Africa,2009,17 [15-20],17.0,15.0,20.0
1118151,REGION,SEAR,,,2009,5 270 000 [3 000 000-8 160 000],5270000.0,3000000.0,8160000.0
1122255,COUNTRY,PNG,WPR,Western Pacific,2009,32 000 [21 000-46 000],32000.0,21000.0,46000.0
1168528,COUNTRY,NGA,AFR,Africa,2009,355 000 [232 000-504 000],355000.0,232000.0,504000.0
1185624,COUNTRY,LSO,AFR,Africa,2009,24 000 [8900-47 000],24000.0,8900.0,47000.0
1214421,COUNTRY,MCO,EUR,Europe,2009,0 [0-0],0.0,0.0,0.0
1267133,COUNTRY,COK,WPR,Western Pacific,2009,2 [2-3],2.0,2.0,3.0
1317808,REGION,AMR,,,2009,269 000 [245 000-293 000],269000.0,245000.0,293000.0
1409659,COUNTRY,MMR,SEAR,South-East Asia,2009,255 000 [96 000-491 000],255000.0,96000.0,491000.0
1427422,COUNTRY,NAM,AFR,Africa,2009,20 000 [9700-34 000],20000.0,9700.0,34000.0
1440966,COUNTRY,CAN,AMR,Americas,2009,1800 [1500-2100],1800.0,1500.0,2100.0
1449613,COUNTRY,LBY,EMR,Eastern Mediterranean,2009,2500 [2300-2800],2500.0,2300.0,2800.0
1461582,COUNTRY,URY,AMR,Americas,2009,810 [690-940],810.0,690.0,940.0
1479572,COUNTRY,OMN,EMR,Eastern Mediterranean,2009,380 [330-440],380.0,330.0,440.0
1479605,COUNTRY,SVK,EUR,Europe,2009,520 [450-600],520.0,450.0,600.0
1519783,COUNTRY,TTO,AMR,Americas,2009,310 [270-360],310.0,270.0,360.0
1553910,COUNTRY,FIN,EUR,Europe,2009,460 [400-530],460.0,400.0,530.0
1562620,COUNTRY,GMB,AFR,Africa,2009,3400 [2400-4500],3400.0,2400.0,4500.0
1567141,COUNTRY,DOM,AMR,Americas,2009,5400 [3700-7300],5400.0,3700.0,7300.0
1567837,COUNTRY,KEN,AFR,Africa,2009,229 000 [68 000-484 000],229000.0,68000.0,484000.0
1586279,COUNTRY,IND,SEAR,South-East Asia,2009,3 470 000 [1 390 000-6 490 000],3470000.0,1390000.0,6490000.0
1612143,COUNTRY,BRB,AMR,Americas,2009,2 [2-3],2.0,2.0,3.0
1678136,COUNTRY,VUT,WPR,Western Pacific,2009,170 [120-230],170.0,120.0,230.0
1707643,COUNTRY,ALB,EUR,Europe,2009,510 [430-590],510.0,430.0,590.0
1743998,COUNTRY,RUS,EUR,Europe,2009,127 000 [55 000-230 000],127000.0,55000.0,230000.0
1832525,COUNTRY,MUS,AFR,Africa,2009,150 [110-190],150.0,110.0,190.0
