Id,SpatialDimType,SpatialDim,ParentLocationCode,ParentLocation,YEAR,Value,NumericValue,Low,High
48642,COUNTRY,KWT,EMR,Eastern Mediterranean,2020,16 [15-18],16.0,15.0,18.0
75365,COUNTRY,PAK,EMR,Eastern Mediterranean,2020,47 000 [38 000-56 000],47000.0,38000.0,56000.0
233763,COUNTRY,SSD,AFR,Africa,2020,3600 [2100-5400],3600.0,2100.0,5400.0
274727,COUNTRY,BIH,EUR,Europe,2020,87 [80-94],87.0,80.0,94.0
275171,WORLDBANKINCOMEGROUP,WB_LMI,,,2020,763 000 [645 000-892 000],763000.0,645000.0,892000.0
307696,COUNTRY,MDA,EUR,Europe,2020,190 [120-270],190.0,120.0,270.0
318816,COUNTRY,JAM,AMR,Americas,2020,7 [7-7],7.0,7.0,7.0
459827,COUNTRY,TON,WPR,Western Pacific,2020,1 [0-1],1.0,0.0,1.0
473134,COUNTRY,CZE,EUR,Europe,2020,24 [24-25],24.0,24.0,25.0
609662,COUNTRY,LTU,EUR,Europe,2020,110 [100-110],110.0,100.0,110.0
628868,COUNTRY,IRQ,EMR,Eastern Mediterranean,2020,820 [740-920],820.0,740.0,920.0
909742,COUNTRY,SAU,EMR,Eastern Mediterranean,2020,190 [160-210],190.0,160.0,210.0
943209,COUNTRY,BHR,EMR,Eastern Mediterranean,2020,18 [11-26],18.0,11.0,26.0
1035013,COUNTRY,LSO,AFR,Africa,2020,1300 [690-2000],1300.0,690.0,2000.0
1083238,COUNTRY,IND,SEAR,South-East Asia,2020,336 000 [247 000-449 000],336000.0,247000.0,449000.0
1083915,COUNTRY,SVK,EUR,Europe,2020,22 [21-22],22.0,21.0,22.0
1141659,COUNTRY,SWE,EUR,Europe,2020,13 [13-14],13.0,13.0,14.0
1208044,COUNTRY,TZA,AFR,Africa,2020,19 000 [8900-33 000],19000.0,8900.0,33000.0
1334469,COUNTRY,ARG,AMR,Americas,2020,580 [560-600],580.0,560.0,600.0
1521113,COUNTRY,CPV,AFR,Africa,2020,25 [16-36],25.0,16.0,36.0
1648602,COUNTRY,USA,AMR,Americas,2020,630 [630-640],630.0,630.0,640.0
1658855,COUNTRY,BGD,SEAR,South-East Asia,2020,43 000 [29 000-61 000],43000.0,29000.0,61000.0
1716175,COUNTRY,IDN,SEAR,South-East Asia,2020,94 000 [84 000-103 000],94000.0,84000.0,103000.0
1788420,COUNTRY,ZMB,AFR,Africa,2020,6200 [3700-9300],6200.0,3700.0,9300.0
2017487,COUNTRY,AGO,AFR,Africa,2020,18 000 [12 000-27 000],18000.0,12000.0,27000.0
2069971,COUNTRY,PRY,AMR,Americas,2020,220 [210-230],220.0,210.0,230.0
2211416,COUNTRY,CHE,EUR,Europe,2020,14 [13-14],14.0,13.0,14.0
2239429,COUNTRY,VCT,AMR,Americas,2020,1 [1-1],1.0,1.0,1.0
2370890,COUNTRY,BEL,EUR,Europe,2020,33 [32-34],33.0,32.0,34.0
2417683,COUNTRY,IRL,EUR,Europe,2020,17 [17-18],17.0,17.0,18.0
2459020,COUNTRY,BRB,AMR,Americas,2020,2 [2-3],2.0,2.0,3.0
2536919,COUNTRY,NIU,WPR,Western Pacific,2020,0 [0-0],0.0,0.0,0.0
2577635,COUNTRY,ERI,AFR,Africa,2020,470 [210-840],470.0,210.0,840.0
2604288,COUNTRY,LAO,WPR,Western Pacific,2020,1400 [850-2100],1400.0,850.0,2100.0
2644301,COUNTRY,JPN,WPR,Western Pacific,2020,2900 [2700-3100],2900.0,2700.0,3100.0
2963520,COUNTRY,MMR,SEAR,South-East Asia,2020,18 000 [10 000-27 000],18000.0,10000.0,27000.0
3008039,COUNTRY,DEU,EUR,Europe,2020,290 [280-300],290.0,280.0,300.0
3130858,COUNTRY,CAF,AFR,Africa,2020,4600 [2700-7000],4600.0,2700.0,7000.0
3194179,WORLDBANKINCOMEGROUP,WB_UMI,,,2020,188 000 [178 000-199 000],188000.0,178000.0,199000.0
3213468,COUNTRY,SGP,WPR,Western Pacific,2020,24 [21-27],24.0,21.0,27.0
3243612,COUNTRY,SWZ,AFR,Africa,2020,280 [110-530],280.0,110.0,530.0
3272368,COUNTRY,TKM,EUR,Europe,2020,710 [600-830],710.0,600.0,830.0
3364458,COUNTRY,GHA,AFR,Africa,2020,12 000 [5100-21 000],12000.0,5100.0,21000.0
3457036,COUNTRY,MNG,WPR,Western Pacific,2020,320 [280-360],320.0,280.0,360.0
3563394,COUNTRY,COL,AMR,Americas,2020,1300 [1200-1400],1300.0,1200.0,1400.0
3648132,COUNTRY,MNE,EUR,Europe,2020,1 [1-2],1.0,1.0,2.0
3685888,COUNTRY,BHS,AMR,Americas,2020,2 [2-2],2.0,2.0,2.0
3738407,COUNTRY,SOM,EMR,Eastern Mediterranean,2020,11 000 [6500-17 000],11000.0,6500.0,17000.0
3772274,COUNTRY,ISR,EUR,Europe,2020,8 [8-8],8.0,8.0,8.0
3780808,COUNTRY,BEN,AFR,Africa,2020,1300 [740-1900],1300.0,740.0,1900.0
3839394,COUNTRY,DZA,AFR,Africa,2020,4100 [2700-5700],4100.0,2700.0,5700.0
3859316,COUNTRY,UZB,EUR,Europe,2020,850 [740-960],850.0,740.0,960.0
3868647,COUNTRY,PRT,EUR,Europe,2020,180 [180-190],180.0,180.0,190.0
3906368,COUNTRY,NIC,AMR,Americas,2020,84 [83-85],84.0,83.0,85.0
3944663,COUNTRY,COM,AFR,Africa,2020,58 [34-87],58.0,34.0,87.0
4112416,COUNTRY,GIN,AFR,Africa,2020,2700 [1600-4100],2700.0,1600.0,4100.0
4140180,COUNTRY,SMR,EUR,Europe,2020,0 [0-0],0.0,0.0,0.0
4161091,COUNTRY,CAN,AMR,Americas,2020,79 [78-81],79.0,78.0,81.0
4254151,COUNTRY,LCA,AMR,Americas,2020,2 [2-2],2.0,2.0,2.0
4352294,COUNTRY,MUS,AFR,Africa,2020,15 [14-16],15.0,14.0,16.0
4385387,COUNTRY,NLD,EUR,Europe,2020,33 [32-33],33.0,32.0,33.0
4435729,COUNTRY,GNB,AFR,Africa,2020,1400 [840-2200],1400.0,840.0,2200.0
4445668,COUNTRY,BOL,AMR,Americas,2020,1300 [950-1800],1300.0,950.0,1800.0
4512524,COUNTRY,CRI,AMR,Americas,2020,34 [33-34],34.0,33.0,34.0
4553025,COUNTRY,STP,AFR,Africa,2020,66 [24-130],66.0,24.0,130.0
4655480,COUNTRY,IRN,EMR,Eastern Mediterranean,2020,880 [850-910],880.0,850.0,910.0
4685167,COUNTRY,KGZ,EUR,Europe,2020,310 [300-310],310.0,300.0,310.0
4768941,COUNTRY,SLV,AMR,Americas,2020,76 [70-82],76.0,70.0,82.0
4908858,COUNTRY,SUR,AMR,Americas,2020,14 [12-16],14.0,12.0,16.0
5005425,COUNTRY,QAT,EMR,Eastern Mediterranean,2020,8 [6-10],8.0,6.0,10.0
5046329,COUNTRY,BLZ,AMR,Americas,2020,7 [7-7],7.0,7.0,7.0
5115180,COUNTRY,PSE,EMR,Eastern Mediterranean,2020,4 [2-5],4.0,2.0,5.0
5121923,COUNTRY,OMN,EMR,Eastern Mediterranean,2020,16 [12-21],16.0,12.0,21.0
5208710,COUNTRY,GRD,AMR,Americas,2020,1 [1-1],1.0,1.0,1.0
5233691,COUNTRY,LBN,EMR,Eastern Mediterranean,2020,62 [38-92],62.0,38.0,92.0
5387245,COUNTRY,GEO,EUR,Europe,2020,83 [77-90],83.0,77.0,90.0
5389575,COUNTRY,BRN,WPR,Western Pacific,2020,23 [19-27],23.0,19.0,27.0
5502459,COUNTRY,GUY,AMR,Americas,2020,120 [82-160],120.0,82.0,160.0
5539345,REGION,EUR,,,2020,19 000 [18 000-19 000],19000.0,18000.0,19000.0
5575991,COUNTRY,MOZ,AFR,Africa,2020,6800 [3600-11 000],6800.0,3600.0,11000.0
5613410,COUNTRY,FSM,WPR,Western Pacific,2020,13 [8-18],13.0,8.0,18.0
5706337,COUNTRY,HTI,AMR,Americas,2020,980 [640-1400],980.0,640.0,1400.0
5767497,COUNTRY,AUT,EUR,Europe,2020,41 [41-42],41.0,41.0,42.0
5788376,COUNTRY,AND,EUR,Europe,2020,0 [0-1],0.0,0.0,1.0
5862949,COUNTRY,ISL,EUR,Europe,2020,1 [1-1],1.0,1.0,1.0
5896708,COUNTRY,LBR,AFR,Africa,2020,3600 [2100-5500],3600.0,2100.0,5500.0
5901431,COUNTRY,DJI,EMR,Eastern Mediterranean,2020,220 [140-320],220.0,140.0,320.0
5942905,COUNTRY,TCD,AFR,Africa,2020,4500 [2600-6900],4500.0,2600.0,6900.0
5987633,COUNTRY,GMB,AFR,Africa,2020,580 [380-830],580.0,380.0,830.0
5994244,REGION,SEAR,,,2020,539 000 [441 000-648 000],539000.0,441000.0,648000.0
6049317,COUNTRY,MLI,AFR,Africa,2020,1800 [1100-2700],1800.0,1100.0,2700.0
6117674,COUNTRY,RUS,EUR,Europe,2020,7300 [7100-7600],7300.0,7100.0,7600.0
6149334,COUNTRY,CMR,AFR,Africa,2020,7900 [4600-12 000],7900.0,4600.0,12000.0
6187357,REGION,AMR,,,2020,18 000 [17 000-19 000],18000.0,17000.0,19000.0
6263443,COUNTRY,GAB,AFR,Africa,2020,2300 [1200-3600],2300.0,1200.0,3600.0
6329602,COUNTRY,GTM,AMR,Americas,2020,220 [200-240],220.0,200.0,240.0
6417123,COUNTRY,WSM,WPR,Western Pacific,2020,1 [1-2],1.0,1.0,2.0
6460368,COUNTRY,THA,SEAR,South-East Asia,2020,9200 [6700-12 000],9200.0,6700.0,12000.0
6494035,COUNTRY,ZAF,AFR,Africa,2020,23 000 [22 000-24 000],23000.0,22000.0,24000.0
6526720,COUNTRY,MAR,EMR,Eastern Mediterranean,2020,3400 [2200-4900],3400.0,2200.0,4900.0
